2017-07-04 02:19:01	1728c1a34a5fe4d07cc0da5e8aee51c7:ziV3FKzzKOTVUth23jgnDZOsyFZY3YPh	Q1:安東綠茵園,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	220.136.193.200
2017-07-04 07:39:08	dd4c4ef3f8d4663913490f1f7e3e3b7f:EgbJS8tjgTMtyWtgIv7qa1bLV44M7S3i	Q1:安東綠茵園,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	118.167.158.97
2017-07-04 08:34:31	9da46a60f183c2b229e5572a018d9677:tgF2M5RCM7XLuyFm9OFue4VZY35KnkC2	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	172.28.34.122
2017-07-04 08:58:50	f4cd1cd2af93f163f78151af87b98ef1:wRSZsQeyOz4TRLMWjofiq2NCWHIkqHD1	Q1:永靜公園賞櫻趣，白天夜晚都美麗,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	172.30.210.7
2017-07-04 09:06:59	b028fd2c48e2f242cd52b9b5fae80cf9:sUwaOBslBoecKR3vHwrgperB4V2sa6IP	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-04 09:15:58	6879202a2f99d91998266280e1c45c73:8txlQjbuS9pwSmVhNLFHVR4oNhQOgws1	Q1:永靜公園賞櫻趣，白天夜晚都美麗,安東綠茵園,永安公園再造計畫,;	119.14.156.15
2017-07-04 09:16:14	997ba7d0575ae10e207caf3fe6a352ab:U3UNJYpbR0fJGroyJ1XbUmtwZoURS4yB	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.140.41.235
2017-07-04 09:20:41	5cd1237ca23953f2257aeb566d8b41d9:dHBDfmcgLNxMInrr9oUQymxtyTTtOVYi	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-04 09:25:32	d7a040e13ede1ae683f239ee68c44c56:vKmeTXJobvIkryhNyLWI5bwnbTZb7bV5	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.140.41.235
2017-07-04 09:27:42	ce0949205acc0a26cfd48c0fca923df3:6Cn32Zg4EEi1sEPyduGwR8UUgXSB86qw	Q1:安東綠茵園,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	119.14.156.15
2017-07-04 09:28:26	421d53780c1d8e875b3be2e859579e7b:aaIWm8ccPFrtch25N3BCEvITA0usvXS0	Q1:新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	114.42.71.72
2017-07-04 09:28:53	9d2b9c2fdeea44b294245655616cf926:HWBoHFM131y0YKQ0U45ReBS7HM5EIBK1	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.140.41.235
2017-07-04 09:29:42	d55afa13fa0aec3b85841cb3c1af0238:QcRBT3vwqUDmvR5j8qQqyQOGPgEvMqNB	Q1:新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	114.42.71.72
2017-07-04 09:30:44	7612026f2c9faffc012c119faccb410d:Ke7knEetVqAWXc7kMS04taGliWecFP6Q	Q1:新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	114.42.71.72
2017-07-04 09:32:49	e8241b20db68a6dddacb7303726e25a5:lPv12Gccn1RsJrHnn0GJzTXY6iBTgnaA	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.140.41.235
2017-07-04 09:39:01	5b5aff6849c754500b495eab9c611e1c:lwtTyihh7tHKqfpItfun8AcjSLQWn7mv	Q1:安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	114.42.71.72
2017-07-04 09:41:07	a6befdcf283762466a99b118ea385952:u156kuYC7DMJACsDimIIIK3MW9rhdwnF	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-04 09:42:28	f17dffa17051c7d66aa44cfa2ce320de:RdaznRBByZlNa3OPizTmkhimrQYkzTdh	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.140.41.235
2017-07-04 09:45:36	0d983d8fb12424be9cec40f2338a7a09:JCl86OzCOBNSB5LpNFpKNa0FHKaG0JdC	Q1:安東綠茵園,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	114.42.71.72
2017-07-04 09:45:58	ef742773e06c0e5c6b39ef23234f76cd:Z703Ba7SqPoIeIP7LGjEScquA8QFnIBd	Q1:永靜公園賞櫻趣，白天夜晚都美麗,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	101.12.18.150
