2018-04-19 00:02:50	99f613fb023630faa311b8107cfd177d:s6LKFQUvokdJ3wNLR08PCUZM5nJTFD3F	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.109.63
2018-04-19 00:11:20	c5984f12534de9f20077309e9b6d4e8c:PsVRVuGvzXc3wh0HqwUinsgwYnnFmbUe	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.219.129.8
2018-04-19 00:13:19	7f7e2b392e1f231773d63a16eadeffa6:hvRxOga5v6wUHrxnfWD9waw64QB0nX7M	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:15:25	3de41cd298dbe3cb0bcff1667a580341:kpXxzLRvqygOjJQSqYsX7KoNBaPRApgL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:16:16	5a22950cbe66957da0a909302361043d:80e0J8fP0klFxQ773jTRLLpqYKoGculB	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	219.68.52.61
2018-04-19 00:17:06	0ad66fbc69e75c713d0e612e60583c91:yJOuBdTptdjiW0xyz7a3LD3JrSeKNiMX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:18:43	9490e8cd255d8a512ae32182b3d0b275:8zmkDOc9sAcfmcinQoLfpR2P8t81Mpp6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:20:14	f50f69c0e9de32bccef39aef921c2773:KXyeqXX5UEWMY8eZRD3vJhmAnFPmNRgN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:21:53	ad4178e3b63a4407a047e6c098201ae7:IhnvMZnLn0mrne04LUFRFeLoNKeTKsED	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 00:25:04	22c4122ccb7ab932be534244efa4184a:B9GmsUqT3xEY41Tgipje054UwCmTKjSB	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	123.192.239.131
2018-04-19 00:25:35	501002720dc02221f2e954001aa957f6:eTD8CzFWsRxMNb2X05CvUbgvEzfEhuoL	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.68.31
2018-04-19 00:26:00	1bbb3f174f76e068b4a49315e2935001:M6f1NJ1b5NYIN9qOmkOdHTuwUIvqLQ29	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	36.229.140.173
2018-04-19 00:27:21	59075d66756d5bb75574f3cd95f70360:HVMZ0cwuLWW1iRTK3OAg7Lc6QsMDm5Vo	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 00:28:55	8c24a0290ed97fd0733406ca920149af:uvLAGkmYyc1WevCPJXYG3p15Wy7vjMfV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 00:29:41	c746d41e0d66bfbcbff5cf6309eb3975:e6wSjD1awDns4fzcliB2xYYMafm4qXc5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	36.229.140.173
2018-04-19 00:32:49	9e635b8e899f0095d8dec60708ca142b:q3qgie8SpidhIYo2eJkfeePQU3dAgnwj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 00:32:53	2582166be54a21d990fd2ddfb9e78482:7ZUYIb8RJipRcDIY3XV1ogQiIUNWefYP	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	36.229.140.173
2018-04-19 00:34:15	0423e04ec1907fc921a308db70342e79:VVrdo48v8jrIuFQndWFirrNj3In0d1zt	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 00:34:23	66edb52e62c96352e56bfa5a4447fdbe:cztV39FR1suOY0v629IllN3OEZEP6lAp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 00:35:44	2c7a47fef4a6a364f251bc369506c2ab:z70QA3XKflp1mg5QAk2EUqLMlxa832x1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
