2018-04-28 01:45:31	46de581b24b1be2b3fa158ca171dce3b:mcPpWJRRy2PzWKABxd2ICDJ0tPNPSAI6	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.135.202.15
2018-04-28 07:59:40	011e12b0990fb4c91a10f0ba374afc6e:u269YMnXuyZ2UNN0WtcY1vZGHxsSzOP8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	123.192.233.52
2018-04-28 08:46:35	30e96e697f250fd94d6fbc43a12cf505:T6UW3h9Fa5p2Hoh05YiHPj4AxGEZTOVq	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	180.217.139.126
2018-04-28 08:52:03	cbd8a4cbbf8cb0fe6917f54aded82196:qggskCL6xJxGlatPFCzPmi0nChvXdZuW	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.136.69.132
2018-04-28 09:27:58	6986839b048738672c6616978fdf1e38:8c86eV5MnUfW3aWdpUotbgp7RXTI8QpJ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.35.253
2018-04-28 09:43:06	2b07068ea97668ca73305d10ca7b81c2:IkjFcYmEv2azS7o386dWZJTnp2X0jN4p	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 09:53:30	fb9014409f0a7a3e3bf9251aa86ad532:0vQbcfFmIovO79A7rJexUDaiEfZCY1Ch	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.78.204
2018-04-28 09:56:53	12e7c3af4853fc38a29ddd47fc7e5d1c:7claBreVeJlgtrmEUXpOIfh35Vy6MNF3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 09:59:26	4a276aecd5e18f436382960f58d8e8bb:ft9Wn3tFXQ4hQudjPEVJ94ItcMnMC3nk	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.24.206
2018-04-28 10:04:10	d230130111ae40790b34b6bc259cad82:suVcrinQU6T0h2fEpgcdbnNHNhtTNNlf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	101.15.21.151
2018-04-28 10:06:17	ea78ca989e9c0dc5f6c956d59e92c231:xZnLUgKWkth0Eko9gxNZocM5kKaQ5wPt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.167.48.88
2018-04-28 10:08:43	eaf5df26c15daed0a01b3b5a80a1d363:4fK52B4H7DGdB5IqLbouDLWKmWq5cWcE	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:09:20	47e90125452820ddda69bdae72c0c337:NEBjKjL2SvzF99SZpxBCrJsLL681SxO9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.167.48.88
2018-04-28 10:12:41	016a9e5f90787e98ce19bdf740be6b33:hR0w1Tnx9ujueRmLp1dsVZ8A1pBmc1dk	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.242.227.26
2018-04-28 10:14:30	43e3f2d1953d84319e5876adf71f62e9:m9mntlskaR6U72oX0pl64jVMbU6oOZrM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.242.234.138
2018-04-28 10:15:00	859155c4195b069348d6adc977cd718c:89k26UE1rGipuByflls1Ot5sXn7djjRy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.136.32.40
2018-04-28 10:17:06	900dc11c921e485054ef7299effd196c:nUZhOuPDH4l42HzfKJW8G7PqXHy9rbXE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.80.254
2018-04-28 10:20:30	3a38d2c022a45bfb840df609a7324dec:qPQUBLlmSbJt8j31bif6Z5TgjSl9NHt6	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.247.76.157
2018-04-28 10:21:29	75b9a5936c93c693c805727804f14db3:yn01LiI235ctIoQIkQaWYzS9PjJCp7zF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	111.71.17.134
2018-04-28 10:22:26	40432685d56fec9e9b7dc6453f2768bf:052AKXDpNV4F8YiTWstYzJO5932i10Fc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:23:40	f7e9f65fdd2deb3351d93274a09446b8:dsf4mDsNDfCUCWvZNtHZCJ7xLN9dfQ4h	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:26:09	7854cc3ba0b3eed07d572a455710fc9b:zzimHXp2iVQFW3H8D8BfY1Bx0O99Is0I	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.54.62
2018-04-28 10:29:27	b5df2763a9a2873b3f152fabef84f2f0:6Ihcinri56w2jgyLfSNCyENO6mcjGeoj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:30:23	2797b1994cda3a66bb81f3a0484843fc:KHyqPNI4mwmkEv7D6JZcNjuThQeyV24z	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:34:48	eab20d328b2f46e72d7d40ab5044af9e:QHI7JVilDrtC0Z1dfIJlsd2Hj691QyHW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.14.51.70
2018-04-28 10:35:48	1047096305e8db17fa1a4640522f477c:71rea0jLeCcSFowlavNcriQXG9DLzjFS	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:37:04	4edf3eefb425e28011838af2c689adba:QS1ORTWxs8RemHSqC0kZ3c7QqimDuz9B	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	27.246.33.133
2018-04-28 10:37:28	a418999a0c65478d22613c82dc5518d5:vbX5YETzEzXCK1ofsUsuDur4dUcACTRP	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.14.51.70
2018-04-28 10:38:04	063650c085432055cd9b83aed6c1ba43:AYLgYqjeLruLMhSd3IsoGDmqTR0KA9Vr	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	180.176.122.136
2018-04-28 10:39:31	bf9c11996ac368fc2c380bfb4a5ef078:Sb69DaAZTx5Wos2cGgGlM20BSt79XG2p	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	27.246.33.133
2018-04-28 10:42:02	cac6d533356459590aa40c46ce1d039c:fZMTHhXfXxu2JVRDnl8CovGTqUqHOG3r	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:43:08	a439cc9a317f919f2fa78461f16ae007:TzdvDtmeYukNCZDk9FWNuXqHi0Lo41c6	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:44:16	4f56dc338f66fcaae8e5f3ee9af1fa34:fS5nVqH1DI40LFN2J9diZesyGCYOSh3n	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:45:29	7fc4be2102cd4a0f5e2fb2e56863c4d7:zRgTQfZkuwZYHAG1g0TT7Ts2MYIxUZzq	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:49:32	06a17e50a6c4094b8c19bebc32e53424:vrpQxZCojxAQhLlwHxvRUugHqI7Y7xws	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.45.62
2018-04-28 10:52:07	a3f1e6ed8647e580cac78f89b9b6f543:Uu8ig7wGEFPvuacvsv23INxy1f8Il8dJ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.137.0.202
2018-04-28 10:54:52	dbe8cf4c9aa5822ef69f30c07660d723:G4baYNBoZTz7IKOEPlnB5sW4EKUOWekV	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 10:55:09	1b4b93dbe156c66898b4987f2ede5d3c:KD9WfKMHH0wDozIpZJybVUpJH03awxWN	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.34.219.174
2018-04-28 10:57:16	3a941224af5479348f9b0c63d48ea5f2:bXlwAPts59ZORmxQIhUAwEhzTVggYAf5	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-28 11:01:14	4fa0d6e4959fbe82e14507cc0c353340:v4iO7ptjKvaddAqXOIUsrOpmhG2lYtHW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.246.225
2018-04-28 11:02:30	878e1578b2aa4605d5994545ee884b62:hItvkDcNUqMsqus011nMlOxuiZ5wyYqQ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.137.135.229
2018-04-28 11:03:30	9552a32a5da921ebf3394bf38ad4d93a:FAUdBTQyoWKTJsPGZ1oYEQc6FeQRTFYx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.246.225
