2018-04-30 01:16:49	04d2572538d731ac0ff015e8ea0650bb:fbMJvfwRVa0IL3ut2PO9SkXZ5Rf6UcGi	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.43.118.29
2018-04-30 02:59:04	8f974df942c9cb81f4ab4d91f03b0dce:EWdYkK8jTctmIkdh21YGjh4GSM7Jhlv0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:00:15	f546e5a531022939a1a1f99f0032f05d:o5KI4oAd1FcGupq5mGXCIaByMS9E7Uls	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:01:09	41542f2f82f9fc53e712e8ae8bbd1d99:ZnqRH24dKFeTV9NWcw0DrxhAhyPJYQ6p	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:01:59	06c905212d2fe15630f32f58536259dd:4CDKxS8NYr98nl6Gp7ePD0h4LRjWirBS	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:02:57	6af1708c6d63bfb197251fb999db367f:7AuwC7zqIqbV70UkMHP25OSKaLSXR8jG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:04:00	9d99d31122a3b8be72492c83552e6ecf:n4tX8OG0HCD8C0OZ3MZKPZseM9uQi7XQ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:05:03	798e53a59dabaf9f7443047272da35cc:B8TkpTQ7KPPP1o9p4HOXrzHa58RGZZCK	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:06:18	ca2e7486d11a2180307a24d862a83a6b:LB0BcLRpSW19dYSSA2gPgFC8VRwuyDaJ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:09:33	b48268d06f64bbbb65753d50b8a95108:vLHsibHhiEl9Ob0R0o5BkHnI2j3KFsTU	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:10:49	f861e6c8964ca5e84afb1995590c5568:GSimyFoO2fS0yt8AVSoe7380LZgxyQAi	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:11:50	e828477c16b053fa3574814a471881e9:pbRJQbKvtEF7Y0BHdpm8ftg51s1okuSW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:12:48	9d82a7503630dc59741e812d3d291aeb:9kktwiW9XNGri9zwGB4tv7vAiGHF0aCh	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:13:39	ccb066f44efb9270a799ab9a9a33da6f:FvJT79gvy9ZgWInHWEeoB4pLLd8f571t	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:14:42	aee0262bfcc9307a4262d6919f4a41e9:JZzVdisgUp42NbUVis1ZZ02xxNkFXJ9a	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 03:15:36	8d8e0e06e9de69ccf43b8c35dffd1651:xcfINJZ2kDFAYHDgVUrujEi8M4VcBgsz	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:35:01	d5325a75d75f3c83ef0e74f908578c5f:MsfNJP1FHnY7EeowkmyV7uLAOBEX4Bwl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:36:32	ecefa9cafa6fb740ee715d4ed9cf25ae:VfeOqtrz8gioAG8KIMdTiGYAgi9jqXCe	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:38:14	35381b79551fecaf9b0ea5496f15b92c:MUy3UAs3jtuiLLgg49wyR1YRAeWcEyVU	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:39:06	7d7173609c9a6072f066967f49a01f5d:f9IMNXIbZFZZru87vhAZeU45KAnUB60a	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:39:58	009138537d9656d950739c0e272adb53:rlFytKUswJE8YrRCNEF39xVypwNQCxJq	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:41:01	88360dcbdfb6a2bfc8169c640df0e9ad:QcqwrQSIjhJRanmTWsZQX3qZAioNJ9FK	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:42:05	bf247e103ab38f8806f61056e627b1e1:TOB4sRzDn7pDOA1uVUfLxhjNZObgotzG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:42:59	232bb9dc44a5518e4930c13463de54ae:wmfSBJP8GaCOGAYR19DWKbSi0w2f09Gs	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:44:21	35664d537d95b8962a2409102e0ee24b:RiQsjQHY0SGyvsIjAlt8kKOBF2VuwYoy	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:45:17	4139dfa5bf1cd42b8fbcdb2d9f08f2de:30l02gPsU1STvuLloGVcnrjIs3ACC6T4	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:46:20	44f7621ee496e009bcb0f94322fcd22b:GilCQRgBpm4Iuo86bPmbcybwaUyBHlca	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:47:27	3e51ed82fbf3d6d8b31716ffcfe47d7e:BhSILhrIlGPXlNRE04korfGwwUX99ljx	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:48:41	52ae015dd3fe2f2bc46c40e63433914e:PjCmiOx5tJhjY8ucCFMoe3KbIjNY3WzT	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:49:52	9c8032c4258946474ec486b97a5b85d6:YHHQF1l7d8mLFXtqu8cEL5FJcUAV2StP	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:50:59	898fdf1b7bd38211e2c809ca64507add:qswDi51YhruhWbpTHwsPxrK4SWW3HQuE	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:52:04	7d9db855502e1e0a0e40564277a2e5db:i3IiVGbPiDE7tRbReHeVYqJ7IBTWVjH2	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:52:59	0780f7aa7856cbd64f8fb352a9095d7d:CCazaZMxioqgHl1uVEBfCLh4pOQSZcbz	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:54:26	0e8e93f62d887dc0060d30487171f089:7lJmNOvmiTRHoYIhn0DWWtgP9aKisOda	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:55:35	e1b49f47d71755b831460b65fcd6560a:QSasQbAWqueELYntylCzGIvmF2IIDXmO	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:56:55	e6dd6bedc517284d09a802176f036baf:GjqE4Bh9Tj706Zq3NjIshp3YmOykCpWi	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-30 04:58:00	e3d4c239b6b8562498a669b7cc602687:sUbdwVCGDW45HJLYvfIZVgoMtBmeeIJz	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
