2017-07-07 01:39:47	2a2c3e7c5d53262f5f5e65fbabc6f6ef:VsdOBErLtnHCKMXBj2l6r7kt24KEtjY0	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	1.161.63.126
2017-07-07 08:32:12	9104e08fc008215acdd05824a1a30cd8:0vshCorxgaLLe45JcEVLOd7AUBV23p3j	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.9.106
2017-07-07 09:04:02	44a5489f019923d97ccc926407229236:reg8tvRRUPH2K0DOLzcbE8RUV5X3i9Ef	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.24.5.11
2017-07-07 09:25:34	4d1194db6733e5517c4bd847df90ad04:FE76GnymBOUK9KUZ11B9qG79laaXgRmG	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.58
2017-07-07 09:29:58	32440b5dce531b11fbfd2cd2edbbc425:LmgL4ihZEI2Bla7V8MysVF6ndo2VSKu8	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.254.248.169
2017-07-07 09:31:07	c32a4c47161e7646bb919784b08ddb8c:Bsf10Z0HV28BSIPYgEaJRu8Q4rxNx01m	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.196
2017-07-07 09:31:34	6063bb0372129a5a68442b9ca0c11870:MnNpwUXW01uRFhIFuBnJ1nr4HvYoDfJj	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.169
2017-07-07 09:39:46	d0e3261dcf061f618c7c11941e32b9cb:EgKEgELBEtNHZthotcWydH2ZJfQTVPv8	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.169
2017-07-07 09:39:53	70a63457e98b846c2646e866b49cded5:frxrfrps76SccZJCGV5qrRh3t5YSLMJp	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 09:41:55	8e6f82d70ee1ace5fd0fa57cc3bf59c7:g4jOpa8qaohoUKPAa6Z0UZkQjCXPwtav	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 09:43:03	55e68ca099d7e05e5304f5a7b6ec4e78:ftPqPYZcjUIXi6mAuFNZYz71tnm6HBUv	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.169
2017-07-07 09:46:06	ce47e79140a7c2a2a944de8ef9a9bce4:1Rzxdvr3SZryyNLOZoDLBvTgM06fLxjk	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.169
2017-07-07 09:52:37	1126f98e9db141e9bdf73b2f70663117:Dh1rGpHE0h90enO1PODBfMpN7JnrOMJM	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 09:53:30	853bd29f177a6f7ab6f4326e57ef8ecd:PvWDyB78er7cJx69WOxRO2alGiiQo32n	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 09:54:12	a75d1d827d93f235d4d38bd7127eecf6:IB07AENwPXdE4i7zyDAoRht8erWWyT8f	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 09:54:51	af4b86bc3ba3f7494b9004e43f2a5524:caaYNOIEDECI84q2FSFuPyJnsXLsgbLj	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 10:06:12	b0cf934a38fa9bfd5deec374202f96df:YmrwjCZScLn89GdwNicRXmZ1VyOQy586	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.30.210.7
2017-07-07 10:12:03	3fab13f699c9551ce2e63819540f963f:hfHDgTKzyBObiVpJhLnIYCEjbMGe96wx	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	61.230.103.34
2017-07-07 10:17:15	a8d09e604cac7bf2348f7b9591b8d18a:QhT6yzVKZGWxjEHhVM7xQEwpkgJcDkGl	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	61.230.103.34
