2017-07-10 02:02:03	60cce4d862d7cc07e75f46bc504e444f:JSR4ruxR3jLspX3o5m3Jz46rVxuGHpEN	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	1.171.176.142
2017-07-10 05:39:19	9c8b57bbbd36c8a1eb96c80b2a160e2c:CsC25Xt5dPWl49vQEf7ffiK9SsMwQvry	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	220.135.15.14
2017-07-10 07:22:45	82e6c2342a906223ddcb768b92878de8:X9n85a2wat8SH814ziV5ZOqJJtRmhdM0	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	1.171.53.227
2017-07-10 07:43:21	cee15cf1a14ab817921344bf4a64bff3:WuhMIQNHsGi0Mkkcc3kpdVYmpmgjKMgl	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	114.136.51.179
2017-07-10 07:58:39	7721f1624e2fefe5fcbdd51a1002ace6:mXpDptQdH6mhzKQOPz6t5NUbBIxbO5A0	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	101.0.136.173
2017-07-10 08:34:00	2dc166e11f5391c781643595146d1941:kqPLas6BF58IumJP3QEzlZkAg1m92PHX	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:34:41	8b759297c692823e6e9f5cf746e84472:f1p9E6tlBxkHEFTDkDnNfDTTIeyt010u	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:35:16	693d12110a504f8070bb0ae345ce3741:DJZexXg2XEUEKWAlhm2WCiSafQ8omj2e	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:35:46	27a23c00171566b5c3e08419e46641ec:3FuLQoFDEqdSrlXYoriwIppfNOuVl0In	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:36:13	62f383e13625020d97726874028cf380:nSFIVjLbgaeJy4M7nQSW8KPtXUoQi1GH	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:37:12	cbd421c5897717ffe735da2b97d0c8df:X8M25bGIypDL8sdAxhMUFYu5Sxpzbqc5	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:46:59	705c04aa503dd258e19c9029a61caa68:l1duh8i8jhhZUWCBzqks0hMbAvCx5qw6	Q1:公館藝文特區,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	114.136.117.125
2017-07-10 08:47:37	18d34c4e497a256341f46d9b4b719003:h3lj77Kv00tBElbWh7jP87tUZPYdbd6r	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:48:15	c6645188de3607508522d01091a5cfd2:X0wuHSXSPdQpARdVBMjApSjVzjDoIcGO	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
