2017-07-12 01:19:11	c76a883ec9ab0c654c2c7bde6691c6ed:IdYr3jdOK36JRgx9XzAHGIQJfdXmluAQ	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	223.136.18.202
2017-07-12 08:35:13	7371c7e52689ecbe3e8b25baef669e47:ffixcjKg9OQhiAVpRou5EZUhY7ujkuxG	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.181
2017-07-12 08:41:48	63a2781a525bfa358266726384377a4b:2MdWpyjynHy5hRn5REuMqudD6xkwIBf2	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	106.105.181.110
2017-07-12 08:49:26	ef88f2fde56eebd3a4a8feb456c6e8ce:nHv7Cai8HS2e8fVG26C162wTqhv20u6i	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	106.105.181.110
2017-07-12 08:52:12	9648ba7ba93ae90cbcf8c829e032806a:0fORYtosvsO89zUwriYb2sciyMvyCy2a	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,交通觀光不光光-軟硬兼施卡夕在,;	101.13.144.250
2017-07-12 08:52:19	01059d2492f9d0dd394fca3661efef25:40y1vk3cEztzXBXxACVdUrfSdY0OAvNl	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.232
2017-07-12 08:53:30	fc1e5a271632e5ed502bb08a438ba504:0T0z3Ca8aZZTEbgPguO1LyDxxspwEbwr	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.232
2017-07-12 08:54:15	86f255374a6ea4da0061b83e2f5b89d8:IXYrDGY3qI7Pcy3mUFTWTRNcqAkoy9aN	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	106.105.181.110
2017-07-12 08:54:19	cc3f0e081d9961b134cf30ba31c25567:6S4AyBzfsANfyEU9WWM2XSfTfvVjNjFt	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.232
2017-07-12 08:58:18	3b87d1e775f7f06815028224a12f9442:rUlXMlmVyYrLk8XbdEVTuhmkpaqAamgy	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	106.105.181.110
2017-07-12 09:06:56	cade86d77192b8d2818df710178cd458:o1UPUheGBiIAgPKQhCRRs5qpGKAjQwDd	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	106.105.181.110
