2018-04-19 00:07:05	62f3e05b01fc63b274e5d7afe14dcfd8:3MCJrYK3EcfPGIFLlMrab1mOjNynHeBF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-19 00:08:52	500619755020b2b1a5c8ab03d4a71111:UvzdHWrTUNPFWAvPFJJVnidIx6QPGAjm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-19 00:10:39	37304677496a237714ae334bf08ec56d:BtqCdL2ezc92puHH1SF0A0QwHNralnnH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-19 00:32:56	33478d8b52509895de3aeb63ab438f86:giO8wjK8br4wiIaYPwBHDINpXCPImjpk	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 00:45:27	e7a0b255e16c3ab44e05169f0b4094a4:ZIn2Nro4gPBZfdZltP4BYyhh9ONyVwGx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-19 00:46:59	53aaee6efacc8938798176a97b2dbe02:qZ1vznJMhnCBX7dNQlAfF05JafJzPBLB	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 00:48:35	b89aa08a27271ed7ce8681f55431bcc7:63HK0aAyq5yIHsqLjAQiMIDEo6Tdu0SI	Q1:百年觀光新店溪河道再造	,住好住滿	,;	180.204.33.187
2018-04-19 00:49:17	bf243b0607a2992422c71eff7d9f504e:EomBIJE30qiio3heg06H7EU4GNtHmTkf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-19 02:23:39	8e4729e106376007507f429a9e740633:U7kRPCCH3bWVL3H5xO8I5f12ELwCZdjC	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	1.171.56.32
2018-04-19 04:37:50	423c38b91d864ab2a5e9cd2a98b010d5:yzgUw3lefiJQIiMkSseYHyq2BpMgUEif	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.245.27
2018-04-19 06:46:34	837f2a8670ec5e6668a770f0a503b4c5:40PD90OD9WHaHLCSqufTV7yK4kyWvCDa	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	150.116.194.212
2018-04-19 07:09:53	788cdee883598c7121b8f199fd46b3fb:m8sc1G7b4zDlAkOcXK6YAY7Th83DYVZe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.35.119.48
2018-04-19 07:39:15	9ed1319e4057d3036597e59544669a01:V83AWr4vekbpNE2TRz2ZGZ5VH6yJSrJp	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 07:45:41	f8694989584de32d8325604b7d3adf1e:yFZtavUkt7tAiGxNQyhzPSS6kbz8jHeO	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.174.223
2018-04-19 07:53:26	d5fef13b7269808b407c5edf22835f70:lJNSAlCfW4C5dLF6vevynOv1KfThy9J9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	36.230.71.74
2018-04-19 08:04:21	33e955efe2b11742cacfe1989da86e2a:VivrjzBnP213v4JNpetFekE4nmu6L9S6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.10.2.19
2018-04-19 08:05:37	6247f618d29c1cf15d737813d8ac278e:t912vmSDNy0dSFegiZHZgeyFpeAyQhem	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.82.243
2018-04-19 08:05:43	d1d9dfd027fefc5de913a3b6325a0c99:0qlpPtOmEFSLebzmBDr6Ti0wlaOxj6rE	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.26
2018-04-19 08:22:12	8dcbaeee10d889f3bc6f25633fd52f02:Pi1VNOqfZW2wAZsufqbIE13bPmEc1Roc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	10.35.15.17
2018-04-19 08:28:54	f45aa7be1b6b38f4a9b3853398e60c29:ZFkiwAduz4hCkUZj9ylSGJuzv1LwRQT6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 08:43:00	ac3648ba21f0e85eded83688cf132893:SeWX4wkfptVng5KuujttYO0N50YiTNPT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 08:43:47	0d70817e884fc15009903bd075ddcab0:HF3bZJv6o2oTpT6QwJmk6tg4MduZieRs	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.9.192
2018-04-19 08:47:36	96c071104508f29308831b7ab5f1b33a:6AhkEpHEJYqYV8JoRvtoUKANPvQ2HCzq	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.9.187
2018-04-19 08:50:18	c411dc69e268b774f590f245029aafc7:6OkNbFO1VVsPGsIiC4cZP3KQZjEoNTRN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 08:51:25	c460d3f964fa062125f5f38a4fbc5741:3AADZ1tyFX5zfeABwIMCrrChuFXpjPRA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 08:56:24	139c1d0232d79006d4300aba4e1123c2:ERzypyk7RtfejsegXbtQY9YbLJkklHBF	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 09:00:00	74c0adf03120de371afbc13a5965edd3:IFUlohO0WtSx3KmW84R3DwH48RNIytje	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 09:01:43	9268c6797b7bd9a821ef935ac006f036:T7vgojoIhXbqHYUrfOINKAfZ8iGsvCSn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:03:02	1b44bc726d460a9c1bd9443c717a7b53:IQpJAvCjMWczriErtuwI3VKMkoUElq3J	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:08:28	90953b9df0010d55b04f3973ab6aa950:EZrM150RedLfmFkKYgrHNdWZ2Xc23Jx8	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:09:06	118e3e9f78032aca927feefc209b314a:1fYVlPl4Bug4Xz7CWmLfZHMvgR6jDgJL	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.174.223
