2018-04-20 00:00:34	81f165979ec3fe6e05f36a3fa23fa538:5VOryGbiBfj7ZEmRLeUJZzqcyvPuzcP6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-20 00:04:02	c78ca6e0c6ae4f11c32eb7d86e13da72:wD0xks37InaEB8ijUDdR9VXjLjRw0tzy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-20 00:21:55	035bda846b7857a58329340ff8a7a015:Bi28IiV56jGHtuCRIIBlDotNwdDEYWyk	Q1:人化交通，樂活中正	,住好住滿	,;	36.230.160.175
2018-04-20 00:36:22	933c77ba8a7e97bf81df25784cdaaa5d:SACEnbBADx6SY3oBeaxvohDJCE7EFl84	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.8.224.214
2018-04-20 00:38:19	32627e59407370ba4a31e7a8d24598bb:gEmwTMXeegfgR528Wt7vIKohu6Ad7BE2	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.8.224.214
2018-04-20 01:26:47	79a615a09832c3fafe17143b77bf141a:9ejDHmsqTkGAoSlikpn0DxMsEpUgVtlJ	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	49.217.80.88
2018-04-20 01:29:11	b4ab5db1311cfafd0a1aa40fbf9b931b:8kJOeqe13TCQ5y35LVQdUQWC6MSzR8Qp	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	49.217.80.88
2018-04-20 01:32:22	6a3d882b0365f1506e94f56ac77afb88:VhmESkMJOa6kpsq0INltCpd4TWDqPWXt	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	49.217.80.88
2018-04-20 01:34:09	2a88eb3aa827fd9de9f05d277f4e1b20:aeuSazKBV37nwF86S89aCGySmyGTbJ65	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	49.217.80.88
2018-04-20 01:35:40	a8d44fd8efcd3964f7a9be956b6a7a11:uAVMWgaWfj9g1QnkZwdteotY9u3S6LsU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	49.217.80.88
2018-04-20 06:52:12	0e3318e1fd543215916b221fcf013e7f:ikKddXyNcUF7X171W5DCUaYhGjIjDDhA	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.12.161.221
2018-04-20 07:06:57	1caf608b3414f7b838351130fc119f58:jRwN0iYIXw5yoVZqFRyYiJp2AU0vlnOw	Q1:百年觀光新店溪河道再造	,住好住滿	,;	1.162.126.198
2018-04-20 07:10:04	7baeb31db347f0d0aace1005ea46faec:EmETuMEgmWcNO7isMt2eveboIQ8yR5ly	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	223.136.238.175
2018-04-20 07:11:02	eb274adee58a651805082845e1409110:rpKm3XEXopeItfEgAhbgueaxHKd0GcW4	Q1:百年觀光新店溪河道再造	,住好住滿	,;	1.162.126.198
2018-04-20 07:58:18	1d5f3bcac741882eaac082ba615d0bb1:E9g9Y8Bb9dEs2DR3zj7Fiepkv3LF95wU	Q1:百年觀光新店溪河道再造	,住好住滿	,;	180.217.157.46
2018-04-20 08:09:20	b7aea322acff767f9856117e6c3ed4f5:RMLQ6tnuEnG21Zos8D8Ycbqoggu6JzMe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-20 08:10:53	0f3ca48db27c3989fbc65e1bca37b8bc:btLydp0dx1VecpyXAyVZ2f5AEvyw5P6a	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-20 08:12:11	aac08bc028fb30936b09187c8ca8fb5f:lWHcHKm5rQn2733BCnMAFObyMAymrukr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-20 08:13:14	2b223de498d2bc2b3c6b7d8108e175e6:vHxi4fIWJKhfvnxe6C1QUlEGJjGBINSP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
