2018-04-22 00:00:19	5f95b593fcb86a9a2b86a2f6f1a4566b:ypQoTbxV8Fdxm3EiIUE8WdsijMbnE0HN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:01:00	4103931edd11875247cc236af0651443:IPLyeQcCcd7liLby0taHFUSLWSDEtiO9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:02:19	880ea6dddcef614fc618a23af77d267d:J2MebaZPIdH50UI9mD6wEBSWP5BdeZuC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:03:14	f953cca420e12152561f9d0b4cd4da8c:BWHpr7djG1sGi9hOmQL1K0KOALT2QjIy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:03:34	07dcaf6b6fd0504663e46f71b414f07f:OHV9t9kNADjAVaAs6iVPIdwy1rj3vvYW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:03:41	1981c7ede633a16e1a8ce3274a75c0f7:Nj4WvNyTNtEGqRunJSsuZ6ntq6pd9oUg	Q1:百年觀光新店溪河道再造	,住好住滿	,;	180.204.65.255
2018-04-22 00:04:14	89eed3ba8aac93b048e81b34e3f25587:zpHiX5PimPmgdo97GnG2RB7ZZCulAe1J	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:04:57	0953f47afc60f600684180fe9a43d32b:mxGezl9GVRxXm9bOSGuGV7lHHfiBUBfS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:05:50	9fb2dda5c0733541261d3781a9512cd1:d5XZZ0whFGn2b5M8fGJ52e79ygZHT8H3	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:06:23	38cf360845e7a15bd37489d160416d1d:DuCjIOhns0iUHNRp1HzpvzvuZ68ChAAB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:07:00	894ccc55035ce209682ad08a3c4003c7:U4agtX1VjdKDXlZ6JIvXi7AReggn6gML	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:07:27	07eba3efe9b85a64b7d3b56d57a31763:8QZ713Yby3FMxanoA3KtX74D8ciDHK9L	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:07:33	6011ffd3ac08582bd58d30243f7619a3:nVwRbOHedC5AADeyQD45SsGo7VvqhFMN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:08:55	e3bb43dafd939cfc59571f780414899c:UscbmtPiLFxAGOUpTJn8ngJATNWYXZNI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:09:29	16bfa32a7c371c07a7793687920d8144:tsP8lRtV7H5JRPcIWHlcNB7bzsdkze5J	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:10:06	a75ef03e0a256f9b8b6e5a9882d9f044:wRKcz52K9B5UuBfeQgpxi513rO17hMEV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:10:49	220c75882bb550dbdaac1fb74376eb0f:GXI8ArjbaErNTLFioSlDBbjVwOrc5oJS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:10:58	7cf2b6eda31cf5123bdc5997a75f09eb:cgLGhyAMYi4heNGjZnyU61P3xSV1lg1I	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:11:23	0d040685c6d460bdd6237f3db70e1372:YQUQnOIJPPpVPwacI1ReMpXsrtf5rELw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	58.115.133.176
2018-04-22 00:11:52	7bc485b5cb21966447b7d6e70bd7602d:FbrIliMRKO5ZADRgYS1bCCbOMuloLzMS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:12:25	747ec48c5859b2e9663132bf1384407a:qb64D1JSvZsuR28ob0QOnqfg0MiXa38X	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:12:58	703816d0877414090967fb1b9e3cbf7c:r3PzYs5ef34LTAoBgqUO4NjB7VlfkGUL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:13:38	734539a822c787acecf315b196d8c890:qDIq8GmNLEwaZBvPW9GGGNis6vQf3xml	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:14:15	e56d35927448fa83b9301e8081fc2a0c:HVLvuFUIUhnoKRXlurYmXobkjjDXpTG6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:14:47	b35de08e5830fc743af912af13171bde:aoeF8ffu3CgfQUjdSz3a4iIuhWSxl1mm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:15:15	56af782ce80a59a67e611a71d0261354:uifmoyqggekPuxDYtJ5aApNueYppRMTg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:15:32	fce1d3ad6f9653786daa20550b83fa0d:tHe1weHCjp99uL4hEb1IAEgtCXLl7epi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:15:52	77a4909a5519afcf15ddaeade5957af8:F7peHsA35ZB9c71NMFwB2fDQdpp1KdKx	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 00:16:59	39001ed0514eb157fe1dc54a811de978:zj7AhSXr0KsbYdXpMFkChpmr8WQhbxXr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:17:22	4f6f7c22f61b5b17499d9a3141522880:OjrsDRRnwhpqXIj0f57n5pxybWXGhZ8a	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.172.233
2018-04-22 00:17:44	59c4aba73a7e8fe74542fe3b324a58fb:YDMnnNeJfgRiPfTVbVCywvILOYmeFRsp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:18:55	654e95d0fff920562a2132160111534b:I6ZMSccrk4nZYddvDNPy0bFmIveWOrw4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:19:42	184f9c26a6d82306f22ac0258f02f643:BRByu2uY0vTqF1ynObbuHJzFMzMc7bda	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:20:26	5033d49440eda82942e82cf402e6494d:GUnM1CfVTXMvT2gW8ICtFhhhPBNlORRc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:20:58	51a4f0c4e1c783429c43d4dacb214c09:62wAvhC1bspZWe51Qf10YX8bTUwc6Oz2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:21:07	933cce246aaaa64417151b303f51b106:sqZlX3Ike9xHmYZbXE2neZHZgndTbdH1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:21:48	5fcec5d889a2f530ed90a75b2f1bfe72:yqQRSHC3GrRQ0ssPtVPKhOkajvqy2uJT	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 00:22:20	a5712c5ba9d282a876f5c384b1d65415:T6R4FIwBin20bxr3Vg4n8yq8ghYVYsx9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:22:58	a99de6ae5d54f5b1509780caff18fffb:WIulBGmP9GvRuMOhJ5oqcgVDzgwLzu9X	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
