2018-04-23 00:01:16	e71c0cbc6ae89fc6df1c45aaff5c89bb:vabxMoAUwMxqhgSPMqC68T9KLfcbhWKP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:02:49	91497e608d6ac8c5b052b5d01c358c7f:lEcVyAIQc30AZFcRQ5lglqcXTa7CBrRo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:03:20	55ab5cbc0fdafa3010dc3166dcac9704:kGHLpiVQrR5BpTpc5O9RSZfCJND6ocen	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.10.67.163
2018-04-23 00:04:25	9524eb4cbaf027b044a376c9ca8462c5:DapmCubJKTNRixEFTrcawatw0Envov0R	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:05:46	4c271c3ccd08122e9e21d0b4725a9636:3yLhOxys0RMw8n9WplrOqIeGrBxhZi0N	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:07:03	d064101476d9065c49c8bd8831b31dc5:S9uysODrBlnWArODB1MeqQNZJZUS0oMx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:08:33	247c457be125882b6a3652a02f688b55:DTXzbPu1aJt3fiVjbQPRVxB62XgRDpBn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:10:09	5d7db2e9355c8c6abe817c1b03c144df:yCn84aNrw1b8tANX3mocgWM1NsbmMxbg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:11:18	5215091f0538519b54b67a6803cebee7:Hs6Cc4yNfpPRifg4pQqtcnAwnUFTPVAR	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:12:37	75be59bd0459cdabb695e650ec8672e0:AeOhdwnnnLN738Z9BZv3D6BJgCx1EHYD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:14:06	114c8b134b743844e176793b2d77dd10:nwPOy5l1dPqZ6Oa902ZqJswC0qyO2bvP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:15:22	c963413d14f284e72cedbd64a078016f:Y5RYVYGXmgboRgY0BDhq1QJMwThhj8mZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:17:06	f4746b5ec584cdb5cbc54dc35e6c9655:Th6EbZASzVq5kFhz1sYOkiMwHsERJkam	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:18:20	0b7149fee3af1f9b73d99f5a33da72e6:rzvbKUrPdgRA66BjFjLDCH9fiRtiHdGf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 00:19:49	c6959ad657ee916fe7213057d326cb34:UG8ixxLufTi8ARu1RQDDACNOcBiMsb31	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-23 02:15:08	dbb9172a5fa5d26eeae0fb8f81bf8f45:ZQrHYZKr6m1a6ngClf7VukZ4rxMoWGGK	Q1:百年觀光新店溪河道再造	,住好住滿	,;	27.247.40.112
2018-04-23 02:21:14	80bc9c294edea559d320329cb703e8ff:xc4GNVHC1hwkth3R2jMPpPZAHFqrdPqv	Q1:百年觀光新店溪河道再造	,住好住滿	,;	27.247.40.112
2018-04-23 08:36:44	e250f3144de5fa92f3173fc38b170569:mpr1dSz1dmjo3vjiOAJUZ4dtqYFKrhZE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.9.144
2018-04-23 08:37:23	296cf51792c23a61df0665c4670fd1cd:lYqqqzeepKrhnHg5I8orQcKHwuJ0zV2a	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	210.243.26.223
2018-04-23 08:47:51	0322523dabf04ba1ebaabcb1f873c2c0:EbdI6jqhS15SkES3QwIpvikHiwLeOnvd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.36.19
2018-04-23 08:49:53	9a9cd76096a94c0d745ec92f28a702f1:3hGxkU0l2iFvHoOR4CUmILfUX1aoYlyZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	10.254.248.210
2018-04-23 08:50:50	791aa7654754418890510e0923b7c589:uyKy7IJlA0W215cfZX8HMRwgt3qj69uf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.36.19
2018-04-23 08:52:33	5900f98bd99b9cedcb3b2e9d6dfa9875:9UClrbnpwalDdXHUgeCNiErtxLsKnwUH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.36.19
2018-04-23 08:59:18	130d1eca5c82e96c7c1059d7c2b59bfa:IkddWpGZ2WTQMFGRW5E6u9lySkmoYq9m	Q1:百年觀光新店溪河道再造	,住好住滿	,;	115.82.146.186
2018-04-23 08:59:22	c5af7c3e21e57593f0a62ce5ca195b09:qkQfTdGtMOuHLCfBnWl0lSIk3n7iIyW1	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.138.81.43
2018-04-23 09:04:20	934d5ad3d507756a6f4d92595dca1578:3NAexeybo0BEc77prVSVbqsXwtOWIZ2G	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.36.19
2018-04-23 09:16:21	df293567140efbe14e9678d466252cdf:43mHUfgpVwyErXWtHggnCTzmdchE2Z0o	Q1:百年觀光新店溪河道再造	,住好住滿	,;	111.71.36.19
2018-04-23 09:28:19	1859be2f40b15a220d6f513a18997ac1:N6QZAN4KHOrHAyoctxSK7mAMSIgCZmMc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-23 09:30:30	547b4fb160d25f0786dded6b35568420:zUunSq9WWnr7nRqLZ4axYa7yBwF2aXJj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-23 09:32:14	8d3823eb54d16f8b2fe2b79fb887a5e4:QVf3XgKTsa9w9fW0sfvIrEogIf9jHKsJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:38:43	512890c127a5c7c01c085d10e1d2f973:9PZmjZxDdMkDB8m1LiMbuM34b0XNaLVv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:41:30	69ab39385c6744277468ad0f23c4de82:qFDe7jYjqnXLMwj2uWfvFMbDhEWu1uJb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:46:28	45d03be5ea1664a689080221147be993:7cOsPJ4zhubsSP6h77fRYCYpCmcYxEe0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:48:13	22752ee70cdbc448dde313588372d497:g6Y6xvdlfdyhhV85ADr5ANTNoGO6su3D	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:50:53	944924b8dcbbc95f782b32b8585c5532:EUPSTZ7MaheJ8vsdAjctHMc2tQB1LzGt	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.151
2018-04-23 09:53:15	2b6680ceaa2c8ade31a8233e6ccab839:i4XCjvUP2rxcH8nbcEGQw1sdutXIQoNM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:54:30	7e01f694dd79111e8a6c497ae36d6be8:f01VWAajblXYq3TCp1sy9SnalO5WPtpD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:56:12	e0cdb74a74e28e77976e927d6c073114:pdsQnGrOCvTgsNmaVeZ4l84nusJh4Bab	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 09:57:39	aaa34681abef01b78b7c52bd901185d0:6w3MY6HURTFZyvY3ThPW7apnennc6DJk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:01:21	329278a3b1fcdad999e18fe78d90763e:42Qon2b2z04W7hOpF4aPQquJDxVLEh3B	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.36.19
2018-04-23 10:08:29	8760d4f95faf0f896aa1c45ffb34398c:PaYLMwsTLBkvcAspXCPupaVBxjwxBMRL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:09:38	7b376eb10e04d9bc18d039cb58d87343:zxCUIu31ilP2jMTDtpl09NWfVqsM2mFJ	Q1:百年觀光新店溪河道再造	,住好住滿	,;	111.71.36.19
2018-04-23 10:23:51	f678ed9cbb4aa33b2bb9a396e9dffbd7:IzF0bbruDv2Z8U0WumtzHgEOmrGQtMjW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.151
2018-04-23 10:25:04	2cefc1053e9811ca5b7db05f0c0cd0cf:wn9lzuNx5ZmnDIR9scCLtxvdNgRxB7WZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.36.19
2018-04-23 10:26:12	a6d63f4ee71a82bf8fd0edc456db302c:0yL6PeFi9CF4NyAbGdFLmcF5jx0sQerc	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.36.19
2018-04-23 10:26:20	9494daa6e5accb14a4c3cad1856cb492:bhgfBd3lwB8JEwoVLhpV6LEohrJKTRRU	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:27:16	a1a5465c071b976476b7060b495dd3c9:k072hbuBjsrsmMMt323sqcFuUdFC70Nz	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:27:49	59fb9a3379b779dd13764bd28681212d:hREIY29cgw5XimMRVbnStF0ZW1iOxzkH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.31.42.15
2018-04-23 10:28:23	3b6cf7efe6f55b707ed0a84eb86976b4:CBplQaeUkvoiB9NSQ0BduRnWT544rFmV	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:29:28	f94eb519ec0244070d6f6b828049b047:SbTNM56L9zzyjelCDSxPgX6LjqXTTRAP	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:30:15	a52729792541becda7b9a8f06552fab1:VbW8B6XRVSHMxc5DArvHiGSKrMjinnmQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	10.14.100.100
2018-04-23 10:30:24	3e97512e1ece0b4f1c122cdd7000ea7b:5slymQHEyye2eYhyIwDPSy3vI5QupQkp	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:30:41	0d4d8ca03edd07c9a18bdbf51b6dc50e:EizpbKb0RXFD2C9zhe4K65JyzPRiYeXi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:31:07	e173e4846adeb6d067b11cc0f0b9dbdb:wQZYZe20K6dPfDVJh8Hy28KXtvTmZEBU	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:31:51	bc4f68bedd21378a7daef11f25595556:BeqTD6spVkCUkud9f4I2kJkhvw8g2c3R	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.223
2018-04-23 10:32:17	66ef97fa4e9e43a0c793cf48d2f89304:II0A6Fi3Ch4jXMkXQxPz4vHHkbxlWZiU	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.36.19
2018-04-23 10:32:34	ea667ca99b7f3837eb9228a66a4987fc:oAPRiTOQhectO6w7EwG9nvKEAKvCP8ag	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:33:28	659b3e7ac6f80d93db4b19815683e2ac:Z8QR7QSK1gDjdVpyNZKZUD2Xlq9vp7dJ	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:33:32	80af9175191c90a8aef465d0d699d4d3:A2TXutu1KqYkfoqSU0mY0QH2GRfbHZtB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:34:14	be35c283586fbf2a60affa911a5fe49c:nWXYaEtuePcbyg1OFeePAX48PynVQVki	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.140.224
2018-04-23 10:34:54	8c87b64a32c65ea888e51898d799c23b:lOS5eiGtKsa446uznZbjnlWXK3FfS0q6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:41:00	ece01c17c89473e05586bda87d9ace58:IlaVLMGSGKMOzgnrVBGU3cRg15YOaluJ	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	10.17.10.7
2018-04-23 10:41:11	746519a3370f7c456d2eb18a3de96e6f:m8G0vngaAs8YovB4STc0x2C3Qu0BsKRY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.80
2018-04-23 10:41:55	a61d20fe87cc75720c487898986d5273:yZYp1nDZDk8yVcqsZOWq1LJb0wlTAcR0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:43:12	9dfb47ac6d9aa28d502cdc539fed51d8:5ahRnvFNDPGBOhY78lrfj7XhXkkeq3bX	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:45:00	0f00836b7d2703b8a1585e98b02888ed:A0cH03RSKXcx8AcmCl2AsMvS6S4nAFPz	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:50:19	8b5b09489929b9f1d8e8e78c376e5d53:kc4CNkVYE5SPfJheTZfPAq3JkBJDxeej	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:51:44	6a79c816513735231b421bcca2a94dfd:wHf7zhhcKzA2Xoy0hD7hHIUxVP2rAsk8	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 10:52:04	c75be572491b3bcc1e79655281944ed9:8vAw0gT6RAfDl4iJWagdNAEw1hSIdfVv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:53:12	3eabc2d82466827359174daacf85420a:vtxeonhS87CvWtQ7aTNlNx0hDyKgaSMm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-23 10:55:00	d75aba04b0a8f0aea2a067dee3309767:nOY92glQ9Y5VOvlijzTrhYQcO0T51Z8x	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 10:59:25	35305b464b66bfb73fb465c49bddffd0:U2WYWDwl80V71OdjmobB4ydiGWIH3rEI	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	1.169.108.74
2018-04-23 11:00:14	555694c4414bd2d5b12af7add581336d:LAQLQf5saefZcdL3uVcVM56KMILvHxEy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	1.169.108.74
2018-04-23 11:00:56	377b1dbaac428c411ed8583dae0170e9:0fIVB1BBshhdOBYDX3fWG3kYw4scH2tw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	1.169.108.74
2018-04-23 11:01:28	8ad2809bf83bb5a1993904d07a60c403:yerGgukmBGobupta2KlfrIq3GZ1YXj8a	Q1:人化交通，樂活中正	,住好住滿	,;	1.169.108.74
2018-04-23 11:02:11	e859bf74395f0058386986accb57d1ff:Wtb9MwXeD0InBGBKOBxMxIOUATN4wJ7m	Q1:人化交通，樂活中正	,住好住滿	,;	1.169.108.74
2018-04-23 11:02:48	63f992c9799862f1b1c409e9327a420a:3GbWQZ262DAuqrTLuPlr0a6boXEYVQhu	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	1.169.108.74
2018-04-23 11:03:38	9f9ce1766a0e1e55359cbfe03193b02f:DXKTGlTKahnd4yUcnVO9Y4ehRoLdrJOs	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	1.169.108.74
2018-04-23 11:04:13	16c4084f57cc7ea92bd172e732322bde:Fg0OZdkvkB0S0J2ECFjKlo2GGoA9QTEM	Q1:人化交通，樂活中正	,住好住滿	,;	1.169.108.74
2018-04-23 11:04:49	055a086e16a0c209cc613dcfb07c32a4:01VS8XpRvbAgz7IGPdq1kk3jMBgeKHLd	Q1:人化交通，樂活中正	,住好住滿	,;	1.169.108.74
2018-04-23 11:07:00	f1b55958b49cffceed2159dede77f2ea:DN0F0AgQHdw5lWI42NgAUZE79jct0Aqh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 11:08:56	862ee8508e07f5e8bb8b6082edb6e3ae:I0exUxbZVxGJ4HXUCIzVRcdEBL4lcFfH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.226
2018-04-23 11:11:57	9300d7bb6ecb452326ce97350ef7aafc:7WB2jdf8pT3e4dfYC28K9OSzKhCKVAIy	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:12:03	3cbe661491798a44f9d4dc517c4a16e5:ffQXDAaDHNEw1o4eODI8jtsWkkeuNOQW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 11:12:16	3b326e84e6b2b2f5ba6438fc8eb1d421:riyRUTb9oJXHZzFzjlNhOIDl3DBRcdV4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.226
2018-04-23 11:13:37	c4d178889cb4f3f3c3856c8cc0f8b5ec:jKIS5aGYg75iL6gOCM688kJxFtGF18jn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-23 11:13:44	216fce98ef0d2c74d9eb82b143f667c0:lh63scwlGMvE12vxK0lePMbIontYh4wg	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:13:46	d987b4b88f8a2d33373d052996e0ef05:yTdSbSYU0kQaKqGw6T9tfvunYI55Bdv6	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.226
2018-04-23 11:14:39	bbc74a4134fa8e8be21079a85843427b:rLOKfjnoQrMP5GbdI2bFGENzFOkuZ6jd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-23 11:15:08	43f34b77816aa8872d2bd77e30219c5a:TDgflhmc7jxpIa5daCqhpSRCtILngdo8	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.226
