2018-04-24 05:35:47	153fe8338513d677e70a32a43415e9d5:iVfCbMx3omoOMBCis3MS2bs3ywE2JUci	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	27.247.107.27
2018-04-24 07:45:00	d2bb30733159747abb71527be141afa2:yxIMVDRX0GNJcUWjP7jNsaZ5NBNlSo5g	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.26
2018-04-24 08:04:32	a5902ca0d208eca06761ab771b8f8da6:Kzy43tRwaPmjtk82ukpTy8tj1UyVfgO4	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	117.19.208.167
2018-04-24 08:07:31	6627a901638ced3308a5e5a2fbde2f62:SPQFQgyrHBeJIxabekQUSQ0tRxaXzbOv	Q1:百年觀光新店溪河道再造	,住好住滿	,;	223.140.104.30
2018-04-24 08:10:57	2bbced5c92b7c6306472acfff687ed0d:jFNrDMW7e6g0x62LiwgaVVmY9k5Hz1cH	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
2018-04-24 08:11:10	4607c94ad724f79d74f10022fa0b5504:HjYaMHtLwiSLWscbQ1Ml9wW1QRSDAzok	Q1:人化交通，樂活中正	,住好住滿	,;	101.14.210.120
2018-04-24 08:16:01	db314cd679dc2b844a1784818d5acc90:v0Ph7GdNWcTDIheLORGvgjEfVTMRQIIo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	49.217.180.61
2018-04-24 08:17:44	cd8a67c09a2373862eeeb98c8cd5f8ea:GWhWUJyUn7mY5BT8Io3xbpuITZetmudO	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-24 08:19:49	83d3f77658b35247b8991e4a6d81d88c:bBkae5G9qw2ynI7OqARqqBdgbxVycIpf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-24 08:19:56	76b1afac56f938adebca4b2e8abf6f89:IXFd8ZeQQK7BRbgDdcNfUOFAYjE2v4kG	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	117.19.208.167
2018-04-24 08:21:32	b6734c47bac6786294587cd1025f024d:qIyCF6S2Zw3tmnY3eleWTPcQHp7HNOC0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-24 08:21:33	cf9f15f6ead0af2e6ddbe83cc7141d5f:SZ5YVyQr38QKyZWMMSsvdrZeqFHWOy2J	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	117.19.208.167
2018-04-24 08:27:58	d36b620dc158525a697c929193169d04:H9FJtB4zQEh2cmhpSMGovYSgpgP6xYWx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	117.19.208.167
2018-04-24 08:29:37	082beab1829c6b88d91f11a071896cf8:KRAakz8HlNbktxBJP61TGaKfxMQR1yeL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	117.19.208.167
2018-04-24 08:30:41	3be8027e3ca69aa2c87bb3b21d572b93:9QCWMyqaSfoSWqQWOP9xo1YC5VWo95cQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 08:32:18	a25553c47cdc4b2b5a6f1d7635736642:iwd3yfTc3AdkWJJlNK3u4QdHDsQ920hO	Q1:人化交通，樂活中正	,住好住滿	,;	223.137.85.186
2018-04-24 08:32:25	99605ef0b71f8e03b2f9006f453d8a51:vhIBXgvfi3w2lzFN7Qi9aHQOnql0u1zz	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 08:33:34	ef0cbfcfba77034d52ec82f979deeb37:04Qaz4BCg7T25BM7XaiaeGwI9CUD0ahl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 08:40:51	651ae37adc3230b3e15ccefd695135ac:Wi4tBgxDuuNjzUVjwHrGcaMYub3OKcDn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 08:42:33	8bd192b3eae7af6ce698d80537a6eb24:qbHpi1vQx7pt155IOCvJwLLshhpt4hup	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 08:46:24	499afabccebc99608920b10bcd15e89c:Fzsy6h40wzLXCCoaPvEzSalQt93GolN0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:08:05	46415bbfd8c6fb17ea70407f25920bd2:qRKIlchxX3tM6u8HHRdlfBOn6rHruVft	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.19.117
2018-04-24 09:08:36	d7844aefd81c406a88d6e17964f158d2:shHDA4r4xINoFb8NlRma79ZBi9VCzVaK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:10:36	400d7d5037cf0005dee1a1c618ae8260:IW4pHw32RRYNSRSR30jrztRxxlXVoW3M	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:11:08	17457d93656f67ac48c82bcc97b71099:QRquWwnijfWPcd69yko8O8B6ZAgSpDiG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:12:21	89793daaa5ce9e0c29e1ce344c4b7ab9:VLUu8UuEGUqrQqsxb87uYrFwzcNKp3Fl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:13:46	5404f4969be6b4022cc5755c49992ef0:CNzVWiqvFalp18W5xPtFBd2Xf9HaSgQE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:14:09	6896f7ba7f1b3b02e775b17b3e88e52f:3tcejd4FhBJsXnf0buGX0Gvmtu6dwg78	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:14:51	b94501a6190d3fea9add357b1f0f677a:Ye1ldsyygU7sV4SdfhjWxM4c02i7Egbq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:16:05	ec75d72374452bd9621cd76a0fb1a62e:eeZxhfO6UQDFQTkvAQMWRdZHYiJ8BZc5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:16:31	b95d133da8330d9ada4e57f7d429bf64:GUOz8iYtAPLOAjibGzfd2qjAKlwNWNSG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
