2018-04-25 00:19:56	1863a14662870d533e7a7bd983b9e811:4uwz0NBwyN28TTBZ95gS6gHMqjwTCTS9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	43.248.17.110
2018-04-25 00:36:47	8a701138348f84a1e7f63ba92ae5fb89:HCJrcqueX2o9HQT3p8i1b84p6t5D0X3O	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	36.224.138.242
2018-04-25 01:01:38	84f52e007759c8fbaddc606dc218f948:OSEjw4l6pryONyrGlEJF1BSDNquC504i	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:02:57	ad923ee92c2e96ae947951b4332770d3:jYJGMM4watQZ1KJeg0UDnSTowqtZ7g5H	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:03:28	eb79e1901aeee4490de4c9a4dd27c38b:WFvQ7533GAoXy9gVq6PqDWFocrwv24uo	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:04:07	40e01506c13a1670d3e7dfa4e4c16f3b:uAf6AymRnlFM6DcYnbHab8GCadBJQgzX	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:04:39	e5017a92ef6f0a1aeb032765a2100400:yJgnTL1v6ddnsuHPsSqKA8FXsuYpjHLe	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:05:12	1304ba07cbd9e6bbf5cf5a27b92c74fe:fw9sKHUXm0c4BELNzxD7KTK88HVnjUnx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:05:44	cccb1d20038e5545554e0b2ec6abc8ac:vlpcEuIrjXj00gtrQ2kNRgKmUHx5oQSd	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:06:20	81b7a8365293a7213af47dbe8aeffb04:hktlsUocb2Vv4KabKhblaFtPtP3559lG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:06:55	1959739b293467c4cf08d09df6f5fe6f:xsU8X0UCLiehuPm6qMI3mTWdT09XPcOA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:07:27	c286816dc3858416dfbd8505cf3978a6:HVvoHEdVILMgJgcrtDU8hXkIK3kHssb4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:08:10	7686fbc78e6a92d6ae354b951efb9e1b:tbABDxeeyuMNCXdhEmPN65JfuUrs2cWU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:08:36	9c74cd21dfd783be1f0344faf99f9c03:xBwkJIW443ByjBKypkWp8TJQPPeoiHkt	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	118.160.89.30
2018-04-25 01:08:48	ad512ed86fe8bfef914056821c351e7d:PGB292EeQuQR82hxnEb9qqoeawaRpWyA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:09:29	602e730f9e73d5e6efe384723112466b:EQdAirn3huqwCOV4wwdSN0TwfY5xe94e	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:10:03	14e3a528b37b31ff104140bd2e7ac1bd:Omh8w30YOfj8sSie2U7obk7Im1Fy6aNn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:10:38	3460eeeea0558b1fea2c17df9e46e3b6:0hhZtPqEDXA6JkhmoJFrQI7IqiwTUOyS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:11:07	5df05e4e341e4c97372a4d629e93dc6a:gwhSHlyZ1sb5huuoYn8PKxOf3bYSCajk	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:11:43	673dd1a8c422667a40b842d52e231611:mmJNeg4fZLTsuimxzCmvOZNSoRqgArFa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:12:15	9e66837f3913f2fd92d3a2e4791daf32:ddjzbzr7gd6XIz8ZMp9lhh16AafNLUVN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:12:50	b77dba2f869065a0d4a46988a0d6737d:zvxak7AFKDSA8s4Bp4EczVqGAaHPWgag	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	101.15.192.186
2018-04-25 01:13:24	fb762b3ffe3e2375139b4e0afc0c1a43:mm4j1IV36d1MOcGF15YEzjmSyEXT7vqG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	101.15.192.186
2018-04-25 01:14:02	64df1e10a72c4cf61bed8f37a402d984:s0zxTYdS2p8RHWm4H00332AJNikPybf7	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
