2018-04-26 00:17:34	2d7a3ca90d14ec8d1463883f9ee096ff:8cwhhLosxxG68OgX4wP3A2En7mjk8EYb	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	180.217.102.21
2018-04-26 00:37:52	203d5cd37069cad7ff60e3c141ecb69f:jFUnRlyV4KUEqbGXGhhrPNYOTCCcNbFd	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:39:53	bc8f64635320ad2851dcac793612ebf9:yhQqlAyHgHHM4rRYZ0USi9E99teesv5e	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:41:11	72e2f161db50ce588f40172921c2d715:5BcRT3cNHg32Pyl5FaLswFor9dIooFNk	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:44:31	2b49be94bda5ee12f3d7e43e4f5dd98f:Ffbmp7eCqa2XbxoMUmaZzHbu9XzjPWvY	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:47:36	cdf46c6d28710d78fdd24ae1966cfebb:mWmclAjkjcRX9fcGpIiBPVCILpvWfPeV	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:51:41	0231f12f9912cda9e1b41fb57b6f1bd5:HH5XYi146oIg3etMDvJES6fj8mIGfQd5	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:56:52	890f34a4bb114ed30dfc3201d2547fac:PXwMLq3XZRl4SA9xxh4GmlV7T0ELoVRx	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 00:58:35	912a5401c4133fd8c2e31091c4b5d2d4:bXuwiuNVKJnxYkqqMxR6V2P1rh1v5fYO	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 01:01:23	5d6179f980683ff1ebd5e81d5f26b2ec:rDgFqdItHAowfuKJwqSL1ldJPABS2uOw	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.202.192
2018-04-26 01:04:21	a3faa838ff9437010cc3ef42709a592e:G2yZzvLFj1zIH2ZWsN7FbqBb1jbSbikG	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.202.192
2018-04-26 01:07:54	fa9fb6c5e67fc02cbdf84f3e591d42ec:5CjBGNZeXd43Kq5jGr446cRPN2SUTfuq	Q1:百年觀光新店溪河道再造	,住好住滿	,;	223.136.36.179
2018-04-26 01:09:47	1ef24c67dc6f4f095990bb8303e0aef2:5uiDj866il8hiLDiWIhhG7ahPqSVtpAH	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
2018-04-26 01:10:18	9343f69f45d9a6b64396e47801fa26fc:1AG95SCMIvLN6PXpS59twrGLgipcE9O6	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.202.192
2018-04-26 01:11:15	c57fd68dd3bc8cbca63106a7d331e931:NQzY01s0hFBuf9nBRPAXO30S0R32kTFe	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.219.133.178
