2018-04-27 00:01:06	53a483820702004af1fa75063a143c47:oK6hmQtnkxJUFxCU1Lxuul4kuhfnkuvu	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.124.14
2018-04-27 00:25:13	12de6d0961e417285b6562e86503ec0f:NZCowODSl58Kt5ogdjYarP1L1IofpY58	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-27 00:31:03	717c1fb2c4f53dbc3bd3b60bb1e33652:65ls7B7kF2Qt3GC1Ky1yF4CmbY3g4AGI	Q1:百年觀光新店溪河道再造	,住好住滿	,;	223.137.236.88
2018-04-27 00:38:42	e6cb30eed5e8e649cc18ba04c34c94ae:DBuKXtWcpEP6SpVr2HLNTS6in0oIQMXv	Q1:百年觀光新店溪河道再造	,住好住滿	,;	49.158.64.241
2018-04-27 00:41:29	00584bc8536731e50af3eff40008c832:eLJ01nTSTnFNPRtYAVGkJlJ7z6Hyei1v	Q1:百年觀光新店溪河道再造	,住好住滿	,;	219.70.214.205
2018-04-27 01:56:38	45c8495fa920a50a4bc4449bff8f7571:OVsMKtAFHWnjP8SeTRdlAtQPOofAsTAI	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-27 02:01:19	229bb9508d0448cf4d8c8fdf1e0a75a5:eORMqkQfQ5ktv8d9GvEkWmA4d4aWEyc9	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 02:03:00	07798dec88fc5a1bd57d28aeaab8db75:IlaaBhNsjoMvV29cYJlAEYxlBUzYcK83	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 02:04:56	71427871a3a432b7755d47be1c8e9399:DnFUI2S9UsoyELEOLyJMizqGbbnet5bk	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 02:07:35	c2029b6f3dad5dfbb8329546fafe2d7a:6ovB5FID29wTTG5UPtbLaTcoGDfn2onF	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 02:09:48	75059b38c9b850870e498860de248de7:PdIcAZzQfpk0nzbS2RQYmI7aME0jfVyL	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 02:11:58	a8acf5821df3ebc8f9d1ee5431a5afeb:ize4LJCIWDxXu4kQbmWcVHWc1XJelxLJ	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.32.2.79
2018-04-27 08:30:40	aba29d991431e9071432c031971e4f2b:JMfUhj0MmuOTLQ3E0Tj2BChGVQe3mp9g	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:32:16	6278b26b3cc7d925891b0dba8ec3b754:mZnJssMJK3UOQ5nREjucIDLr8UdSa2au	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:33:51	5c2804eeda0887cd849d7081b97ef489:wWy4xVWmt1Iu4RlhuZlpvkUtquvJKuvP	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:34:57	85c01d173a673d483dd0b61589f1498e:qi9M835aBR0tts3bqe3QuZJadmSHr175	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:36:14	f6d408d6c895bc5eb00c693c2bdd429e:uLJM4uhCX44xE2OUZkCBro1BcN25fMx3	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:39:54	5a3d7a173a681984f5a70ca8b314d7e0:71Lhixt0VIpHytmytPKpzqGU0qnHkcMx	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:40:59	84187ca0563568c4ce0f14f1372e4653:cCW488f9rnOHsjcR3ia4LLiiILpehogI	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:42:11	b7cf2d5ba4fc528dbb35a6f624325d85:4PEPqKtRizySMtKrjyOLnXBMsiqYWbf2	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:43:12	17cd25bed589596fb8e0beaab35511f4:nP1GrdPFQthMTrI15P82DN2c5OqhttXX	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:48:59	3b2e09ccc7a2cdf5444639bdb029ead2:Jh8lrdv97lrAxftBzEULxqKyvNTyoukd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	111.71.77.59
2018-04-27 08:49:39	bf016fe1beccf3ed45193b4b93488d30:LAHUvaIIpsWEYlRkh8NRTFuiwApURwON	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.222
2018-04-27 08:50:55	74d6db12fdfb49e31994dce0e36830e8:xrMU35IgGU7zn9wLLBlFkjjE7C5IaFkA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.222
2018-04-27 08:51:40	2d79e0e8b68720d85fb24023a5449674:ZvfGqUNT7gZtQol5uJoqhmNFF0F3qf5k	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.203
2018-04-27 08:52:33	b56d19a865101069de69520851363002:Ij3fRVobrZa671A9K89pBTNxnuIgG2Ji	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.222
2018-04-27 08:52:51	5c3600ceff6ffa45571f9b1703069035:ucnUJsxPBDu19viTEdQ19UDVAL4fd0LW	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:53:34	9d4bb6dd972709abd2782b1be277d5ec:FUmJVT11mx9xSvNo5pan52ZftrpmAdSs	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.222
2018-04-27 08:53:51	a2fc47985198baf03fd80e23c155201b:yQ09AyBmfQKc4SVQRU69dUcIgNQYTFdS	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-27 08:54:29	cac2c06d2ae43d679f24f88fc60a8a31:FufQjQTHqbyjE4himGficjvn9mTwybBT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.222
2018-04-27 08:58:57	75f0e84e60c16ce74450b37e9455b51e:ioWGevWYeIms1qkPSgWPS2paXAY8vLRf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-27 08:59:54	1dd8c3321da6d08da3b716ca25527155:Lp0XGkFZN4636r1vX20BV2pM67sTwA3n	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-27 09:02:43	30c02ddb5e449c3b76b7ef913738f9e4:PJ48cnKGKLt2pN3O4qYwnNrAsHKJU2xV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.77.59
2018-04-27 09:02:49	a1e0af65af51a215efe86938d8a4bb39:v6GVcOJJiFpgHZIKGmiYpVv7W9330FUd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	111.71.77.59
2018-04-27 09:07:22	4ca1a4a1f9bdc46eb1645e2937d023a7:rdPCkOvFSsp1vBiAui5OBszi7uWhi5Dd	Q1:人化交通，樂活中正	,住好住滿	,;	223.136.233.249
2018-04-27 09:09:01	2f761e709758f898cdccd430c212175a:o1aFsF2uIgUx0grTfpMQXDOOjE5HUAjy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:09:56	abb234e0cbb0c7c68ff2455c10507d84:IJzlUstyjedFOxp64XD5IRQ1lf3ForPC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-27 09:10:16	0bc5e8fae9ad835ed8008c1a6fa1cf31:8mYo4hHDFoBXoi7gZLFJer60TWIskByD	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	1.167.48.219
2018-04-27 09:10:57	e8b7f2d0a20b6f6d02ce4eb0d5fc4325:bIdOTJ2kQsc3SwDemKlgbA016LiM5yj7	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-27 09:11:00	dafa6dd300c703b26e31fa11a3aaff68:izUMsxQALRgTK78rXStbhAoxGOWN9ig5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.77.59
2018-04-27 09:11:47	a1cb71b7741ad1c24298a7de2830014c:pPtODbGR7oSKrzUbUU0vQdRR1hmWxJfd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-27 09:11:56	5a161beb6d6ecc9b17c899bad27455e3:BBrojYNRY11BxeNqLQj1PfPOIbwwGQc6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:14:38	12fd342af9b8ef38f9fdc6bcfa83013f:gvgzXNwNdfAGd1uPl8pKKnQnRnusPMNJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:16:34	da81210a48635fe02674f1af4ddd8009:DE7doESm7dGdhh0p5ZhJGoFwD8cVgIKE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:18:43	1d6fbaad22c5dde787c3629411da5561:2ZDVhrX9LyCWkmcD5txs1YzlpeDzZoAT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:22:27	5ec4df12a50642fc30482e47e4c70d17:fAXwxxTJ9UzQfhOpbNpTW9MJ2nzQCymA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:24:06	e23036afe8e01a0fbc52e1d8ebdfee13:IC2fTGDcF1KNPWy3iQshKKEx8fDCOX2t	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:25:34	97241f188a10222c25e4bcd4ad88c569:yF3UjGh1BRx82T38koBQBzwguEJCZKkz	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:30:06	8d89e1e5d09fe5d24f431502ed09de4a:sDDSBSP9Y3aPat5XG7YyaqyPEKIUU6JY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:33:42	24b6f28c1c49f5fb07c39098f3e7ef1a:gLx4fKdsWLtUrEruQMFnL58YrToZZFYH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 09:41:51	e3bc7697dcb04d8d072f783a23141390:55DzssRcIapMemjDlEmuDuzw2mmF1Njy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
