2018-04-28 00:08:51	bd85c5b8464b8441d475d5726d07e7b9:MFdp3wcbUbU1jWiim9fXQlbyNNFg2fbm	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.124.14
2018-04-28 01:21:16	9096406536de2311532b8de73767df72:dlrLKAMFmo1CWDU0wTaxnrEPv7aEZA0P	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-28 01:41:33	8da7b052dd9d570760d508b8b91761c8:UStjoDpOV5GC6tRlnkxmYe2ZmYiGbH1u	Q1:百年觀光新店溪河道再造	,住好住滿	,;	223.140.8.197
2018-04-28 07:49:44	c44030e829fa058e164efc560a4ecb49:aA0J9MSYxiCfHyy1f4vn3M5JarRbl2LW	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-28 08:25:45	447c3dda8e82cbbedd5b5dd15c871ddd:Rq6jYDsQ0YIdyA0wLSqbtEWnK7JXYf5F	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-28 09:08:01	9c1d3d717de541f3b27f7e30a3d87337:n4kH2z5UR67IsYlzk2qvoPdrx5AZbi8Y	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	27.52.74.143
2018-04-28 09:48:14	e2de3fecc5d2d117a9423d84cf564212:bukaSrGGxQdgzydQx94IaaGF04C27Slq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	122.116.40.50
2018-04-28 09:52:18	42f78905a0ab0c50617b1ab63d1f4b17:I6cJJPdiT67KdCjob9SQRwSpQfhXr9NV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	115.82.68.250
2018-04-28 09:53:03	7bf9061d56db20988afcd01976bbb94f:DskC9i8cMlcDlu4V5igSMGs3lLrAkrr9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.254.43
2018-04-28 10:02:22	4a29e6bad049e8966d8a4f705ac4458c:gxQeBro8ltaG6cMAYPbJ9iFHKQdIB1u8	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	27.247.74.113
2018-04-28 10:25:14	4866b17d1c3ddf103f74c5cc082bfc7f:w0CyMW1QZvQJhwI275OMb2f3SVkkbR1x	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.101.159
2018-04-28 10:48:27	460d654de76c78b86753a69601e0d910:7cAGb0VNjB0mE4BtuYBT3G9v7U8SQbzt	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 10:49:49	1895db51cc7f2c3437017ee245f28d62:EQLoQCT1H9KkEWkcqr667lckshAj57T2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 10:51:14	1e7f971f916167f58f9bfe87c4185e97:3kmspW2PenyfTxwPyh8PzKBVEHKCWv7c	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 10:52:45	a86b600768e8982ca26f2d23cf1cf038:oTerDkLK2V1t2OG2e0zXihLbuPT6kUhJ	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 10:53:52	7d39e8486718053134829289e72e78a1:eQPjt7fEiuxwrgeleM3acRpxmWfO309H	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.107.121
2018-04-28 10:54:44	e4ba26db6f4a99e891b5431a8072015c:Ai8cnv6uZs8vUrwfGVTEXlVLEWDuf3SP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	114.136.107.121
2018-04-28 10:56:37	6ffb7202d7ed5ce3e33eaabaaeffc579:p15hCfeSgl2PT9VGu92mJp794HGoFOBB	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 10:58:39	a7a2c78a6519d38eb00937000ff8e385:mSShQSnjo0y2omV5DZgrSJEMpjuDlaQ6	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 12:07:35	b0fa3aef792688a9001abb98b3def2b6:OjYHEo4sxUmh0ZaRhIzAsTZ1yHJRLklU	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 12:07:56	8d70b2fb3b8df53311b0c476955b55fe:RBAtHcopr7HBJTs30euF6z5UUAmHABRP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	223.136.109.224
2018-04-28 12:19:30	9859e2659b20583a11c106e1e9af569a:FfOzUwKk16Y5Uz9E0FVk8B4ysy02ro0i	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.8.197
2018-04-28 12:27:28	d9000afbb20d936090e16e3e295fd856:8Ib4PT6mtRYVdCgwwyq67pwpnWojzxrn	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	1.169.194.252
2018-04-28 12:29:25	8c4e5aee31c50b14c4a0a13e57e40879:7pGGX7vQW0Q0SU1XUAxw9MZ4pCTT9GNq	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	1.169.194.252
2018-04-28 12:30:58	105dae2b57aed0510fad41551529e1b6:B2UD2E3CKBcjl0ILfE7faWCFOiHMS5D1	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	1.169.194.252
2018-04-28 12:39:23	fe86694c801c06a49af01913e0b2302d:x7PSEwzuxU8ISdVHqwE7mBbOt6a4TrWk	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.107.121
2018-04-28 12:40:39	e412eb8dcc28e4222328f84d902e33d0:JPs32Bm55BGznRRmpyhqsPaJHEjvpxId	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 12:41:58	55180b00f5a4d269d947a6b8fc620b8e:Kv7cyEI1bL9KeoT0xD9SsTBbGyXsyAvJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.107.121
2018-04-28 12:43:21	6229c4f777ad23fd298b2d2283053d21:xGbibS0CU0eGDovEcDdtmLLIDBpOwqCI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-28 12:48:27	b31ed47a489473f3715207d640aa3bd1:jSj1KBBWTK6U21zWFtnGxkF9RT2yMimW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-28 12:51:29	11d243264c08c663372486ff56c10e35:CUZHiNrOm3vaFCsDe2aNhqrq084YRvvy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	114.136.107.121
2018-04-28 12:52:49	b170a666a86438777549cf26ac60f894:AzZY5McVfVVpC83wI8gYNpu7mSKItYlt	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.136.107.121
2018-04-28 12:54:10	53c7f8dca07af5ae4b3b18678d306e14:aVBedMPb47esze33VRtoRc3DYa6azsmt	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.136.107.121
2018-04-28 12:58:28	850ad9125447a02c190f2c1c25eac49c:O66hzyABiGgDKzwTzC28bCzvHfs37XF4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.12.243.234
2018-04-28 12:59:29	0c1990c53d23f3e69da29dceae3a11e1:o2WcLX09mjVGYHpaUgy72WcTtrj568re	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:00:10	0292a8191483e7135f093d914ba2ae9c:kh4kMAzVnK9dP68mloAduJ84OtQ5bAFz	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:00:48	71e56721d4c5895cf1fc09da61d1d297:GWaPaBaLWrnESoHLqrb0HnL6o7tO9Fr4	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:01:29	3eefaacc0f02249a989efd80b5205a36:uqAgIYPyI5LLT3M379LEraNJCa70jk5v	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:02:10	13f382961dc9391090504ba06536fec9:44bf41ucNWMJzKnHsk3IBIm9eXpMP6Vh	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:02:56	ed7107f54718df77b2c03d33100fdd3e:JgGSjCiRYS8zK6BWlXR7rJrLUUxb0Rm4	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:03:55	e8228052b06e9a019c80eb62655f83a3:skcqywRIENC0lJ0IRUZ8tuQxFrJugmzm	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:04:37	f307cab90383f01982de62f9be83d240:S2uLCPJJzvDMdOp3QMZnCDGWjRDgID3K	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:05:12	e6550587e8bc46ed9714333f7ad74101:subRtze7O7BFe8INGyPiDY8kWTUuRmRx	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:05:50	04013eabdec59955d636ed5e78f03069:X8D2nVgtqebLK07q5Id3kUZcWxk35dik	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:08:51	8684a13735af5adcbd71c3d635edfd6f:ho9V7goZrPL0StKKpljd6cg8ynjhpiV5	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:09:51	b00f561eba9c6213db239dc96f592078:Y4Bq01fVzZD5cjmHqjTlfNLvnpl4Stxr	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:10:38	cc6103e18be5708a8b2044c87c65e8e7:UrSNiHskVDagObQGUqDsuzjzp05cNlqL	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:11:15	f91ad4e3528284b415617dda3eee6249:f8rPB0suUVNZMTLnsg9tUgdzb0arCGOF	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:11:55	38292c4119dabd7cffbe65a1b086b094:gtCeGlAVTAPMJ0tQQMUHDkAdZ0gMB8UO	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:12:41	b665cdb26e630038a44d645bea0d76ef:TWcuFVxeFpX092e8y4BmkHAC88xeiUEM	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:13:32	7604f489c744d592aa618a336727cbae:6QG4vW8VrwbglM5avbCGegwIO9x3QT53	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:14:21	70f8dce0532ce95cb40cb3ddc80d4729:AJFar2Yp0l4aVJG7ubloxZLR7eoBuNaP	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:15:00	e3eb7955427b46eadf6244c2706e7dcb:nChSZA1z2WooSfFs3jQQjPPnjQFpwBC9	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:15:42	84ad46e304a33d5bbedcfc9989522ddc:GqD0hRI66RveDw1PebDlSwX21dmbpYOE	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:16:24	9c0dcb114695961f402f3fa5f3004b8c:Eb8Lrg2RWUEHK0EiW371KPWFmmpBXS1X	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.151
2018-04-28 13:17:02	cb0d3d2c60e6a3919ee5ae5eed166d05:4pMp6n3F6dK5w543qN89mm9TC1weZLKO	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:17:51	3a632dda28360d84985f78a5447041b6:ZrRjuToPsiiOZgU7RsgHdWPV2baXrt6l	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
