2017-07-04 08:02:32	af6e7e914c035fe1b936b101e076a229:ueBNyKEnP6HnjZmzUdjZ3sYEATiFkvS8	Q1:提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,象山好行,;	27.52.38.195
2017-07-04 08:04:02	fe8a2f80276684a503d6352404b8e912:fDxsgwJPaIKIs9iFZikpyAEPmZabqwU6	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:16:09	cd2981c83b7770d7524bb5213a54703b:BUz17vtMuSem3Q0phQqyBkklC6vUYxql	Q1:信義區四育區民活動中心,東大排新綠徑,象山心入口,象山好行,;	101.9.210.38
2017-07-04 08:31:40	2aa9799e98c8819f9ebe070f598355de:e8wqbNcpB4XhLXgn5UZv7SttApdLO4aE	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	210.203.56.96
2017-07-04 08:32:55	e2b3593a02c4845d925d577e7037d2eb:hM4rY7TmMci5Uzh0sSmjHtHhz2JWB6gr	Q1:信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	172.29.114.105
2017-07-04 08:34:17	82116c2d6b074e5791558994b774f839:gvXmZ4PZxeBw9O5mwTgRCCcaPp2WjOTX	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:36:40	416d01fded8ba99da4bec33745f997d3:kFfrd5LjiJQn9nF5wEcDsGtJaWvloT5Q	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,;	123.193.207.52
2017-07-04 08:37:06	64831fefde29af6ad3b523fcb76a285f:6vnepmq6RtZQosrNrFIP5C1KqCxdYKGc	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:39:25	32d71951bfa1777a5a8cb91dea50754d:lLPaVdEPekl8C57cGL9QvpFJA11K5FFs	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	210.203.56.96
2017-07-04 08:41:03	497712256b9dea88d4cd18e38037d3bd:nE8TqWG3ASlFdmWRg9vviln9G4LPQ422	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:43:43	d9c6fc4d3e07571267a141165248d9fc:nfQOOFE9YdPj4mLUKs6yELiUksFs2h3f	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,;	210.203.56.96
2017-07-04 08:45:30	93d9a832f96ca7d0babe14980096f3e9:iclgwuBOq2XLPBQZt2NXbbpSJ8bhAtXE	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:46:51	be696fd0fb890693b12747b3bee4f266:cGNPKhAgnARTmLS80i2QSFQfxHrHiNte	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	210.203.56.96
2017-07-04 08:47:24	745b5b812ead09778146af76d9b00a57:AJA0jbxLSocS4WTHdijzQXkOPGNRCQq1	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.136.110.111
2017-07-04 08:53:10	8c49f0bc19c527baaa41aebe83385db9:IN3clVnYDrijVTg1FsV0Ufm4kxmpwDmJ	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,象山心入口,;	210.203.56.96
2017-07-04 09:08:51	133d2b658acdad9218229ae0c3e5cceb:at5achmB9eX4CkB6wvQrQ5ZnOvKX6LHH	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.18.25.66
2017-07-04 09:12:11	d410982550d19c615853d1fa19f55583:l9arBKo2WfB4D5j9yjlmKzjwFcVSxiQL	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
