2017-07-08 00:07:54	8bfb0f1dcaeb160e1019b41285700fd5:zjUYRhNIG3lN2orRa5t4Bq2AG2fEq6Hp	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,東大排新綠徑,象山好行,;	118.166.241.83
2017-07-08 00:24:29	828f0542736195e9a0467326eab5ad82:lYb2PJftnoPx10lvSfg3m34baad2b41s	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	223.136.177.14
2017-07-08 00:43:36	b307b95f109e6ee03f729353faa7ea83:HRhJVhGVwwE1hh5joaYuMdEokWOeqazM	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	36.226.209.218
2017-07-08 01:10:02	14fe59a311a1849078c99a2163dee9d8:WFMJ5EhwwYKotMFYMO8UYXwYTMMoqwNq	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,;	123.193.241.62
2017-07-08 03:20:49	3272b407d37e5badb38693782d2db488:2jddzOsXpFw1QuvPUz7YNGlrTOwOSqkR	Q1:信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	36.226.161.250
2017-07-08 09:19:21	b56cfff5aa558c8d1c0aaf46ca7ffe63:2r0lBav6N15yU8811zT3aDcpHQh1lkJb	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-08 09:26:03	81ab9f72146c294c589d69675b6413d4:WWtA9epfkXMuKSHDEGpaJBWyqoaW9u8S	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 09:30:13	40fcb2db1c3df097204c8ae875eb03ac:OVySVIVk7JFhd7lo1uJ6cf0guiZYjyyP	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 09:35:36	4d3d0f26e7841b6b68d4524aba215225:hjoeUDTKHuvh1jxQLKLsMldm25M4YEzJ	Q1:信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	10.254.248.252
2017-07-08 09:35:38	893f03b10cc70a5e7d2789df8f2490d7:9uFEnr0PBWntKwrYvTYu60rHf1Sa4oSm	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 09:37:30	80e3fc230fed2eb6be5c7a94a2741737:kfbjQXpwXZfeCmvMrTJQg9bba0OUJVLX	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
