2018-04-19 00:04:05	af13ab0b11234174384941f6a5c6f608:dq0PiKqc8anZOKnTU3rfnm4wniKLZJ5H	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	1.160.2.93
2018-04-19 00:33:11	1f9f4ad19f68e22b84fcb23d3314fa7a:QHMiu8Pkz4NSuZR6lmMRZCgLpIbxkg37	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.184.11.138
2018-04-19 00:33:34	554406e11e1c06fd4e84be9d350ae839:psnvf8FyfNObwvjZ93uuQn5YB1ietjCL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.139.122.24
2018-04-19 01:31:01	931cd7d70534037d522d11ad70a5dfa4:UcyFnY5acdRzF5ndag63tmKncpn9HqYm	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.15.137.120
2018-04-19 01:42:21	b27e78c71fd68dcc5d7ddcaf70400083:HKHZPWBeZhG6banI8zZ3apGBsdBmOi1P	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.160.86.244
2018-04-19 07:05:54	2f7d4af6afd8f2223c2d6bdea588d273:zZjsiLJr5wL64Ypa0SQthOB3mOZPLYui	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.66.21
2018-04-19 07:40:01	fc66da2285750546defb1def3fb9041b:wnncpn297FaNhPuj5nOEBt7JitGPyAvQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.57.209
2018-04-19 07:42:39	de8e167228d1c05fbaa7d36b22ed26b5:EpDTDvDf9qrEmPOfRKF2YKLj3gm7XetK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.57.209
2018-04-19 07:44:27	d5f09e52fea29db1e1addcbaaf8e5472:o7jEz33ONsnfFgGMfVIJK40hWhIvGdiB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.57.209
2018-04-19 08:07:27	aa18fe2966b2d12022680a96b7648bc7:r60EfJYuwsHciXuHTihntuYDn09n3xE2	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	42.73.67.254
2018-04-19 08:07:51	dab0eb084292b4b74c68e06aab947072:hLp1BHJRhMjoWk5mxXCCzyKJj0pD9PXM	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	123.194.176.175
