2018-04-21 03:03:44	bcaa3ac19f200a9e52e9bfc52a358e47:IVmYpBO87fnPfWWSoXjk9nOxegV3xtIg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.28.129.90
2018-04-21 07:15:49	af87f60f1f14d5439b0d03e9a783ace3:4R6G7xPQQIDipjB7jkl3bsqPG80rNnrK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:17:19	41a1bfcb4798f8e1fa25689542f1153d:W6UzSUKFmYHvESftCf0PJUSJmiEgVNXw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:18:43	b412e4c08076c58f14dfd55337d123cb:ikQMrkKigAb4jenoNMWvFFVqD1iC0sOi	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:20:16	d9b04a5ac257882cb917893761286952:B7vcAYm36aurGwUz638FW4ypL8opVMJx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:21:37	2274ee01ff93d6e12d9fe74d90c695c8:JFe3Kih1nvq9TPCqoN887R7P2X2561KL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:23:03	bf5ad078622fb57b04025a93798e88dc:FxLvKfC3LYnakpreW1zC7vZVl7mAuwuA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:41:21	be00cccf1137510a60899290c7702714:ts9eSh96KbSzDD4BYEoXxXPZjoaL3tmt	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 07:43:21	46ed077522b1c2746c3e5fdc72fd216f:YLwgXGxH6Q7m128Xu6Cf2suSFQ2KZG2T	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 07:45:36	b5bfdee4e7d7e567af50e46b6870f5ee:JSgSgQOkzfklxsLhVrb8nKOPsd44Lumx	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	123.193.188.67
2018-04-21 07:46:05	886638cc39537dd8950b34a2ac24c94c:wUjeoikNQ7YoFx31XsBE9FWc4R7Rrlip	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 07:47:56	6e5a63afd2f722d88f80e1a777dfe5eb:7sPVLl3z6qqjQ25Bj19CXAaR3dkwKrou	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.207.64
2018-04-21 07:49:01	7f3e6ec627a10c1d6e86ae4d2e27532c:o1l3vzzzdfg1BJdOE3EqzEFyP0kWDCsZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.19.174
2018-04-21 07:50:22	63590c573d4f300798c4ed365ddf6199:dR6ikTyfshJsgweEP1ltoMS50dGxO3HR	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	223.136.103.70
2018-04-21 07:50:51	c70c5b918db4de1a742d903a674f3f91:pEQZ8kRXV1FZ3NVx9B2vM124h95eL69g	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	117.19.196.201
2018-04-21 07:53:38	7576fb94a8d893668385162b9a9a8026:jyquBMj072VPuXFe1S4m0UwwDgDVYVHd	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 07:54:42	6f3f63abc2f77b76b768a21fbb6daf90:fFGxTOVRnfdtWPpjmWzNoHiA8CqCHlKV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.139.149.115
2018-04-21 07:55:47	2bdb81bb3d61a621302ae2096c2df533:QDy1PKwobdu8dsmnqwWgc9Tucl9MQqTS	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.12.229.211
2018-04-21 07:56:05	b3b6523296e0a78f9f18fb82a5de2204:hL5jNifhC9Ts2O71VoD5R0Kczw3AovwB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.12.72.73
2018-04-21 07:56:31	898065328f26c6a31cbbf851a8db1425:i0excfiEgST8dZmgK7gGkhPOIZKgOMoF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	42.73.189.27
2018-04-21 07:58:10	d3c5ff28ca9c39cd4e54c22dbc67bcfe:GX530JHJMZVWYKzQDVGBCBZb6H8HFZA7	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.128.192
2018-04-21 07:58:24	bdd304bcfce4b8c32b07038b6280030e:E2JduUcUAb4FdYnRq0nlVjcDepSicUjh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.8.230.213
2018-04-21 07:58:30	d081d199f75694496fcd8f0465a043ef:MSWadO1eeMgbcEInWADOnFmOBoxJGghj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.12.229.211
2018-04-21 07:59:22	f248362b4069e5137d1eac3eeabe4aa8:x2JucSTrLG81OhzBoeivRWacZ9wnpMoM	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	163.29.38.90
2018-04-21 07:59:30	7af9a6aee3c4d45accf90d887b7668bb:ZUEGVL2EXtssK6vWdPyJvMmI8WGkr72c	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.96.44
2018-04-21 08:00:01	885be08b3f167431a6c4b521ed4f3554:mubrP2jmJ73kRpKYtiKN7Ia9mesKwGej	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	220.138.22.182
