2018-04-23 01:14:08	f0002695f6e13957c3cbe6262b13067e:xLIm4wJLLWm1reoQOQQRTkm6yLfVBSlh	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	182.234.43.113
2018-04-23 01:25:40	62e36c23dd4061a4173e93032c15c081:RcmwMDpFrk74jlA50XsneGcc3dO5zjl9	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	39.12.224.175
2018-04-23 07:07:02	1862c24bbd818efc6a58ab9c23401107:GJJSwAASX69WSe17JKACbY3lQ79hQfUV	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.85.181
2018-04-23 07:24:21	eaeeb243ff245555f61973ea763cf5e2:uma2JOn4JOCgmuzSBPReVJae5aBb4QYK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	61.228.209.155
2018-04-23 07:24:40	0e28d166fc0522869816019a0e708bcf:cUCHjnTMmQSGQCLbKbv51GPFK8GTzNxG	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.190.205
2018-04-23 07:26:08	de3e99a22da7f380f8aef74365dcf039:PKhs4rZylXEzchofDggVL230BncaRgxG	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.190.205
2018-04-23 08:01:00	4f7489c470264c6e9a01b98ca1547f61:fyvpPqx4fDmaJ2bOA8PptxnY9X6XXpws	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.206.66
2018-04-23 08:01:54	6943c436299ac4d4f27ce684578a6c23:rwXS7twoUpK09wkCVLnmPiVvRKh02eYZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	101.13.246.45
2018-04-23 08:02:14	3c61934829a376e143360e3da8d0a78c:hannYgGT3SlES0LTjkjCew4GzNMNF6HL	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	180.217.128.221
2018-04-23 08:03:05	99cdc4532fdc0cdb06352751faa1d4b0:N7V2kCTUQ2d9dbEiGJymmsqtq2Sc1I0l	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	42.73.22.208
2018-04-23 08:14:52	bc3dbe029eb89557ff51bd38b87e059b:uuvkUubGoymIDA3Fv18YjHyTbOrU46Qh	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.134.40
2018-04-23 08:17:18	0030fee2fdb738c49266ec585b1c51b6:3Uma1R7eEZKEFsX25wWxE5p7CG6tnxwr	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	49.216.162.184
