2018-04-26 00:02:18	3701a9ad57a20975c0d4f729d13decd4:k7ymaAlxYEOBuF7IDfCUgkllx4eYRJ1A	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	118.160.5.71
2018-04-26 00:09:02	494beb20b2756b72d5c522f77fda84bc:TcBu76X4z7kFoalggtiPsNfza5oBC8kO	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	118.160.5.71
2018-04-26 00:21:44	fa860d8fa775fbec18573c0ac23d0d84:1p67icajypfd9RIaeiFLY2OQHHrPNgpp	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	122.147.17.187
2018-04-26 00:31:13	4674883705c5a6fd1672c98c2e68e732:AB9HlR9qFvwEBliHpqNpwtnjgumm4A9S	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	134.208.44.34
2018-04-26 03:35:30	32c9464cf3a547e2b5a0e6ac5df6d64b:bXyroT5WABBsXCqfQsVLBcD6OaFPBvd8	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.156.63
2018-04-26 08:45:39	5c39b1240eb55ab6679350071106808d:KbPd9JJItQ9rk1PuUn6LQnH7VY53qiAx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	210.203.57.192
2018-04-26 08:48:32	944632c7dbba0b4be1d75f7f78a4f6b6:66GuVABDyodt9BNmas0suVANwOagtGAu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	210.203.57.192
2018-04-26 08:57:59	c7c0522322d19c5fbfb32fd1ef3c3c2a:R9iewtSmS4abB7icBQbMO9sPVyPRnrCh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-26 09:00:38	5df94301aa095411d3ad073ab6bd4e21:28nSesrBkjfrQZ4wlrU0pghMRTdGod8r	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.114.102
2018-04-26 09:12:06	2309ed542653df6573f1bc7e47bceda6:KgCxcwLxU7pUt6uVTDRVegCBJTG1jkWQ	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	111.71.25.200
2018-04-26 09:15:03	5ead9585cbe6eb9a62a79af824fdc305:5hVl79Svdii7OJfzocKWWICxXvOgLBvk	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	111.71.25.200
2018-04-26 09:17:55	4265538010e5ae435aa69bba73adf203:zOKr9Ljlb9S0t2GB0iGPWhm70OckzxB8	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-26 09:20:30	2c95a03b49628c57cf17bd503cb55068:lxqjmC8tXQI1RefnplU13Ase2mcUC8c8	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	111.71.25.200
2018-04-26 09:20:31	a46ba87a56ca6479f40856a64c32cb97:JhdMkkzenbdtkumdG2w7RgKpDgKTYdz9	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 09:21:16	c9b99aa538d863ba7cd27cd2d09cc203:ssoNFvM1qL0gXLTZbdmO51HFxgyGBjP3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-26 09:23:34	dc8a9064d20f5f020f477e4d94186b68:XGjnM80NwPrHLU4y5guRBr4OmhUHxtfz	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	111.71.25.200
2018-04-26 09:23:42	61f5f924d46d0d378964549f37b2f577:GyV0FhfCULk9Sv7z7jU8hOfY4XTb14Af	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	223.140.57.17
2018-04-26 09:24:42	e49fbf0c765c36a193405f7518d6cf56:AYT0ii6LOrv2fsHXkR2nr346pzq5zzeP	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-26 09:25:03	7e83add4f4395e1abc385c5383ec6ca1:JYms6hBVVlQ5q2BmjfuJo5V5OKMZDgpZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	60.251.129.125
2018-04-26 09:26:40	70a21513cf79703ba9fc4ac33bc06cab:t4WRVWndclvAVhmLeQeQU0uBXGC73zOS	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-26 09:29:48	4299be9069c6d9fe64f5758421942364:WFgULtirYg481Jo3RdgWXaNKpUbNELGn	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	223.140.57.17
2018-04-26 09:36:37	6b2e43df248ac7ba6a2238e0b5e663a1:Tw002JxJfPiCBDJD970DKaKXWWSsydLx	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	118.166.113.93
2018-04-26 09:50:09	0c969186e80a8be0f459b1cb129a6247:QpWAritjx2Y94vkMK82vpQOsYrAY0fy6	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	114.136.211.241
2018-04-26 09:52:27	fcb33e50d938b7c47189dee2adec0904:2efV9OBG7opBPuiYzCMuyeJkpwAi3wFZ	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	122.146.127.46
2018-04-26 09:53:24	0622fb88ada820a610484dc17f4ee067:5DAGbQ6Vm6PmbgvKlEU8amR0BgWYl9qD	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 09:56:23	6bc3948ca36247101bf3093b7818bdaa:iiXcrBSDe6dBRHsujd5ySEijrtcYuWLu	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 09:58:00	18a152b1ac3612ab2fbc703fbc2bb7d5:IwyP4ihboDrILvaFFQqLWVYZgzktONdU	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	61.228.123.118
2018-04-26 09:58:01	efa2e93a92fd60a416ab12c8d527078f:deXapCoIUDKZjaFJMWRJOwth7BBPW28H	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:00:15	10968d8b91f082ca730b4a51cdfca373:yszUWlsVl1skPQUTQdaUW2umCer1Ci4D	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:02:52	e04aa7987f40ed9eb094be8793aa9cec:4GNqeAo8fDMMAeaIAMDBZgch9ehnwbC9	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
