2018-04-28 01:40:31	0e4b321377e631d9de210802108584e0:ILCo2tFHxvDhQwye44HWBzzNSZFm1ipD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.225.52.244
2018-04-28 08:40:34	c6d8b235046d31b419bff92a843ad17a:haIJUOK71ca97c0YApz7Bl0sLazD6H7h	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-28 08:43:05	32debd1d42e24bf58a07fdc5e83a0f2f:h2CqsogILRYnSAHfB13Es0gp1eoxf14t	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-28 08:48:12	f07c2112860ae5cf12d0b6240cc71531:Rotcd9IxmMt82282cawqflXT3SgsOx3N	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-28 09:10:17	4817d5389c19c641f7ee26d0b301b2ca:CZfQ93AeE8jgtm6dXPrq5CfdSPRaW5qy	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.184.10.39
2018-04-28 09:14:28	298a98b4bc4fa9e310b0f1e14eb4fdf3:YOXaF3yycNp83oMmFRY1J80hGmrGBh6e	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	61.231.42.79
2018-04-28 09:14:36	5eb1ed229a05ae54ce1563d2b8b6bd36:pSwY1VBeyAcbOrDZynsU5A4eYV1SGNkJ	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.184.10.39
2018-04-28 09:16:07	4708ba185ed07395b50f550c6b963aa0:N5zB0nWbQ1RT5263WqEdLt0zREv6zBEe	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:18:29	61668e98bc3b8e41c843fe8a276d56ae:NTPUWY1vgHmB14vZRDgO7KKcs54ZDJEr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:19:53	75f3723ab6b6957ead7adf7eb5727b67:Zqj0bh8AbZXY1eAgWKBT2TUrrmyLednf	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:21:00	9614c48b8fa9df516dd7722d6180ebd3:tnRv0GDHmwlE4J5ppu3lASnYPFeW3vGx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:22:21	d02dba67504d88954fcf9cacda9a6d4f:zkXCNni0VAGuY0yc4jQEXhLtXudiK1bg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:23:36	ec61197bb94138d611ce780ef86e3fa2:linhliBV6fmt7SVM19KZ5cU0XVS1rtPA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:24:02	f4588cd3314878e017484cdd2996850d:LxU6DxOIAH7ArLMBEg1bEqwMRIvoDgDz	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.196
2018-04-28 09:24:44	d33de0a4e53ec381b1b28e57095c6e7a:4Ct0GFVXwVpGM0eQLSn8NCPJ7fkKyYNj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:26:19	85efe5ab508b8a23d270f9999dd39edc:GJK5duBovWlHnvpoOMAQzQka8m2nhae2	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:27:57	002bc309f789268b0b5277d0c8d697d4:BKKIJ0ebG1qauCwF7m6dYXgCQqPDIej6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:30:52	b9a37b71a8cc7efca5bf651234b75d69:SrRa5fD9XrcmrOFPNTg9g9XXXXUdKjrb	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:33:15	8805538d195907bbfce3a9b5c9b624b1:pHXCZXa6pGXDedTqQ9UV1ESn1ej5mC7u	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.14.131.177
2018-04-28 09:33:46	ae4acf8ff59555f671be8dcea8749f7f:Iy2GxKdiiW60RSQ3dGB5fZTGrJFqm8wi	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:34:56	d982a21ef3c31d3faccbaf749410ae58:nwvwaP7JTfXXzrpLJGro3bBnm9xUUKPO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:35:37	27bc459275f563994d4a7804edc5c2a9:azOe1hXBbgXCNZwM5KembeCYtetlEk5v	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	101.14.131.177
2018-04-28 09:36:42	a6a43c6b1bfa3b7c3ff65a385ea196eb:DuvvAz86Wu9dpTSPEaVJELTKyBWmi2RD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:38:26	02081c0ba5d399c3dc183bcb6a682dfa:VkNYRNYILlzAej80UYwACZ5BJqQ8egRa	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	101.14.131.177
2018-04-28 09:39:01	1ae633bf43e2aedc02b93c1c5cd63363:9UeHpxxhmJPeusYJVWedk1i0GHoTbh1C	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:40:35	cabe286f7a0752aac30625d67fe1ee08:ka6JkoIKSHQ9ojq9iY5qHrH4VcCKJueF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:41:51	f197a57dd1699b96d65914552fd09c28:RRaXSLX9rnd7HVUSV6w7uUXHM2N5YZtq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:42:53	70f630e9ef253c3e1548d7e02b298937:VTlQi9bnOOBShFI1d5lpuIR6A5QQn6F1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:45:00	d4235dcbebaa82867a2d1032fe18bcf8:Ukgw4C5p7B64tAz04J1pvHbKHNv6cAXl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:46:02	75e8cebd7af51e0d4e332c375634df87:JFRcn7jzaUJAHzporalTwK8CM5HQlkJl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:47:34	d0f507d8b9ae92686dcf91f6783ff641:Fmb6w1IzOUQayD5xKiTFUQNQt7MPDAey	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:48:58	1551aa72afcc2272b395241e86a8c54a:Z7HpruS5lvQDTRHBdkJjljz5ZmQ0nEwJ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:49:07	675c550d9e7767607b21b380da966045:o64u6xaTagvNEuuxWkFeL1p66rxrhrks	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.141.115.27
2018-04-28 09:50:57	c278346380eea8cbcc22a11bb009d840:z0a1LK03EpniNHcPB7p0lK2ikClgk0I5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:53:38	f493aac55600ac116e454fecfa5232f2:zrwrTXnHzVbOl18Mnj4TOk0zkSQt9TJ6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:56:49	c3cd4d82585542648c1b6fb19292e8e9:acWRMjYWPUnfCMT35tcVrZAV276rkVoB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 09:59:09	7d3a07b3b523267699e9c96f733100c1:vmBuZbwGxRRZhA4V6AmRdmn0fvdI5YrS	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:00:01	c040318b6b65b2b5b298e5e87a2f81c6:lXgfWK0nfec0ZG6YjMh1Kts9Ii4gpOPS	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.184.10.39
2018-04-28 10:02:20	054adf5ab5a67104f412a39f2fafbfc9:9bX5uk9qbvWleXddjq1lQJi2Lr4THtSy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:03:51	adb7fde49a46d76e57f779a713a95a6b:JKZOil1mtMEhgRlMGUzgGvjmdmbuP14i	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:05:05	3ed94b07b9c6afaae7743c48177dcbe4:7WAzHNpHmIsnse1KvIiiQ718g1BrHmMH	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:06:12	cd31ac5387c16b0c56ae3d348484012b:Xy6lDG02FqzWWijST0BM2sRTFmkJdsVW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:07:24	59353179877e939c4a92cb8430b94c40:4fmVdVlgo8GuNwxp9gmhOpgspLIqppaO	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:08:23	d654ea6cd0dd6aec78fe867764fa463b:HFa2K5MyHFKKCLN6BMDWVloTd4jXLfn1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:10:06	c55d7ed22836675d0cb1083a0cee8640:6uGFYN46siok8RlVx1i7dFBMnxvNXSqs	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.167.48.199
2018-04-28 10:10:14	38b6f53cb9f89d9cf207c02ed40873f5:sMoqdcxcjfmi5RI1jX1Nn9TOuuFeeCc1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.137.68.60
