2018-04-30 00:09:58	0e16346261477da366d3ef8abcb6270a:9RGhIkl3pPKRtbJVs6iERn2dF3Sn6CEv	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	61.230.136.141
2018-04-30 07:00:35	d722f40fb0ab68e179ffd15f7148cd7e:vbWSP3BRq3tEQLAHNmeTuKjaONrG9T7G	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-30 07:09:45	560856a8edb36f0946af68cc4c824223:yT3CtnV6kipSuWvDsZJFkWJaoWXIKwDd	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.128.21
2018-04-30 08:26:08	77906b4c50bba56c40f937515faaecf2:jIwL1yw6wNwFAxdkuyE9J7VNOm6d7WEd	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	101.14.49.146
2018-04-30 08:30:08	a5eac9b0d8942cf02dbf7720ede83650:9o69mASaVQFC8zzcXbfSxjTElGBvwFfF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	114.136.198.79
2018-04-30 08:31:18	e7fe3022dd63803ac12f915f6d10a9a8:daBwyVck8cl8kir6zciYKEUEtagyZr1v	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	39.9.106.120
2018-04-30 08:31:19	3c567afa51fe6c59dae115a989661c97:8yzvrGN9eqeLZmQOY8YPqXIZ2ZUaH7F1	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	101.9.240.99
2018-04-30 08:38:09	f520f82af1193a45d6dcccfb5da1ff75:gKlTGvkcxftEfGfYNombTLpXMSxB38yC	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	39.12.160.143
2018-04-30 08:38:12	42d22d32d5e1d1b26771179dc355f703:tiyCy125tfr6IBsKtKZle1zLFWsFOlBR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:40:00	4a01b3794cf851d8a924d2f1474d0f43:RYDzRUu3Z045lBlZkLOrIEuhknXQku6s	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:41:46	8d4c0f34b275fa0856b3a1a023a43443:oSyzfJavQ1iqrl2AtjtbC4jmwfrDG42y	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:43:18	7f9b62db1fe6a66deafe45878388243f:Ow03F7fkiQ69KpGUaxiGnzbuXGDTbume	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:44:24	9cf369c2f2624bf47083d51dc2123604:nWwgNkQFmQDGj4FbdjkNikVJD0KWHp9S	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:45:25	a22eb12214383c885263e5f5e12d3119:XjCVS145ciBAeWDqESv65H7PUPnvUMSS	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.114.103
2018-04-30 08:46:22	1220659d8855fcfbadb48df059743e60:bryNJFoWPZBR3KIuRksagFpjzBtzGwU9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:46:55	5510ef736c41fa9445f8d1eac39b5077:30VGWgegL9cwFZAuQnEYqJGpVYUsBajl	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	115.82.65.224
2018-04-30 08:46:57	0f4854fc068e98c99b75cf9fc52f4b5c:MOIbBRY3ihbJQsm3OdU2jLqhY4JxGM0X	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	163.21.197.253
2018-04-30 08:47:12	976ccca625d2c84bfb1b2cae53cbecee:ZSsOPTYmEIf1mxyCXllsNgcBVPaA66wa	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:48:35	d043237a1d1d526fb7516b9b7d3e5f8b:Ads2H1pjULyKjvswP93akm51jNmTtpjk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.114.103
2018-04-30 08:49:59	19ba7afd893f6da1b97810d0db2481f0:PMPW3dZVFSwJCFXrbS0L7XJmVgfkGui2	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-30 08:52:03	4f87a2293c06486339b71113b5e344be:BTiDLX93PXuvvGzuC7cUd07kHZcDr7VM	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	39.8.37.72
