2018-04-19 00:00:53	13a0c908aef2824148a064710f8f91a3:qr7BbUQxf4AFGNTyln4XzrTkZ14hOzHz	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.50.229
2018-04-19 00:04:33	a83a7663105028bc0b8c567eabc05f78:i0h0eLzEf39SW96zovdzuOVaqauaMZel	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	223.136.44.174
2018-04-19 00:04:46	77c170ca3070fa3ea753be3ba3e387cd:5Q0rISulzNTieXJLDV9BYsKgqMD7zLAh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	123.194.132.150
2018-04-19 00:05:05	a315bde53305ed8274e10c6e1c557e7e:fq6rI1332U9nYkkmE3HTEjF6nqilO3w6	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.70.51.184
2018-04-19 00:05:28	41f957939e8c88d5d287cfaad8c70f52:TXMOFBqXotEt7lunILqaB4rIybYsBidH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	122.116.114.16
2018-04-19 00:06:19	1f80e81b5e1a5abe4df993a6026df15e:JklpY1C3HefeRxuQmMgZHvoYZLRbfiWr	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	1.164.93.68
2018-04-19 00:06:35	0dc103a71faee66596cc018f3d36c6ae:kRLRHjpMBoHZri04Hicw1q8NoSNVfNOV	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	117.19.32.136
2018-04-19 00:07:13	3df741369b065a93ce8021bc955c7b95:IBn3zPvePnr7UwZFFDDx5D3iMuQ1jDEN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.248.150.17
2018-04-19 00:10:59	eb925a3ee8ba977df56a627f5b65d3c9:8AcqR8kqYv2TM2NIAyVcnCN7Kjw040IQ	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.8.209.95
2018-04-19 00:11:32	bd382bea46ed977e2001d86d751b4d3e:9mXlxTecUBgYSC1dkvzSTx7l0lXMt1hA	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.209.141
2018-04-19 00:11:59	55b237b99ea3b3b822ea2a934eeaa0af:EkSWUNl2XBLbvur1Xwzlh6p7fKpQtC7A	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.8.209.95
2018-04-19 00:12:00	bdcd3f7fe50176e9e41a4bfc05f34480:9r9vM67TsWArPuQN8BV7zTpzJohjLjnq	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	110.28.39.240
2018-04-19 00:12:13	71fd26998134b76c3f15a0de2da779f6:grlzDeBWGJclISL0cPH6r0JUN7rdSdX0	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.141.168.209
2018-04-19 00:13:52	76ae85d3a917b3997e377a13f4b07b14:3tYfGKB5HIps8mrDbeNBUiMaLP9vBhSe	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.9.176.154
2018-04-19 00:16:22	903246b14df492be1e70ed72a922e3e6:JMF1ovaJghVUrjqtfjDCS15oiMkDvvUy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.49.181
2018-04-19 00:22:15	8aced30bb72efd6d0679e24b59b11456:t1WTmtcG2dmnLJ7B4ucLFe5xpOc8XyYB	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.138.109.29
2018-04-19 00:23:01	3451987e96ab1858e4e002f72e98cefc:DuRSE9Cc6xJElqmWXAMEmiY9th6PAYPP	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.140.173.28
2018-04-19 00:24:23	3084556b15017ad2b475fa258a549e91:azEcIakIUnJcdCzbI9UGX4YdWejdo87a	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.138.109.29
2018-04-19 00:42:23	536dd4c51fc204b02adcbad678688e7f:RIOpdppQrVs68xqizINUl2oqCfQ2JZMS	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	118.167.34.173
2018-04-19 00:44:40	f08fe572d63aeb8cfca398885291024d:SQgrMply0Ja5oZscbowp2F5PcVhSZEsy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.158.208
2018-04-19 00:48:03	3ba3adb011d837ae604deef59440c659:JGmTwZBhi8tv7DIM9RUFhDpWgsYNh9dW	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.158.208
2018-04-19 00:56:42	a1b0f56ff1e252f24ac81b531a6a94d4:2GBbcznTyopZG2iLpBNIF5u8h831QAcT	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	123.194.180.213
2018-04-19 01:08:36	4c1b66d2c0e972536469f607e0469be2:TuDBpbrdfzDpANY0FOw2LJufbkL1TihR	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	219.70.127.81
2018-04-19 01:09:31	0d9ef4dc402f71ff657dda89c83f0de9:v05vBQrkA78tpgVwMXI1Jbu1gfov7kdK	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	39.10.4.94
2018-04-19 01:30:11	3efa2321ffe6d4432f263a0d95ead1d1:N2xBSUU1f0sxARVmUQKt0TYbOxpE0wJP	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	110.26.132.124
2018-04-19 01:36:22	9b5caed49875f0abfb4272258e9641c4:oE6hlmEF0m5ct6gU15y6o6y9bkvteO6C	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	49.217.224.247
2018-04-19 02:12:39	e6b71016db602c908c083adb93e5950f:WNojTIT44lLcehkkexkSdCSy67QjoEeb	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	24.114.40.41
2018-04-19 04:00:06	2f40c267135d10917cc08488d824a557:49z1MpubTAJbUMHkGpGZ8qJHG57YXvM4	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.242.228.33
2018-04-19 04:13:41	e45b047f76e23f8111cadbeb0c18d172:DL0DwDQ7OUEjXz6R5apvJq7bZLRXYS4t	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	39.8.165.13
2018-04-19 04:17:24	9aee23460e8ef8993259b942da825d7d:bxFju5YiVE90i6Ud0OREEkXZsE5ckRtg	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	140.109.218.178
2018-04-19 04:47:14	0157a991eccba5295d192604fc3e49d4:z8025DeNFSGqWzefhG9ViX2ABCI2W4Hs	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	59.115.39.239
2018-04-19 06:03:01	0958d47f68666680ba70c065251d6a6a:KcbQ7Q98zQSkD5jAwh18UzCo51Ozn9xb	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	123.194.152.62
2018-04-19 06:06:03	99babbd24389f44be0d6f1cd14f4f4f7:V7SWxdELmw5FxEkwrgEE5ZmALKZhq5sr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.159.133.73
2018-04-19 06:10:07	f66df527261e4c4efe98fdb833bbb120:xgzeBg0btcU3cz6OroWmFRQ4O5wRyA94	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.52.66.5
2018-04-19 06:12:09	a05cc187b81f48adc7b2e2ba33b0b709:2rZpOA3tbOUDZWe6QAcKVZKxjdHdBDjo	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.51.64
2018-04-19 06:18:03	8e0836207fb3ba1e099de24b830954fa:hAD7YbdMJmvALivS9sxQAA5Hc0FM3TCG	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.163.205.5
2018-04-19 06:21:51	5a8cba2451ac070b5a5f3bc80960608c:9a67wZaj0iCa51PcVMgEgOW8EgcwI3r2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	119.14.53.153
2018-04-19 06:27:11	189bb0d95a94d56f7a60647a9dada88a:PzVmV2VY1S3IBloXfAjpkQklKQb11vim	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.159.164.104
2018-04-19 06:27:59	fa7f5243d336ea7507260586fc04bd1d:SV559PFMDeDsblec6ayX7NbkYreZUh08	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	59.115.197.119
2018-04-19 06:28:13	850b6500ab9383b2fd8d8c06b490a431:ve1izknupp0ppAVdlPLuVgsxll5Z4hGX	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.247.9.214
2018-04-19 06:31:43	23ef5090e0aac7728f91bc7817adeb78:77bDuurdxfZvcHVPyE5B4qbVexIoDIGt	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	123.194.128.90
2018-04-19 06:32:23	e59283abde846658c3b0d332b7efa665:RJBg37gOxIo2oQJpURKxHnlTeTc2bFJS	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.30.82
2018-04-19 06:34:59	873dd92edbabdd87c8dcbf01b9713218:QS0CtpvauWVsBRrrvot14hMeAxEySmu1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	180.217.128.168
2018-04-19 06:35:00	4a19bbbf32de3ccf6b35d07a7063ba01:WHR8Cei8Ec8yoOpsCgCDupTleKxjUBfv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.251.44.8
