2018-04-20 00:12:17	1cf49612a52d348ef99b7655a2a8ec46:FPGNuzhDOzVaPTOrKkwvNoXRKwAZGLEA	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.13.147.69
2018-04-20 00:34:22	d9bd5f28c1d2b9d565e3a9c19d5d65fd:wFQnv2QT0Tk7WS8WjZJb1yoHYHFglZKQ	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.26.73.190
2018-04-20 00:43:06	4140ba785811fb57b3458bbaad25a1c6:cEIP6TfsAohID3QCZ8RphRbGrrgj0afc	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	114.136.241.136
2018-04-20 00:55:26	b67d8ac07e8a9ce819fbd13d8a65d87d:JEd8kvu4bNBv0wYeUVXy6mdJMeVZLNwF	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.8.148.253
2018-04-20 00:59:54	0bccb827a6f8e1d8c977d014bb61be4c:fSVV9wfqGT8i8xwKmjD3qG2DIhkUabAy	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.52.68.14
2018-04-20 01:01:01	68d3139184d15ec5072eea6c7bf7c494:pE5oTVfmeElBQLQUxiWXv5pNY0pRthGk	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.247.130.239
2018-04-20 01:03:34	942728b32449e2dadf9256d15dbadb9b:zVsJ9kndLpEtdrAISL7vzXiNdBkZODZk	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	123.193.209.15
2018-04-20 01:06:33	dc9a4dde010708952fa637fa21bc1dd7:hmL9xvXTSRwwzVHAMdceHpA3r28BLu5O	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.179.125
2018-04-20 01:14:56	d1498d708c85d298e8af422c11b41e3e:303xaacXj2GPwYgPIPKWJWHhctPw5Vk7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.163.27.59
2018-04-20 02:07:30	143571d9076398fb19801cbf18567a43:DHmgcghOCSI4Iem03na9RVHG8kEtuMz2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	1.163.27.59
2018-04-20 06:22:39	54974bf971bd941806dc1fa91b648710:cqv5X2oa9lA0fbivEq9uOJYrjajwjXZ5	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	110.28.33.236
