2018-04-23 01:57:59	995905bbde73fa0319cafa193899434c:CSyLfyzB0pAPxsmkcnVBWPZ6HM73dRPM	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.217.128.136
2018-04-23 07:17:44	7288653797bffd33ad93eebcf1314420:V7NntYLjqBhiYKfrMTUvaabG0o3hdZj8	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	49.219.144.240
2018-04-23 07:36:19	b7e7fb5cc7c9fb7494a2edc891e9b420:MyxVaJBo6Vi8rs17GcIcXrilZS3QXt3a	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	42.77.23.11
2018-04-23 08:22:55	05ab1a388d0ad75657d4728223c42962:LTIaZPfl7pq1c5gaCQ1v2b4IJ0XAPRvE	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	118.163.62.79
2018-04-23 08:28:02	65e1fe0e7f23131d558ca4639647eae8:bWAx8kPLBAZXuJEqEX80AdSycoRwN951	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	59.115.143.122
2018-04-23 08:30:59	4c7c78411f7abdbed84ea55b383aeaf4:nMSbbUKIwxY7ez36Q18ecNoEZhiz8Uzc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 08:32:16	71ccd4073ebe4e0200009a6e3e96d373:wn1kxjXduPIvZhK1L2pdTaiMuiUw50we	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 08:34:29	74930db6db17f162587cf306a5ce3faa:nnA67kmqB8916xvw2hhilfGQScCoN9IP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 08:35:59	82ae086301f728c62cae9276442d3671:j74Zqc6Pzp4snpjeWqqdw1AIZteGzArY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 08:36:40	c8a3ff707ec3c2ff10e5f3eedbfcfdf0:hiHarmUlCffKJDqrjyuTjvcJmAfDKpj3	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 08:39:19	7d30917617645a25466f18424b927b87:f2JNwE3ODUHtHwMIJFSn9u05mA2TxxrQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 08:39:21	8044c7c8aaa607f23d5d81fb966a0551:1Zj1DPyhip28A2ivXniywCT2yX5PR0QX	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 08:42:19	d2adc15e0f755aedb64b65df6c66cf24:FUgFW3kDOyfshQG2uiwwzNguzeUzpOrQ	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.39
2018-04-23 08:48:51	ee2cb8b610c3e84116814c417047412b:UEyLRC2EIWCN2Omm2EFTpcUC9gjyQe0E	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-23 08:49:13	fb57acc22e904666d1ad3acc76d7e4d1:ToFQTDjkdr0PKNktqasgio6RfyTIgZXv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.39
2018-04-23 08:57:16	c6843f2364e2831f585c2c1ee132629f:nBJedZMkjaZBzojgZp201fMQVTRvTZN4	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-23 08:58:44	3b47d25dbb8f84a9498fc417aae6c0e0:WHzRvcNgrU364TXA956YkiHF57kRDb1Z	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 09:02:10	ebdc9f14a99fd02bc8ec7de15de471f6:IawIvz7G7bRSnpmTYRpy3OorBYoGEp2C	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 09:06:21	a9fd66b233c97d73d943a1eaae8a683a:z2XkxNLIeDNwqHjrNZTJ7cUU6UxAl4rH	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-23 09:10:11	4405250e1a1850c56cd558c9eca1edbc:fY4xjRFLi2L3QUZu7Kv15Df93Jc5n1Vk	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
