2018-04-24 05:11:53	5908a861f5a04c0cfe670baefb22e4ed:2LPfCJOWc3o56LPQxo6imBFT5EjeRHw1	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-24 05:16:26	2e20f0db1ec84e655e80dbefe741123b:W2HJh5q7esFH1tKOQTu3mn4pgsQyDbwz	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-24 05:19:57	a930ec1ac401cbdcd2b1d2b78cd17cea:1dWtmEPc4dMlD2Z6NbUhQt2cjzjL9Rbk	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-24 05:23:14	8af8847f94474516f99f0dde3b6eb155:1EjbK9Clkw4W8zbMuqwdmI9tKjpxSmZd	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-24 05:26:02	16e8e501893634e70c3df9a654a6c5af:ai04t7SFMucep8p5kzUOsxXEuPqPDoon	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-24 07:09:34	7465578d1fb6c448cfea71f1df51c7a4:L8bfe1FZWj8tPKAcfBvDEdyXyGAcEZLu	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 08:06:24	80c5aae256c0386c8b5af9b8897a497e:kHnPp0rRc6vQDdz8xXY0twSnRaWjrt2q	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.26.226.8
2018-04-24 08:17:40	580ede92d3248530ca6f729a180fe813:GZch9SMZXsEKnggZaaIKwXOegiJlOwj4	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.10.17.225
2018-04-24 08:18:59	d2c90d70bb938f7119d35870d8fad5fc:h2LBCJVpyHiPbutqe933QzIuGEjjMUOr	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 08:21:20	b0e25edc7263203f18eb006a396cc6e4:sgmlrkmTvH0SHulMFwe5JBo6r7Md65JQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 08:21:44	43500c7ebd6ff84e6c53fcf3e4a545ad:AZjiRxFx4QiEOCKAwhkupqeStfK87aWq	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 08:23:35	15c451657c910421f2739192e0f4721e:G8wAxJAIsyylZyszTTyxCrHutT3lp3yE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 08:24:07	8579f0e3d3754cd5ba4de8ae29af83fc:TYUy4UOSyxsGSvPENNrvak2OSwWDx6Xv	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 08:24:38	e87601a08180aadc18d8c8022d24eb5b:1SthaMKIKcaXuTqC5LFzmXfLGDSOoSa3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.216.129.78
2018-04-24 08:44:05	8071c17b192b5ac976cb5866c8834cba:Hsv0K8ZptbvPT0UxSFNFLthj4MRTvU1d	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 08:53:06	b2678cc858091d0d6eb3758853fc0054:Ij1pkXwY7NyEs87mnoYzbYE0cRO7AyEJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 08:54:27	bb918381667b19493ed6f2bbda4e3cfe:lrNbE9XM9s4Zc5dgE3gIH5hFjHeNUfhv	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.34.196
2018-04-24 09:01:06	20f1d08354cc6002e8183e7ad4430189:nk5A97Fxmqz1ZslXtsB9gGyTBUtZvlMZ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	122.146.42.20
2018-04-24 09:02:15	04255389195ec61aca1e289f7dd9ab48:8pciOKnuNJtP843WKUjjKpmn0gthrUSG	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.136.89.233
2018-04-24 09:02:57	427cfea6e10c056f53773fa168a4761a:g6qe1g7aRMSlCagkouzWtR4rr0PLvFt6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 09:03:48	f63ccb409bd98644c7d6db8699344b12:VjGPxw2BYnKULu9jH9M0UgwldEopHWfB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 09:05:53	74da057f8507715a417c979559dc7c10:Z0CHCPgO2h5nwgIC6oKvrQZSYDv8m9Fj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 09:06:48	0b1cf2bf4e9793f041a95b6f03ad98b9:K0A7yMqlqkUblKZgfnEmZpw7aE3Dw2TK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 09:07:36	a5f283c84ab70c6c8fb0851e839f71af:2Wd1v5ispHmhPtoC3Fe3Pj3d3I5j5Boa	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-24 09:07:46	7327c6850c00341e713c5109e70a32a1:WG9DdjkS3QnClDyxCEHzToJc1wlcZP5V	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-24 09:11:48	6c0189b97f7ef0bcb8629019870f2939:MYiDG3bvZaW6DqgQHN5XhDj3Cyf9CKGT	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-24 09:13:15	0035eafb75f66c56d7371e3c25634a7b:TeMukhOvokT2PkdOIlnvRbYfVJGsP10i	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.29.160.191
2018-04-24 09:13:22	eb63589a0e4d01c26aa8b6187ebc6cfc:OSHdJ43tH2hEsaCfbAny2XbHauTvAEGm	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.67.7.157
2018-04-24 09:15:03	ecdd63e393b9c53cf8f43583b0b181f7:iMdZa17Uiq5of6MtxZ5pHukPuxpbgj7d	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 09:17:16	216564038eb4a033a21b19a5bfeef957:nFJQKJg5QXQfZ6jl4AaRJeeERNqQecKP	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.41
2018-04-24 09:17:44	a56cc7ddee2c5885f0c3995a5e0f3046:OwlUG7yysjyNyaH0yfTriQBdTsuLg184	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 09:20:41	043915da228658a43fcbe57b4d207dbe:4LuOYlSHxENQNf12DM24ae983XujnNcE	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.160.1.66
2018-04-24 09:21:03	377be042d3787ef3b1f97417cdd03798:xjNnE77YAWp2rCzC4fYYZnqbJOOrAddq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 09:21:58	71fe498b47b70f50a1b445eefda76fd4:oG2xPmR2NdbGvyEDekmlgqDAW2Vnp7oM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 09:23:17	d98f976337fe4e63463bc7b6cc0c22bd:vpwExp89G4Y7Rl6V6NRGCxSahQCYrr7T	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 09:24:15	84942c635e6ac3de1aa31c4f2a9a561d:EbRRH7nr3yyRZJfRLLbuLGwb0pwGYbD8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 09:44:12	3d71b725677f46847dc0bd8956975cf0:v408VfCVq7M541kKIWIJVORVOZKJ9U5g	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 09:44:45	f7ee75fb3f2dc244fe3760cee0234e95:dLV2SG4TI6lmhBxHM0kGqHZQMzmj9NNf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.44
2018-04-24 09:45:11	eeede8f3caf3f1433c817d5a87d02928:aHpvZXJFOow78KUHNrbDhOEc10CViGvN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 09:45:44	9612c28c14156d712fafbc08a4e7c88b:OJjron236tuuIBzbuFC6rQUTBV6MD4W2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	111.71.216.37
2018-04-24 09:45:55	2b291ab9899c16f20bfae5b464ea4a4d:JtcMomUFdFjjDDY6aufjnsK54SCo8B4P	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
