2018-04-25 00:01:39	a62b1efc611a445d77ec13335ccdd108:c0BXmyzsXQSHbYe9GQVsZHJcUJ8FXtBk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	122.116.63.239
2018-04-25 00:01:48	32720386e372b588d51fa3a32eb5551a:Pi0cZbo9VCTQYZqIZyyYN0Hdk4PdEXBL	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	98.207.59.15
2018-04-25 00:06:04	f7d595a6dfde95db0538032674f08cbb:H4ZeL9NyjkJXzkkVTVYoU4kYpMMNP2xm	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.119.194
2018-04-25 00:07:37	474ff9d768d8083c76136c4ad0b31f20:JuKwbSho397mmauXuzTD4T07xxjddIgU	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	123.194.136.4
2018-04-25 00:09:22	ce1f29289f0ecc0567a37e0e8d7cdb49:6WdLleOO2ueiHnQMqA56sNnJtKe4FCjG	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	118.166.192.103
2018-04-25 00:16:27	e8cfcfc5be247dddec899c0891eceb4c:daMU8HGoU9S2VrS5ZWCQdD9ioLMvMb7X	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.136.32.95
2018-04-25 00:27:34	36f71a80f2fd9f010889c74c264c8a53:HlUONVWLFxss4cISIWOhROCjyGWBgLRo	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.228.34.89
2018-04-25 00:47:08	fab3efdda8bd56d014180da94c00a756:xfhnAGrNQR7klAltnP7TfxAQamDk9jhf	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	220.137.46.36
2018-04-25 00:53:00	41b9a95f4e1065aa25252b55ded419f7:lnQy6TS9g2f5oXYI3uBE6cgXt1J66yr4	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	27.247.229.176
2018-04-25 00:58:08	f2442f9838b6542db757fee88648d7f8:btUs2ITU98jdG9jWd3ooXc3p7oyaGbVY	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.171.98.8
2018-04-25 01:06:59	3a9cbb88af2ba527e014e8c9cbe8eaca:N11C1Weem5KALeq8Qn94UjMQs68nNNFb	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	123.193.209.35
