2018-04-26 00:03:36	16bdb3d6de84796710014d05c65adf5e:OHrsMJ9adPEO6VuIAV5LKfllbDDJhTwj	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	123.204.134.104
2018-04-26 00:22:59	bde928b5ea1e39509eb1d95496193885:dsY5z1FFW7McQTy2WECjO5tu8bcWzNme	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.17.16
2018-04-26 00:33:07	ba1d0c3982c7ebbd69af13fb14b0f36e:heXOP85PxDMdb081ZKzyD8Kw9C9FDNUX	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.9.209.152
2018-04-26 00:36:50	adc1eea27a623a0c8ab4a5ec33ea32da:TRSEzwPGEnXLsSwK7FJvnXIPSogGa6wm	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.9.209.152
2018-04-26 01:20:12	1a61af1c7971304431f80d6d39bd9499:qMw87GzacZ7lgcCHnx16FilxWe5sUMPq	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.250.104.16
2018-04-26 01:39:45	a4ca22da2c7b8a1342368dc7fc81a501:oOn6y4SZy8tQl6uGtm1q8LEyDl9L2iid	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	1.169.73.189
2018-04-26 02:09:23	f4918c75a66355ba44e8412021e850f8:acQ3YFvSH5UDJsoPLXACcaJpYrmlW5C6	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	218.173.77.202
2018-04-26 06:17:00	3429ac81c9334a4f819cf7004bab6f1c:5gdmYoz5qhoWywOjObR6sGJJnoPwuHTI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.224.87
2018-04-26 07:17:48	a3bf61c2d5cfda51f945420192891a62:ShJMgXPg0dNh4HaP4tIFLQtaOy7oEp7e	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	27.246.193.71
2018-04-26 08:34:49	d9bd207891892136dc45af8913f1caad:xiOWN88N5E0RGZwdXUUNM9c2UvCMs3A4	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-26 08:37:32	2793020d13f134bb14fffae43dde73a8:g63dYyfxsxwBYorYyjFs2KgH8Bab7LgD	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-26 08:40:00	d5b39387f84b7255bcc04834e5da45f4:6LISdL87zjjjwlsLxPPXDcgF0Xcwrhu7	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	180.217.153.34
2018-04-26 08:40:20	1948dd4a8e2da0cf2762c130cc44b304:PuwHJNaa0sNjDu6QkxDlMhubKP8JV1Yr	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-26 08:43:06	1224026868f3b8c87545dd2a5fab262f:G1kjo1BaagAJyrYocIOBgD7O3Z2r4d7C	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.225.94.51
2018-04-26 08:48:43	44efb60aa82cca3ad99c4f2d17269a0a:v9QwdDsx82biZE7NULYUUqJDqIEYRGpC	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.41
