2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 02:26:31	b041b0ecaba9526d6665aba11124b02d:DDzfrSTtJ5ka7LiLL69vo3up7Xvy8Ezm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 07:10:54	612bf2f17fe6bf817088af012b399fca:Z7Cop0Mo9YRHsmJ7hTN0jgSqUDtOouus	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.168.238
2018-04-27 07:24:05	08b85ed00591fe3bbf633a219b2336c6:FxY8eSXC22Fx62SLrFo3bbVSj1qQ6SpE	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	118.160.7.9
2018-04-27 07:27:40	750d1270bb15f6d02da9f40532532c52:yfHKOOtNXNpciZGz9AKjwyGnPUl91X3g	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	59.115.56.158
2018-04-27 07:31:22	b20abe9eb1a30c6b4c6e073997525bd4:85sV0BfKOR5YhXODBsY07Mx0PYYWSoqu	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.137.126.69
2018-04-27 07:33:17	1a3a718290a0fba8a2c3dce440f3d3db:lRGjTa7c40wObaUvoQS7yU6RDJYxDud4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.65.244.101
2018-04-27 07:43:12	a101a7cdc068474bac5816625fcd9b30:aVm31oThdN9zuMihofPiOWbqdG80vjSB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.242.220
2018-04-27 08:04:00	fb9ea2a33ae93575975c026ce70f102a:75wfMGKHr6MIT82OV4rttIdfdqR9moUu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.225.2.109
2018-04-27 08:10:28	8d6f0bd0e08bde3fcc56f30f20640d7a:34aM2VErw9GKppH2BdabBzTFHSSQKD4r	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	114.198.170.90
2018-04-27 08:27:20	9688303835b58052fd29cce005c7685d:Z1ChWVV0g0P3AZLNXBirwOBl5glMqpkj	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	59.120.40.122
2018-04-27 08:29:23	44ac3b50de71f9fd3d7b003954ebc66d:CMq17DijXRmJEL2EizRoIR08bCQaN1eI	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	59.120.40.122
2018-04-27 08:33:13	0275e6e6870cb6b3ee34ec41e13fec83:JKm1RYtPFEZw3us2qamu01xaOssUkhAb	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	60.250.34.235
2018-04-27 08:34:27	7da85ee7d16fddc1a1ab846a868f350a:7rypwinp7QPAGpKpMdhkjqDvkTblGaX0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:38:10	c6d1bc2f508ece1fe552a48bb416d34a:4wZAZ6IOcHYHEd41RtcDScjNeT6JBLni	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:41:05	edb68b023758d1916ba14fac62459f4a:p4TWjKIj32MEhTJllNYEyc364N2ZzIr7	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 08:42:13	0e22af70ca611ba09963b951cdf70e59:ahklZMJ8hNI5VXpLbZDKw0wdCGrqdxtQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:45:28	6e8d4bbdf62db2da352b1f2e7d96f8ab:CqmhVDmIydmIiqMsyP9PLpB6PWGbkopB	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:45:46	bb71616885094c8e48cb46cc1c9ffa75:McSmmFfuh63neJo4RtRK0Tceg7JKPRfK	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 08:47:42	3d7ebbad3579e25d82dba7dcd9872334:m1BrlWCJv03ackyszJNJNXMscbDICEAx	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:52:17	39f512d2a9fa8e01a1d2451f650e0edb:0FXYqyZ80hDs0QgVB3qwuLuKASjP6RGF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:53:02	3b679c4daa1b482e4eb9784e124f9852:H3UTYYh18pjiC9IcGvdDtbqYlwejbfk7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 08:57:07	b7412d61b0cd5cf929ff2cb7d1592fec:oof4bd85VgMwMhw4xX0acFkhwWCKk46q	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 08:57:19	accbe77d0e38ee8bb0d6ab44a243c55d:l8Sa4lCvTPT8ndlmvBxkidtBbShDJrcG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	202.169.160.3
2018-04-27 09:00:49	38dddf262602f5bbb10b290025c3a644:Fz7NN8yJu61H3jI9ExtfR3VRUrWy024p	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:01:01	3d90dc7917831378b2d693c63f9a7c0e:pxRMsw1G05AtM1dBIdivDlSzxIRc2drd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 09:03:17	d18cbd12b6548eebe7589bb0cf8750f6:PdmJcCN7s1ryrYm4qYatjjC7FdyTu43f	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.39
2018-04-27 09:04:19	842d0350b862b1bf431c1da90a53bc8a:Rfk6Gq5XpAGtuazfCLUu5M5TUdNVMlwx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:07:06	8cd8e469a057a68f2b630610529c16a9:xoDoKW6DDJxIpbMUruibNyLMurnlxlG1	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 09:11:50	fb266c0e6e92b2d6d91bc109b5403404:TT8euUkwYGMIB0oglcWRqpNCrsryqtYn	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.9.34.70
2018-04-27 09:16:12	1edd3a14ce6ca8a9d1f2b6b5739253e7:vFbm1RrWqhd3fjMPHf5L547tV3cH0VF8	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.44
2018-04-27 09:16:27	853751d32dc27790fb83fb01d5ab93f7:HrH0EpCeJPKDHadCDq6emS68HhYfSyoo	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	42.77.51.126
2018-04-27 09:23:50	9517eb94e334ed324c2f86a3398dfdc3:PRK4E316dqlgHzSAArXYx32M7iTYytty	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:27:09	9ab5657a219b8980c1ab80102b41d902:6tvSUP1fmDVf6NbSxFQwODHKFKYyp30X	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 09:33:26	723b612a4feb23cf36f88635bcae31e9:iJClWvrLiLLImnacCUsI7D66Ek5bRfkX	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:35:50	325b5a47405a5e516024a8ec08ed8f98:exg3ULd0h7a06ArSSFZ2ZUZ90QousOOS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 09:37:26	d40f8b499b2e20320e21294159faf9e6:qCt1zJzvjBEAlZvhKIu643P2kMqIUzCF	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.39
2018-04-27 09:38:33	6d7f64914e961bf20475b4ab373a20af:WYe7HaCm2yvLr7XccqI6C38KlFFxCzVq	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:40:36	fcceb2e29c7435c34ff77e850e5a6fbc:TZD9ZhxMo4IiY8WTM2Ouj8qeBjAeOR2O	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 09:44:25	7f2349d72f19ed3ad97a7a028a0ab394:PZhXtAnbSTORHVXroNpFFxkHaLwvUrzu	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 09:50:27	d61de2f77ae0eac8a801620e77c5fd17:IJgeXGySYlLpv8deYYEIaCYLiD9snaDF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 09:51:13	f3a13fa8fd19391b20fdd25eca65722e:VsuutDI35uSoTdB7tfYPW1hlFrpvTxij	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:53:53	1c7e16539f01b1fd6a366b7498d121a1:waA8HJhiuP9eEENj1RpfO401XmrAFja3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 09:54:53	d84fe3839d590096d74b9a45f04afc9c:wyDdV1O5IBxzFawXby1h1lGaOuKkAFUa	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 09:56:30	87222097c9d88d9bfc7f51538898844b:ABBFEWqz3CUzH1gjKPOvg7BidwTnNjnR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 10:03:33	9595f6b39574cbc9abb61a7b48764348:rATThdldSymzFz5hwuRf1yPilsbSIkUd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-27 10:03:36	17de5f9be5a78e703b07494d3b2e0512:BqwVXh0KVLRzAXBdDRuNva8taaiE7rxO	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 10:08:36	65d6bf092842d17a70fe7105d0b7ab10:YKkz7hlZDkZosYY6bpcg2TacBWik6zop	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 10:10:03	7e0cdc57278ac8ec2fd7d67a6fee3590:ekj6ALIrs8jeHRfLT9Kmeecc0rl4r1qv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-27 10:10:19	ada186fbbe621022f1c2c2575140fc1b:ZNjmoMLX9HmHtvtSRdOPzU3IHvIDHmp9	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-27 10:11:38	80f45afe023479c3082d06eda0195aa2:rFMMUscGctUyBF8Wc3MhvmJ2raKohh4z	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
