2018-04-28 02:24:11	352f924b738d3246256abaf1a4991785:wVNtyyNO7PzqEZHOjnKA6JDcraZZLmKD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 02:39:46	09665535ed99a1a5cad1342cc558f7fe:x0MpX6jllCsmuacJgu1bvrhLvYXRxAIc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 02:42:36	6603e1f263bae4f11023f6c7afa3f62f:IsdL1zRV5JwngKtqZHGgzX7rFu3XhYks	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 02:42:56	96633495265fb4ef2b8070d79933ba4e:FryD3tl2BNXM3Zi8ZNJDpilX0dCbnuDI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 02:54:40	92d4c1f44335d738be3f6332090c65f2:yHSFISCPRrNPHGvRzXSyXTVVYvbtZOQA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 02:55:03	6e6b259b808c7ffca38df88003f49db2:uo9ptf846QHDdzJcHNv8juhx9ecLXgkD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	123.192.193.231
2018-04-28 08:25:23	8de856f9c02502e76a35c1b5a9625661:RsjyQoGfnyFjESg6alqjeddA9uSi64bp	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.192.34
2018-04-28 09:08:51	49c9f3a99c75cf40153f1cd7807bbcd7:EH7XOnfiDaZnPHvNFXiyDDkhuhoOOQdy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:09:02	a544c12a7302765c13957fb6ba3fd6f0:7wm0VTPHgNR2uh5h7b3Ha46T0P3SPFjT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:09:13	2ef75b28d77793bca89fa426aaaffd0c:RqbnQTwZzkxhnAkam08pBdeTLOabqutg	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:09:25	28d8cb667481ccb7ea3bb2e313d2e313:aiahWdEsrOunqbW2rtD5kbbWwv6VR9uS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:09:55	7b5db6ea5b832f95160c4afb290c22cc:WozfVhgOuWACvmXw6vmxHZcX2gtk7ClU	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:10:05	865b8cad3fe0dae2e7f07d7e26b3e50a:SyDOF6DbIkMhWMcgbnCYJCO1eWLncpxd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:10:15	5daa5e3157ed6bd2229e02aab68dba05:34UBjoZ19wQpmFQFuiarqnpvAdrPkKQj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:10:26	8adca50cece90855b737eee97e1076c6:Yr9vmgDkzglYSQw4HagdmZqqdwUEf68r	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:10:41	6c4771448942f8569beeeb1ce316442d:4QnASmpwfQ38fWKnIEICimvBOArJZA7U	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:10:54	9c3808bc112ef93a8c04d900e139384d:kckBXUXmI3hZFm0qaUkm7lcTk57oq0Sv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:11:04	e1de8cf65c436ab74a723ac0841151dc:WQ9SrX7qbFW3r3K49SpAvnl6MBQ8ppCb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:11:22	66a27ff080a61dec0ebc189da0b39d1d:DOhyNwShcNl6PzUVI7EluZZHMrC3h7ik	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:11:33	f26eee2cf5624eb98fe68dd59e3cebe6:JCX9VHALlyAaHw4LQu4FwiwbKk308bNE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:11:43	749b8c5c22bd9121f8515d91c3027b7f:23513C11S3wriAny4kEG7MCtVYPOYMdA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:11:55	dc42f4da24d87faf45993d7aed660913:pOhayyAk8FSssnfFLdiaSlzXdKVsrhbe	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:12:06	6d4a90d02f8860dad7a69aedb6494a51:MwhWZTqwxzMeCgcHPwSS1OmEyc8Rnsrg	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:12:17	9cdba386b7abd8b53ca503583f3a703c:7stCqWQ2oprHSFbAoHg8AnHSCnQTeFXs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:12:31	768defb50d1ef7fb5677871ce42f5272:k5d3quKSxtxYrbdpQzAmaVVxeunFCIQF	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:12:42	af1224ef49675354076aa81b83824adb:gtLVX0artdjvKrJ07W2BTkmd3adHliZ0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:12:54	ed1663afbadb0c258ccfbafb5dcfca6f:7bmjcbTuYuXNCeeKTdzSTJqtioWiC007	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:05	66ac980881e513f05f31d06cc99c43ba:WH7bzJiveg8Jq63ExShyBQv0OsJPEJxG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:25	bd6a433fb09016718a942167f8f4914c:G4NbggINipryGPjezJNFDvWMCvp3osxi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:39	021e42dc2955539eb8953b4252de372d:NupLW57ReS05j7XbiezcTTDO3aB5LI2f	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
