2018-04-30 00:00:03	86efda510e54df13eeb294d8a26ce0e6:yBEetq7SGGEa41Y3jJU8t7MLqK1DQTl3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	1.163.26.197
2018-04-30 00:00:16	f3b7ba46271d8cea043329b069fd464a:CUJdyVa7TXuHHoodD6FwnZzjowSg45DL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	1.163.26.197
2018-04-30 00:01:08	2b1dafb11c985bb48914467bc0bac76c:f8CCU9NDEikDvrvJaNq9DVh6xl6a5SOJ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	1.163.26.197
2018-04-30 06:47:04	4f81ee99d08cbed2780fd3a7184ecf50:L5eAnasAc64TsxjUxuJC8RhThnPAFP2g	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	36.228.146.250
2018-04-30 08:26:36	bbcb58fa70398208ce7c23d955d10e78:bLxAlWeJUrFhc8ZWMJgGn8Z5sRJ2Vgl6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:27:22	43a79e24f623e1700d6a262ba9bb0a00:qL1Vt9RzQ611OOKDTrNz9f9ft4HBvPID	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:27:34	ad57b5639ca4734863dd6797ffabca16:VduERP920Cfyzb3PaXXOWartWJmlyO7G	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	180.204.196.167
2018-04-30 08:27:54	d9a4bda86fa3ef4f20ec212e4e0c9134:PRcdzE9cqLoGkh7liHfBSHKilGOtHHFJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.79.15
2018-04-30 08:28:12	b7a1a950f53ae239af5a8d0c19955be5:CJMOhP0neS9uzvduT5CSh4eCtFqfCpXD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:28:57	b254a0fb8ffa02016bce5e316002e886:iUcLcsToi1sgz5hxHMtSsoSsmhzntjP0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:30:06	6145ab638e6afeb9d7f5b016bd1c0886:JcA28frEvVPrP3czxbWXsvb7au1bniBB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:31:03	c3cd539f28eae57812fb7795467bf5d4:pH2coknwVbIr2UKtRSOVqqQN4QLCc9JR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-30 08:34:49	c9e5a436c7ddfae303db6d89fa2bc05d:El6jTRUHpDg3MnpSseNsbyWLRRDY0ZWa	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:34:59	93b1728b86543ebad79c8875ba973c60:BPB7vRgeolaMeQUhywFi9CfSZwVqRdGT	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:35:07	0e98135e9835a5e7ec12fa913a3ee839:WfxiPGTqZcwVz2gtXfhBo1mWNz0stwYU	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:35:16	e0fe00bcdf7e3d0c1c4a0de31019e6e5:EddvDEeo0FSsZtxKiA0rD0WgrylU0Gou	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
