2018-04-17 09:03:21	92fd5cb88a92465ea242b336d0b88462:X30yWBKz1kFF6IxzbEHt75jmxY0LQnM8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 09:21:35	8d2459184e545d83c2babefe89ca266e:rDuiXEJbqewYM1uKoA1H43hNqtVhV1Rf	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 09:22:32	6a281135275a2fc89cb1116f8a3c7f07:kngZVf6Dev1z38u4TufROJ6eIbr4okrV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 09:25:04	6e37ec8e9df7e0ce3661d5f70db06a34:GwgyQ6PsdQrVKwucJfmrEXfQ54tzn2yE	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 09:39:36	4ee909113d38b8dde47456402084d8e5:Zp8GMSeCSBFP0OTg1smsDkL4lAM9op7f	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 09:46:56	6d4f6003dbaad0dbc65c9c64ba3fd913:6BkZKQqXwXYCmMIN0ZJtqmK8IE94Ilqq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.17
2018-04-17 09:52:04	c3f5180f05b2aece70927f30bd04b8c4:F6rLGulgJwyJtbpIIq79vS4Q6RciCIKg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.29.17.59
2018-04-17 09:53:04	531053b59e8ca7bb81278211ccb40fc9:KBzVJKRNZTsCIdGOzl1ev3Ck9MqntvyN	Q1:唭哩岸打石文化,;	172.28.65.18
2018-04-17 09:53:39	d44fb3d79db266843b0f5078e70ec701:rEUFur4vPU6mdKhAzl5NsOZMeEExMyej	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.4
2018-04-17 09:54:48	8e54143b4216287ee0a3cf391ec17e05:yVSCqOHVgfVzodLbDvtnIFyBMlcGykhV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.17
2018-04-17 09:55:19	66f30f3a01ba5e32961202d7e779fb7f:gwAL53IxPyo8b6csONWnrhceINs02Ygl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.31.33
