2018-04-24 00:21:35	94548666bc4d95adab2f10056b36a52a:Tgh9ejo33ymyVGxNtoBY5wLkW8Ohw78w	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	27.52.132.255
2018-04-24 07:57:43	3733ba8d508cfbc824109a398f1ecdc7:rSAEHZtICgJKsj2GbheqAECCPNUH1z4C	Q1:北投區環境資訊2.0	,;	49.214.85.254
2018-04-24 08:07:50	accb92c39de2d0ba6c48871016f26c0f:ulgjfy4UK6Hy9wWl8fdsaP4A0BW6oWgl	Q1:北投區環境資訊2.0	,;	223.137.27.152
2018-04-24 08:18:13	df9194f4e0b4d176f3a3b7347ca4c0e1:sTFRRPeb5LHCUFOJdoFiuZWCmziekAqF	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	122.146.24.242
2018-04-24 08:34:25	0699a308225751eb13ec04ce4895aac6:HeTohbqXlqcjgmiZj8zZsH0fU7JDjocs	Q1:唭哩岸打石文化,;	172.28.67.111
2018-04-24 08:36:33	1546e68f755a8efe313016845c79f280:gYnN1YucUFFzZ4vOxI0BK8tWkTvIM59S	Q1:唭哩岸打石文化,;	172.28.67.111
2018-04-24 08:37:01	b8bb41c687514dbefe21d2488c891033:4OMcvkaLl6UfvUyT5F3aDVuJQrrzLrK8	Q1:唭哩岸打石文化,;	172.28.67.102
2018-04-24 08:48:35	5e35016b058156b59db04a8dad6c38b7:w9b3p7o5OP5eGD9rwQOUeaADxox8M4cQ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.139.165.170
2018-04-24 08:51:03	67dba7ac8f09a4ce101514297132e158:CAAB6viglWfGbwf5xxM0E4V440Q6VUAs	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.139.165.170
2018-04-24 09:02:56	a7de116bd393325430a25f789622440b:gjQ9cgoWD9nlQbHIR4Hc4HSRX9O5T5uj	Q1:唭哩岸打石文化,;	101.139.165.170
2018-04-24 09:05:44	6135090594325cf57b959ccfb674232a:LJF6TWNWe6TD9621QIvN9WawQDHiUvO6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 09:06:12	ccaaf65b7b9b2f907d5f5b0ca938cbc6:ypEqdS9BBLVm0wNPw7FuapFm3gxgTLVm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 09:10:54	f6ed6b3516ecd5da895d054eb59046fc:RC9ztL1ufRCuTQZwGm6sd4oRzPDHmoZe	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 09:12:42	32b4d5777140d619ca2d8a4d9fefa7f7:bmP36GMc1NSUNkRghi5BQXaJs5bV7QjI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 09:13:31	87090bd14be59cf2a0b870f40be465d0:O5tgyAGG04BHvxF52Lk8WS8GORk69L0d	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
