2018-04-21 06:48:26	da2dda23904d79d5728575ff1236fd95:8p1FcReqT8mFUysWFhmHZdlMGmOqbymZ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.182.105
2018-04-21 08:28:44	235e1e6bdc36fdde4403adb6430617d8:evubLm2coWiL5ckYvzq75f0m65qTiuRs	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.132.103
2018-04-21 10:23:56	f0133e31c6dd0dd8b0cf06843d1b6ad8:9plX4MaAbNVIkOrNbN5XoJHP6NSsL5Ol	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.169.132
2018-04-21 10:29:06	1871662309045561a6a6a222d9ab520c:bTv8iofDK3lVrpuxJR19eeGSjzoSF7jP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 10:35:45	3b1425f9d02711296bfe24c3969781e8:PsBtOim4Tjz8nQVIZ7Wq5RzF31SfzFer	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.13.34.124
2018-04-21 10:36:32	d91a8f0bfa6d68ba236aaac325e6ce87:BrL5EaYLysTdNUyUu5foQZS9UqSEVjfq	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 10:41:17	30daafaadee89c6c9988b65ec5725376:IwrEJpE3rgbBxe897TW4BxCTnaaKz1EP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 10:41:38	7cd9db1abb9aeb247fae9225d794f12b:ztJAfNddokvxXZPjcG9BHMOTgcC5J3qk	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.9.146.126
2018-04-21 10:45:03	b0bb493931d1c0468b381722e9906166:5Li6Rl9st7DPUgA4zYDigKg52DbcRvVv	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.14.247.45
2018-04-21 10:45:59	49899b4a16cf86bfb18babc33d1ec4dd:ipAAACC1GoUj5CfdbW2WL4uhQ4g5IPc5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.12.1.202
2018-04-21 10:47:14	11e953d1b1f2f795b0abb89cccb1e5d7:LMZffe7sNQJxhCWdPcywTV29zcVLUe9z	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.164.97.125
2018-04-21 10:47:51	9a0dcfd85eae7b17332beb2ea6e91ed3:mZRnJVEkkdvDifgSdsDsliJ2nS9407R5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
