2018-04-23 04:00:51	7223749393f370be062cdced4edc088a:8nBezjHSy72rQifgMUozAnsKfv3I3JsL	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.190.179
2018-04-23 05:25:15	ef316f0dcd550230287e6b79a5a8bd90:m7KlxIlTAJdu3TyZ7nsYpFI44lBJckcN	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.138.158.129
2018-04-23 07:57:47	3b58815bd4af9dc91b73a40d048bf822:JRdXAPpQ6VHFlVntOcFpicW0PtMrXnvI	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 07:59:27	34d35b6de9211f712057896eacccd49e:2olSUsJLm62DMkrKOQaQyy65ACAfaduI	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:00:41	603d2883b854c91e291748d95caf1e65:1uajsEJ6oY5qcdpqVyLzWqZahRJM9y0O	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:00:41	0c31b7b1cc3f0ad266f1259ef6a1ce0e:XT7I7zlwdU2tLIgHczCCxhx613qY0Wgj	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.15.8.230
2018-04-23 08:01:12	cd04c3ffcd1249f735db3a8fd4d0dbf3:eNdpsazrMjJOSebZrsj2OhObKDUI6HJi	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.200.215.237
2018-04-23 08:01:18	7adfc1504adc2ac9b85da26fe597856a:S7AjeuiDKoS7vOSyMFS29v7KNgYrCluZ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.13.34.124
2018-04-23 08:01:25	90b4ec9e7c886a20c89d3e58f8050cb8:LwnIyCHMOV0q3hes1CCQRrx9RJMtD0Wg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	39.12.8.242
2018-04-23 08:01:30	bc84ec27605dcddc22619911cd02dfaa:YcWidPOHMO2kYgyH79tsiUlg1letG6KF	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	1.200.214.97
2018-04-23 08:01:42	b1ddd80a17cab583fdea7a5e0279ecaa:QE4165iDa4fedGRi0BV0xUdJPbUw3eCd	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.246.167.255
2018-04-23 08:01:46	72e0bee553922213acabc59a3aebe43b:6gYtrUlBIsOmsMmjn42UjY4Yo4lTMvvT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.161.32
2018-04-23 08:01:46	e1b7031310bd9a4ce3342c6c7b2c65b3:usMHwDu0hzTTHgAIt7PVRSdIOuUabD1L	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.87.146
2018-04-23 08:01:47	96b5d6fc8713790930c626fad1af569f:Rg1hkgYj7eycuVAwOa0GroNcYDrARIhk	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.139.71.87
2018-04-23 08:02:12	8925b8a4bac5cb454bbe8719bbeb304e:LdMARYr1gXA3X8brvxf0BAeVOUq8omoT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.26.193.124
2018-04-23 08:02:14	ecc6fd3692c7884f2268e0ff50f3ac4b:9E9wD0X6GpPI1pMpX4qEKWPicZB4lYvX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
