2018-04-24 06:00:51	a73652e733569be203f03dc6c6dc9abe:SSAEismXwrcW3Vp0r95urQbPh7wIWrnh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.139.220.100
2018-04-24 07:40:10	4eaf50984ba6a481cc9127fa332fbe4a:RKIKJdATPu14hy2YtqDx1vjjvdfCQibP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.168
2018-04-24 07:46:20	22b06acff19d018e0260206b71596595:uVhZbfjNDvy3E79Y6XtUsVMERZzuBgUF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.168
2018-04-24 08:34:02	46549d5d986367c8c827a05c96eec887:GPvwhxwZgZ0hHoo9oQVDuh4vwRVYLC1o	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 08:53:09	4cc9c7fd0831a70be5107b854012cf49:LdMIIbnYKsF6adik1PYPzn4gLLfYhDGF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 08:58:36	1c001959a944f9948840f462541ef01c:ZwqxdTL4QTGNgDXODGG2bmVM0bDHfCEi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 09:02:31	39d07b7066821d0a30477eed75df9a9f:aeEh7MMDmAVQKDHF4JXjl1EHYOIbHt2s	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 09:02:31	f85b427b6b226435c665ebe9641ca1df:Jq90gJL4mchabel5qUh88BdmEK5losDU	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	60.248.140.241
2018-04-24 09:05:08	ae3af40ca8f26e0992628d505e0fd00c:HlqZc7Kt9OxUGRqVjkl8HqbqSQ88xrVJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	60.248.140.241
2018-04-24 09:07:20	606a6816dab8596ce5d7c27d2ef63e71:NXkABmJpdQbKN4rXqG64tCQuzetorQCB	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	60.248.140.241
2018-04-24 09:08:21	08ce68267989922b9e37a194420e2c19:xf6j57ogolG17Px7hpXyJlAaCelAXLLh	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
