2018-04-25 00:16:03	a0b702af6d172a418866c75dc27f828f:CNXnvqtW4trPll2jKMAEgJR96rxWt45z	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	115.82.99.77
2018-04-25 00:25:52	be792923c2e800ecbddf85e106ec7f24:QuVqLYnVKsIVokcJxsuTIngCSlPzcdUX	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	220.137.205.51
2018-04-25 00:59:26	f7d3374272c7a93d6c56f67188308fc5:DCmpfSTSYYVXR7tJivr3oE1BCpn2MSbL	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	27.242.170.11
2018-04-25 02:46:22	ca80e0fd389c3eeb20d96edbaa02dd1a:a1YXSKjuCF6u9ggr1oSb747cq10ACo1X	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	218.187.83.187
2018-04-25 03:51:04	55958d3f857869b8634988d9f9ce148a:HsXRHM0M7BOOzOQQ69A8LDi7STIIWxxe	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.139.84.172
2018-04-25 04:24:56	9b43eae2d3385aa049a5a7dc16ed7edb:siwQ625DMuA25UEaBGzMQqDGa1FGeXIP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.45.117
2018-04-25 07:21:47	9704b33f8f73bfa0537e9aedb26fdc83:fAUIoZvBH3p9KhtMrfrXn8K9Ej3VSEtZ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.232.30
2018-04-25 07:42:03	a5177804048d14c0628700189d65a034:0XR7uUnPgYMNqc9IGjrtXHjOj3J5ZBMC	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	182.234.32.176
2018-04-25 08:16:36	54828d3dbafaf0a70f78e7f00c51774c:30AiQZCkiVxR0TEYYTF7mZSIukgOPYJB	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	111.241.59.237
2018-04-25 08:26:28	bceaa11eaf13a2d41c6d377be7ffe415:yBHhUa2L5KhRSkkkg937jiNnYMR90NNX	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	140.109.32.9
2018-04-25 08:31:40	1db8629efa671891081337fa00a734f9:AyhagOMyyRHjoj6OIWIGqopEsxJMSFJc	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.139.84.172
