2018-04-26 00:04:17	c526e9d8332647b1fab1a13b525aa8d7:bfBM99tYnuH2XypeC5cBfpcjuaoVpeQ0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.197.199
2018-04-26 01:25:34	72137f65571668f96e16bfface33d85d:rG0LF9Pn8MoFiS7A2umXp8jlEb3gDyUE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.67.173
2018-04-26 08:32:01	7da9b502af26770bf74236414d8004e3:IaWmULBnpUKAIlHftSwqLmJhsR948gaz	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.149.206
2018-04-26 08:42:20	033f423d7f5e1da58c00d67e0a2f40aa:yFysJxvVC6GxiubMcjMqWUJiYz5JdtHX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 08:58:58	d9f2912cf9b91d91ba1e6d84daefde06:BNGNMIAAq8DKj609t2GCkINSNIoPI3DE	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-26 09:02:23	5a2d5c10b1be48c6a1f6a0fdc08543d4:Ho2VqUmDFh45F2hu03TtAuotcqWbMCCb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.62.116
2018-04-26 09:02:38	6ea5fccc48e5c36688f8c78b7359591a:a899YZKL99X7EQi1PiQliK1V6Yz6PkmV	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	122.146.127.46
2018-04-26 09:02:59	62f1bfec3559c576d49ce86d43d68dcf:xrc8PUegXvgWByn9I5nEf12UTBSm1SQn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:04:48	687c3fd3fc11959bf4ed84e17579d03a:qL1fGGDumjAIPbEUCK2yuQT2Q1QYZcjp	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:06:38	077af25df2d035dacd44883c947dd6f9:OwpdUFizbfdoQalR1XZrPfpnMhUm07m2	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:07:04	3c8d54a3011ba2161c93687745eec533:RghExEM0gmHIJjK3wYyqg7aAiVsTobBd	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 09:07:54	b9051156d60798405681ef0f860e06a0:vdZK4noKg6qXGrwc4GDuUTDRoTIjhyAN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:09:00	a36c3c74c6a84e9f8adcf1448472f9fa:bYMqex4otUho0ldPXPdY8lU5JoEikQjV	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:09:01	954f7e60f35cdf2e2599f4504b0cdff5:Pswg5i8qbzq58dECrQIyHLC3hpHcaCJ8	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:09:52	f8515ec172a217d00eab99ebe598f4a5:1KLo9Bi4zFbfisUHLKtTPS6SsuxryCql	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:10:03	f770bc1798282a42cfda317d800f7ec1:MGNb7A79NTsdbgsNNAOkSiK65vKpMhXF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 09:10:57	7858011c0b6b992eae4b2f6034d06c8e:ahdxecqHRyZB2hB0TcL3m21OOKyBQBtA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:12:53	c75b227f4adb72e177e59f6ad5f2ea9f:a4l06eF2QMA7CIgoxGyafhqld7AmJP8Z	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
