2018-04-28 00:13:40	7c97bfae22c3d6924c4c84b0f0376695:y3KO1p5XfFg9nF6w0Tw7bXSUUqL9xRQN	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.250.103.30
2018-04-28 00:20:43	3a8c4a9c0d122be5a1afbdf6b82a5f0f:ZxKtxi9RARInwghgRGeVUYAz0YBgS6iy	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.250.103.30
2018-04-28 00:23:11	5458d0ab7ac92708431531ef17605790:CRQ1GXzH4zDn9398GRi5JqJtemTtvVf0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.250.103.30
2018-04-28 00:25:05	5a7a193c26373eea320e8eebaaba29d1:OjfYj7CYqKlmVCcJMPMRfQ62RWb6k25E	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.250.103.30
2018-04-28 00:26:55	9d5b5e84c88cee272dcf91d8abc48a55:KyC819zDFtFkwBGzPurX5wobrNEvKpAC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.250.103.30
2018-04-28 03:18:21	48718914fd021a2e8c10df26208ec52a:pgKJA17IxtAemSu5QolMIivnmczYgLeS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.166.251.31
2018-04-28 08:20:09	160c99c9d0bdd047b226ee143154acb1:SUJCstGGi4gC0LxamSvh8SLEvol1PuBA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-28 08:39:29	8377587358411f4175eebedfb647aaae:tr43lkrprk15mD6UI81LiYhStkOvRpSY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.72.124.250
2018-04-28 08:42:17	1e0a791f5cac374eb3e819586bc05119:XmgYdE1LIteeR0KCpyPVrVJ0DQItDmO9	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 08:43:20	dd548952362c358a75259eb35f726f4a:tVrIa3KJUHJyaNN6LZ6JnAMnqXShNTcf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.72.124.250
2018-04-28 08:46:10	b1faf69bc43fdb307dddddb78262c69d:Q9X12tP6w8NtOQFSb71UEQYJs6BVKKSM	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
