2018-04-30 07:44:02	27b062b7dec2843566186a2ff20a2872:alSqYwwqUDyD3Jsqdd0Q2BUCJ7bevKwc	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	42.72.186.209
2018-04-30 08:41:11	105270bf56ab614c60c3df88add3531b:TZIxKn0LZfM9R49CLftJBjevcyHRXvg9	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:42:35	593ece8c669913292ff68c223e707ddc:t6KyrSYxUdtO8x6m7Ft0gzF667Z5nzRW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.203
2018-04-30 08:43:30	6027621393c3625039e14eaf53164431:V9c7rffNvSEBgWQhoEmL3dbrWrGi1P6Z	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:44:42	8c009995374bdab2493038a1e967dd94:Gzj0z5yOi9hV5tAEfkWW1dCTynfOBWVW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:45:41	c66e54842942e4983a384d2472076de1:fHzly4CJdnNSLpVGeq3CL7neaJAUa3Rc	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:46:38	e386f59faaaef03e31c1ca05a10d7e8b:eFztDl52beqApreuhmPMyN8qvO8Usgk4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:47:40	feeeab9b57df6794c27165fe574fccb4:up4auf5XBnIJIzhuPyfDRQbx1xgPr7xu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-30 08:50:21	38eb04efee380e4a31c5d0dd3ca48cae:M3hMbM9IRB4SGYRKB7Fi0N6kpvxqZMdx	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 08:57:36	13103159a39c0f9348d3cd0b3f3e21e5:yUW4UF66hF4a6o9qN9xIzVmwP4DlgwnK	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-30 09:04:26	bb038e7c2d9465a7f85e8894246ab2ba:RGEhUOwBlOyB4SZFkzfjpWQZFDm9mWXx	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.102.112
2018-04-30 09:05:17	09253beea3dcfe1ba36661bd3d49fb50:BYENjxWlsK65WWMjqmUEru5m0jxA4taP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:07:26	4278858ceb73cd498f648ec0b1331879:25etuH0XXvWzsn0WrXj33OOLhusX8oAD	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:11:26	2947fe25c7521609ff0576fb62b9e0fb:N4vYX1ZGDmWrw3asMYvHcbONaxBdItes	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:16:50	dc6efc7a2b3f43a5db0a233d6ae1cbd9:94BjxOEuP9al9w9rX033Et5PPqrkgazo	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:19:19	02698d7d32ca58d32f15b664d3ebd4cb:nk1sioeDd86i7I979jZxfXymLxGSVloc	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:22:14	b8f4d1c27b3f2fdc3afe362f72595e6b:yjhRfeMna6RNltfoBCP3QTm7zoVb5WLI	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:33:19	d38b0eaa71094c259e297e991d2ef65c:UurIgoreK5oQU7IEgUZ7A2YbpsfOHwS8	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 09:34:35	12e927bf70743d22d2a46486a2cd7627:iGCsr61CFyyqOgymYzDt8WEeGHRYiAhP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.145.166
2018-04-30 09:38:06	c89d0d488baa0188c8eeff86979af29a:zI4NTMyVyuBOz9c42SsEvC5RCnFHPWGA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 09:53:39	a1b3bf1c1d012e803b27cf0cbd3675fc:mOVdgRRhhR19IVtv4yKzmc2Hwmm8ajue	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 09:55:25	a94f86a62e2e20f0cc66586ce5d30e8a:Stb3nlmpli3V7P6JJjFUk0KcCVwKF18S	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 09:56:35	6def5a60a361394d7506a4bf78263f9f:1ZwCh7p0UwD4W5MmjOQHYQWs0huew8kF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 10:01:56	9ef318593d5ff305b19a759c7bd0e679:SLh3b8yD5SMivcqR2aFDSWm2lVlYVgtu	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.193.30
2018-04-30 10:05:01	e2406c3cf848a1e430270fbd9dc12c24:Lb37CZoV865OJ5wSty6U1WukuUbcj99Z	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.11.147
2018-04-30 10:10:00	60bd35a580327cf9c0a233c28c5fe4bc:rzY52pk58TVInwfqfs79rQKuIT55LMnh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.108.114
2018-04-30 10:17:46	3de0d841b999dc2be54a738f840a2db7:nS6kaemxJv6boisFif4xz4xY60NATt62	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.78
2018-04-30 10:24:29	aef6c5ccc5ac7140b5ac97776b4d8036:iGWyvh0XPfQNhfOUOHxd8FBUdWan2cnJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:26:56	b5fac663b3fbd5305f4e2a272b55cbd8:UF1Clz6KEiSEvjpU8o9p0exFcBB2hSpP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 10:27:59	b359ef05f8b2f2132a5135ed303ab13e:6JNW8xgTRufjbcaSt2FsUMObKvvQFGHJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:29:12	cf3a07c470d9b94422e76309c4d9828d:nD3ekfuxsmhkBYYpfIqVaIyagKQRnKVA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:29:17	0883aae7464d78964606a47cb6f5f675:QCkcsrSsccrMTZ6w8vPJOolRjkurRsYf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	203.72.235.251
2018-04-30 10:30:07	84a3c20c4fc95e6c4516d8f28cab41b7:fG335YeYvNkJSJgoKkchVdjiykINfZoA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:31:05	57be78da84bfa9f26652683d670ede53:BoWZElztC03e6tBANe6BwCgubhG7avia	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:32:35	1ec18c77346ee2c757f7380873ef5106:QMBLQqtyu74MRXGtx70iqsenMr7awJK3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
