2018-04-20 01:02:39	7a6686ecfe69a0f18145de5d0046447c:y47tKwEnnxUpU2ToVyEWqxGMEaQ4Alnn	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	114.32.2.50
2018-04-20 01:10:05	12fda16e1f6fdd879db4128dbbda6c1b:FAjx6mq4fTAlea6guifdMtspNDFoUjqH	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	223.140.5.230
2018-04-20 06:28:42	8996726105d2a7cbf7c3d632fce00136:bdqGF7jtTxR2iBd3SuIc8pbdfgzXd30T	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	58.114.215.146
2018-04-20 06:30:07	26be660da7e57d68d47573c020192e3d:pBnRopugYfIQLzvJ7VVEFLNR5f7sI2Cd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:31:10	14bc50da03d460e85f1ef96cb3093d55:zpPPqmh1JoRkBuPw8dmXcXfOVj403w0o	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:32:21	4b7eba3dd73027043335b5deb52ca272:rotHTt6n4IbHPhaNB5gsgDnt3Vw3E4GR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:33:29	ca1c5cac820739c4b064f5a2018a47f6:55PpRU6aLMR4CnFiUIKntvlVjdkHlCO6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:34:40	afbf2dd291bd502a7e71944e6cf243d2:hmvKrDJZt10d6YfHBJJIRM8vuoVs149d	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:35:47	192fe1e6052985d27cd05a39e4cc9e4e:fihMB0ZcIvkJgDbVIV7IuknJgOyMi8HQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:37:11	a6c4df6bce8d518b613b25119102105c:W79ieeXc2HuUvnlROJ0nvcFlEjmQlMMD	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:39:52	7a5bcf45f4f0348544d912487aa0647f:DrbhONzPca2X3IakmLnMKzLAUUbr9qh1	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:42:07	2526d6a277878a49fcd461089f02c2a5:kR60ijh5OtGjLRrhaMlNS8G0pnaFf6Lm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:43:22	f3057ab9d2abb497e6eb0a30d0cbd405:APCrEnK5hOxbYXcBWw6EvzjKOpILdLY9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:44:35	3ca446e16189021d61b02fe7cf3f30de:CRacUCEv8v7fYFxEICKm4SEoeNC2R666	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:45:53	dc491cfcd7d0695c368ff7d0610be3a0:0p0igiOp0BAwuhBZRoRmmwIPdJyVU2jH	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:46:58	31415a5b2cfd9bf6cdefaac0914228e1:yZSxr0ZUNEDNIHaJLTghFcW3Hz14WLLg	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:48:17	6f094247152defc1979e9ba61621bd36:YptTzSnkHZyvWJoSivYqoRfgddfPzEDE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.106.201
2018-04-20 06:58:06	7e2e585411ac57f7f8936cbc0b354166:Voy78DoH5S24yynZhfi2z1Lw2ZPu3ip3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:09:52	81fe5a5d93017845df5b63e867f65927:SXqeAEWXYY47oADHLBe6osjMNOHScHES	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.155.211
2018-04-20 07:15:53	cad8297d44e8eaae73b35a29f0a47b85:DGNFTXkQ2dJfBkelj9CxnG12nJitBaxP	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:18:26	b02dc77aa2f2016821bd3ec84cc4fda4:4cmBumRhRNXT4jdEBqgHovGyqmLcFqnB	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.155.211
2018-04-20 07:18:54	6851d0e2883df463598ac73a0d5c956b:7iMhOl9YmYzlUi40z7jKYzAqCl9yMafl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:19:18	a81f20e732b3cb6ea1cc04da1b7b8643:vAyS6icF7QYSGTbY9RM576U6cJJ9ENFM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:19:41	52496db7590825a51ab7839c7fc0f7e3:aiY5m1dtfaoqiZ8pguNehXxtdWnF0Tpt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:20:04	761dfb65152606a4d3e813768f0ee70a:gV7nOjdgCl1338cpaJEOeeA8HFRHL1t3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:20:33	61807d60e609054775ef013aea223075:Qi8D4rs47am0BoFTrmQahioThRaBPY6E	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:20:58	8fea201bf0508c4d016736697c9829a2:JgNHOdTqn6BeZotdrWZoVGWotyTeXn9n	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:21:25	bdeca86d804466fb367590711ffb4b06:HU1Sc6lMJg8Mr8gPStnoYGqjpwlwYivI	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:21:49	0dc675b139bafa8693638cc541749402:6MmR80mkUq9VQdydZ2y8BjmGCSyEf979	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:22:14	87a2384518cac1df5cd894c588958579:iRWBDsZg3gvmcYu89EfcRXaZ3xGOiUqa	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:22:51	c576982c9f9758d080b35f77457a84f6:03nFsBhZ6TDW8eUCtaL5nfRFi8OtYtYL	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
2018-04-20 07:23:25	8f32d80b034f1f10155314f02b6fd286:BeRcvl6q2GncajPj9w7eyNdYBzadUiAA	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	220.141.70.191
