2018-04-21 00:48:32	b9ef09378e6d64ec4834af56c9e57cee:DCm9goZXeYgirsgabsUnK8Gjq1j3G5wz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	27.52.136.94
2018-04-21 02:33:16	bf6388bbc8546e86d71346760fc97671:O2UGhjFS4jMfRLcsSRaaPP0q0yGN3dAd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	101.14.241.90
2018-04-21 02:39:46	6d547108bda8e836159b849b9a3c8e30:WgEnXZZBq0FTWLuBjXxmmEInv9hQ9j3g	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	122.116.159.26
2018-04-21 05:33:29	04669b785f3dc51794b43ab50163b796:wscfsu8Yqsw0Xt8iGUW2YprNgMgYAyIr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.96.44
2018-04-21 06:51:18	4311a2367563fbd6a03341e49e8a8f7a:sNpijQ52J5bUDLqyqt889fAHaBDKyBis	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.162.139
2018-04-21 06:55:57	6b74937288803b8cd5a67b6be66e4395:X2vX3Exr9kyCU7mErG4YD6bBUNkHasR4	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	110.50.162.139
2018-04-21 08:11:04	7ccebfe97c61faf892e2598f6946fc16:K5dS3qn0YZiJZi5c9mu3dIH2VFUHoQAm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:12:35	9a23623c627e98796352b3fdf19e1f25:0UZbmckFLPG6B6tNdXCCXTnkxCzkFO45	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:13:26	821df0d03a8ad9e24cf90af9795ee1e5:2v67uTnHacjVO0k8ZtCT1t07f60A59Id	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:14:17	d203a080f15681ac2e8d17b8bbac00c5:gJcijnhT0jqWSachj2YsI2SkruKhazyE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:15:09	a88a5dd16131ac6764d6c1e5e3f2b577:Yh7iaC8kX04zyMpfUtpGGYT2SZNwfmnA	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:16:09	f880afeffabf2472fea19c72adfb157e:85W0GwtTgP5DchTaMCYQU3CUinjH4QZb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-21 08:16:53	822224cfedbe40065f9a384c0554d5c0:SiZETRMiJMSzMZuQ18hYgD8B793aJPvT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
