2018-04-24 01:31:14	5230c48431801711493ee69c7b8ab2df:1AZFcqRXi7MPkcOtBdJuWSGuQe88tGl9	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.137.8
2018-04-24 07:21:14	7ddbc5d2156c09d9b29138abf8905c52:fPRoQNoygfEBZ2NUUOmvFhgVxtUbMP0V	Q1:米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:21:53	93385b977dfe6aee1b5f8dd4a1b4d5fe:VSmjbabW5h6UFgPn8SIzDU6tBRBhnUJS	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:22:34	4c2a4cf6aaf6862a8dcb4236e3443676:96tZ2M1SGCHjclk37gRGdBq8rbP4Csss	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:24:05	4ae7be7182aa9d1e0e59d34214cefe31:B2Q8GM39fxwcdbUUtZUmZSky6nMtFdVr	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:24:29	f261985dbfd5e80ff21db924a4e1fe50:cDhnIK77lsII9GSZcJ3pWX2hzdE5tA4z	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:24:58	319b2019496df6bd827fe3d4ccbd5cbc:NIOprv1TCucLHJDnc6fqgxeZXeZZinpP	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:25:38	25a56676615d5730ed119908ae08d9a5:B6cCpgBinXuQwG4kRFvYVUejrMehoJA7	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:26:02	190234951cd38d76b77ec15a61e24387:7815AXfV3PgCCjUZ2yEWsEbFv7Xy6bcI	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:26:26	54d4bf30351f681df222b2d9519caed6:jfn17Bun1I7yyA5TxrZWbOUHtzdg7BK3	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:26:53	cfd5bddcec138a6a04e11e1ab4ae49a0:sU1LaLbOYpP98iGaVauCUnVhiB6bWzpb	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:27:16	618b78e3630944646dce5e64df05c0c6:8gL75KBLmRUNNMN1sLAf1jFfMbLpLoAB	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:27:40	86d7c2b382d5f40969b2ffd15e5e640b:dqXblQEfczOAi09ecKmYt9aY9dx9cj27	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:28:03	5aa64c21782cda94dd731a68907f519f:bWePPp9hQnrWdsA6B1BS5sKk3Xu8xaY2	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:28:27	402df666ea17527c491605389131b606:9swP22VUMnU0TdZKGoHcWNeBdoREIAgc	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:28:51	a18aac6c97148ed66f4648464b216d28:FEz9edE0b9eCpQl6BRWNSZ3pa3XwoQ8D	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:29:16	e670ba24ea52181007e4a5c28153435b:yyFvLk06PPiH5bXmbUPNDNcp48516uXa	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:29:56	03ac978af8fd8c96f6f315b8d295b05c:YvFUo0Kjmt3h1s65dsNyrRaeOkwztvQN	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:30:24	bab1542adb5236fe1f9487be68e70fce:RzogTTL1rqRRigfQGpIp9n0J8clD53F0	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 07:30:57	86ea87b818b4d422b1065047f5ee499c:mfCiT1OT3VgsBnvOrMXVuuKM2tdinFOo	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	111.243.44.12
2018-04-24 08:19:51	1ea4d5e23f1bee9ab694bfda62d50b5a:nR1JjOnhckuC86oReGERVRdUByup3d9u	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	163.29.38.90
2018-04-24 08:37:40	e8e3ed1797be3a9cff29eb779c2fe03b:VQ8RPtqJpdvxBtrDPkYx4s8zvfRjy3Jl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.10.68.255
2018-04-24 09:00:16	6891ffc876865041bbd2e32ed091cb91:BB2aaikpBXTqbqMhHSauJ3PMt9Yx8OOT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.29.160.171
2018-04-24 09:07:04	0e12053dd7c15a93a1c9d3382abb5a6d:mNjnMPFhzGiqo7q9a2ANBsWF9A076Q3F	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.15
2018-04-24 09:13:30	7d5d382dd6fc13a86f25730b2b248e35:3u8nSXTFL7SzI0Y3802gP98t3Ca9Khsl	Q1:安養平民化	,米煮的大安區：食堂交流	,風華再現通化商圈	,福州山觀景秘徑	,;	172.29.147.132
2018-04-24 09:14:22	b21d4f25e8fe94e8484148e5138e2bc4:6duicCwEDJgscF6vEsQsf7FQG11d0Rl8	Q1:與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-24 09:19:06	f00d11fb9368df47ec4bb5fc3633620d:CxhyAabJsEHT0HjH5E8DgkS6ufDPWN84	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 09:21:40	269d64c6268a4c4486d08637621bc7d5:r2El8Ve2wSsDOSGw04aBb8Wk3WIyPu8d	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 09:21:56	b97050bcd52fc8a2cfe739e655d116ff:8AvOQLQgvLaU4ui1iYAPvNONNSppdc6I	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 09:24:55	a8cf70932e79f291be7e1d98dcbfde18:vW5kkqmDXDYR1n0s1bzmt5SsUeAxCgOS	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.137.11.187
2018-04-24 09:26:08	1bdc58a2df7cf797a0c99e3035c4b789:45aTna7qd1UYklXg3hlyP3TDvl0xGXK3	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	117.56.49.122
2018-04-24 09:26:34	e282523d3ffdd0fed743d2349794ccbe:wzVEtsy6pjLfh7A97rRfegfXrBLzOxT5	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.126
