2018-04-28 00:00:24	8de4132013aabbb09785a0843569e665:VAba9XdaWJLVJNpnqJrITt2GEBhYt2AI	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 00:01:05	18c1230b94202631954476c7c6f60376:uYgeMaapuCfjpbHWliuevQbwUrP4Upju	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 00:01:40	e3399d536b5c9943575d885a70d3f281:dg5UxPQkUEqNrQCYjat6ttjPjBr2DjBw	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 00:02:20	8643b17fa45e3ad89e9b2e4b160b0f55:4XFUzUbZNCrPY0VtEMNk0AV0VMix1T7c	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 00:02:58	f5bc6750df63af2effaba12e3c7eeadf:BfwHXELDtYbNLbeInXzeLUvWjtuD2ddV	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 00:03:37	d2cb2baafe1fedb5a59bf6792ffd9833:jIzHnV6xx3n2ruBV00K6BUefhEqFZ4ih	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 01:17:31	aca44d1a33a47db6ed189af2a5590411:mi98brXmWCG5GRLyyasSWWI2VbgAJyUc	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 01:18:21	f2e016b6e2ba204789aa4df8c4992471:juza78aDq53L8P0TyZetuR7c0tFuQniw	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 01:20:11	a6c45ebc206c1fdb9fbcdcf4074eca4b:IxheQVoqjBkduAaZDzmiGbWPCI1teJXi	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	61.228.14.25
2018-04-28 07:27:27	3298aed0a2dcf3904f50216aea6f5142:b8XA7mEWQEIRP0tqxFHOvkKPQBYLpv8a	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	223.140.169.104
2018-04-28 07:29:01	79d971adc72eaa5cf365bc907e452ff1:BweW7es6jJfNtpSApwd7PzbqhXOdo57r	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	223.140.169.104
2018-04-28 07:29:04	7f51cb3d2f8a2a263c0a8af3f154ca9d:blyii4mLLUV1UFXBwOGoJ2bxlIa58ATw	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	180.217.101.174
2018-04-28 07:30:15	2b71a2b30b5bdaaf2dbf9c324a4b879d:F9UiKzNp0ck4yi2nNbhtVXaAyujV0VyW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.101.174
2018-04-28 07:51:50	0d5ed1cf090f3f679653f223389b8e34:hTgfAeFxz1qYwkW9XMT4uHBeddcrjNUt	Q1:安養平民化	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	223.140.169.104
2018-04-28 08:37:31	61dd9e5108296ef49d1f249c4e6e2172:bOTEdZHDWjW4uPbKxVWHELCVabtgDH7R	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:38:15	1786deb17d53f7d970d710c604304295:grIj3TaJaNOIVkToCqT13JGUgVIE6NCj	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:38:58	d5325242084bb1771231f178fac0a2cc:Fq3ztGYLbQEG88pAZXNAhkNh8Z1dGI3D	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:39:39	daf1c8253c844ac25a7d228313b529f9:FhWwuc9Df5DVWY5Qmhfsfkl7ejBKjWPh	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
2018-04-28 08:40:15	fe7fe7de0d178883c7f6ca6dff574578:DN6k2smKpWxZGFgUv7fOmZyJaN6QfRZ6	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.201
