2018-04-29 00:00:58	3da64c11a54f8b9c87c968c11b8790c5:EEVmr9C2WzOTtrAMlhX67mX6vj2l04nX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	220.141.67.97
2018-04-29 00:01:23	22e5324734737e200b46acf1ba2efc1d:LmFjSjb8wtW8nJP5x5BYuSo7vvBxSuTR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:01:46	b9c99874fe762082ba1bc5e0005dc9a5:M62d7FjBHPV0jCd7jOBHqbsuNmeMCacT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,;	220.141.67.97
2018-04-29 00:02:05	c0c1684dd892e3ea7c332af9a3cab044:kIWEF677QGJ4psijdc3ItL0E6qtnIzSt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:02:29	11e7fabd79903f24693f109431c26b87:551wdpxKZha2AtoRKB6Djcod42MW5zBC	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:02:49	1f39c286b0cc25d7ba0ae09a7e64a595:NEEREdy2nbABCKKYNfLFPOmlP1VlhtAF	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:02:49	8133e833e97be8e93aa43673b122c80b:mdRwIEVfMTnorjlfH85tWVUEvoytBrFr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	122.116.210.197
2018-04-29 00:03:07	d833ea39c7b6edec6db0ddeeee26e8eb:sEZ1bngIFLV1yTKhTmxTmdRa6J7rLXUs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:03:27	641e0dd22ae5463dcf371801b4251bb0:xJsrLhrLa1gCqvnXRYAcUHPqZMhjoybY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:03:49	54ec1da5a3c37d3e953693d701370376:x9acmztNI9Sx6e688GOaJqcntkrKnn4d	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:04:14	4e56b6ddc74395ed0968c85f46b87577:13svHy4jk0mCsFPPH4CB09iyu1m9gYXg	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:04:33	372abf4aa55d2989cc792f9ee403d8eb:qii9cfgIhY1zkDJWANflmhEyjjSRshku	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:04:55	b15c74d03555a66299b912ff0411f494:N3mxBnLMP3zb6wzFE58ZwrAu1COcoyPd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:05:14	0c6d49951039b6f8e4219f73497b3a39:NGfwWyR4ZMRwQvgo9ycZ79q2kWZDjFHq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:05:42	2f3c50b645aa06249942097adb872904:QENRX0XNSGfIexWQb7MwyPNupV0FwjKD	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:07:29	fe3fa0876472f73d61863fc2fe948bf6:hT3mMy0scapdPNxJM2yCCo3ahwt9oWUj	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	220.141.67.97
2018-04-29 00:07:51	eec634eb10f1bce6c94f0ecb23780829:N9JyaacNXH9nohNWkyuLlaVtfMw04ZQs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	220.141.67.97
