2018-04-30 06:31:55	52419efc6658aab45c1f0a439774dba8:xuJ3ZuSYXDMM4yPumiQNpGD3YZB3ZMNC	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	27.52.68.185
2018-04-30 08:24:54	048840d53fccf6be4d61718f1264a418:mm1lfdYAKDvrVTdWH3sbITvQXO7xpiI5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.41
2018-04-30 08:38:27	92760431c098be0650c628e78ab95791:zvv3wEKLWedzlackwPpEHHTeqo0CMdIr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.41
2018-04-30 08:42:23	5ba95883703ef4dcfd6b8ec1f414b646:xKLmCf6ItC37S8vsaMHsppjO7HtoOR3t	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:45:03	e7a0f0e4a76ab345a39cb0133812a371:XUgO23EICgkQ5RFlR7p0Qc2X1buPOBzb	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:45:46	834aa2e5158c33a566ec76ccb75ff88b:lY7jaJrkuLRjqn9fJDtdyIyHnio1BgCi	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:46:25	ffb01d3607bc534559acb187aeeea75b:EsAx3dxYixlKqm4pvicEbggSodOoWmiU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:46:59	3a1a2e2200a6af646955b585d6999bcd:u2eqopVY0Sx8d0VLCBqAB2PAPG0XH7A6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:47:42	10d915e0c3d1eebbf78df975608243ea:VuL8m3OHJPKnsyVFUXatIJ45dSAmKB8t	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 08:59:32	24561bbd6228c4348c70d88f488d0107:Y4pxl8gfJD1tZIxu41AKUACYBNYU7nGF	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 08:59:58	173c5dccc6b674802a3b5a9bc2f6202f:1v0Cd1oi4AkMx5L8d0qPMj3nVwGpwp2i	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:01:00	3acfbce38ad189ca049376df29ce8a5d:ayH2ybJoxWoHgIfe8xcXre2CUqJIeQZv	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:01:47	6c50e9c69e5dd6b53d6f472bcaff4778:3OU84FAcXEPcOTQB8TQavsjEO8jqQMaL	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:02:53	9ed57a828ad25ab3c11865b080e113ae:GeeyNptNXAERBscqmBKwO24VNLD6SHV7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:03:27	f2e37ec9f09f43bf4ec74e0bc4a937e0:PuT3cjypwGOI2Aw9vbWw0dbHOB09TlYd	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:04:15	b024bf35349f2f0a8694b6a814640d43:V0w3mR0UuYkPcvh3guNREmq06QieZf53	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:04:55	d993da3f78a98cdef412836a54aa9411:zyH1upwDSRyv5HpnVFavn3emNQVMs95m	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:05:30	336df0859eb9c56aa51bdcb984e2c540:7vvyqnvZ5oa5GYwkJz7DzZyzzg1gIFF8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:06:09	dde4981a5476f1485c548f85fc2ee0b7:t6rBYewpWzKCAkFoqnLJlJPOGnRs5UCk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:06:49	a570203901cd1eccd2aca21d6ddbaa9b:hSom1KyUdcQ7sus4uEvyBrgwU4sGJvre	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:07:16	9801cbdaea7bdde7c7e76384cecb5c91:WQ8tZpu9ZFeeVif9uQO59RcNki9k2Oy6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:07:49	28638fd3986fb3aaac4a4c9da241e5e3:Noun36ZQ40MSVvHGFHHtUneKKzmlLk8G	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:08:17	816367a07a8cb751bdcea48003296300:LLekr93940hKQIWdUmJUAakAzMfHDcWT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:08:25	3b15feab3017bb4388d90d4ac4ebd130:eVyTi69SmGZ3nVvgjDA95B8PDecC2WIz	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.134.147
2018-04-30 09:09:48	86997d036c5ef3988e24f5c602288b7f:QJagOW9GFNCBxoPWFbhBdRESmRTrexrv	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.134.147
2018-04-30 09:16:50	d6809100bcb72616d53f50611880b81f:3SuygPqHpg0u640kHks8d45Vw2kJlEVS	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-30 09:17:25	2863cb11fa051f5a5cb52e3de1c4ea0b:b1xE1GC2btyQnQRsYayiNedoty1S1CM2	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:18:02	5cade81facf5e19743796b02ce128c27:Y1ipcND4XaGaw0uqUUKMQwlOk4mgRilQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:18:50	35290bd7d8015c95b563e8495085a0ba:ogyPt9AUGy6RYqa3Kp0abmFMl40YMbgz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:18:58	96767dfc6a4688fcdf8fa640a71a066f:gxGzyqNDSGKXtGq7mCpEGJcSq7NghVfd	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	223.140.134.147
2018-04-30 09:19:26	cb33b975871b5542d559650778da2a93:gdV0pJESixbLpX36aqqgDmNeBHQF2l16	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-30 09:19:51	8a4b279f0f95908092a4686a509866b4:w0DSPR0tcosUDUJ1g1zcqZifhYNtruU4	Q1:米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	36.226.170.235
2018-04-30 09:19:58	e31e03832b3c42d8ab3f17f9c834e895:WroO38TfZoXEhIMJWi4Hc2ZjZORPsh2d	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:20:31	8153453a4855199435d7a64c08a6e064:W3BFTlAx1ZII5x38YMTYz9rBgiQ3KpZx	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:21:30	267de475d1fa16627b86d6dcfd9a985e:ABxcnfRpXGi8OxtyAzDaLYD0gSnZrO8b	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:22:13	cdfc3063ea8cc8c8f0e755f5b92cb766:Tt395ifc3blc4dDtx4J9a9SOFikQ64TU	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	172.28.16.213
2018-04-30 09:22:50	163f8815e0db395ddafe1ccd55dcd649:fe05FIbV52IteKGo11BVmiBLyvCxhZuN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:23:27	f4f3bbd1c708ee3f95bd27e460507455:PEzDzU7IlahHtTIIuytqbR9ihL2yV3mz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:24:23	eda952678d7c88bd356dded7f61e44d9:0q4TMgBTORXiAijr6aFtB9iyGmT0HjeW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:25:22	e59c687da7a04beea516ab54cbf2e628:8S239DydSLAhMww6LZYf4OrMQk1KGm4O	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:25:55	e5c1ed95613c6a59a3b2472e68311ee7:nxUuKy5iZ1vj5LJz1yephJkXkGA1gQMJ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:26:32	d883572f56cfbec20a054efe574e394a:n5iexHmwmUGEPSzSWLdwq9czN4KHUM0T	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:27:20	a2054a06a386a02f40c18a80d1b6c7e2:KGf3fJyRTXOkkwDl4zSni3fhkLGHNdug	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:28:03	350104d74f413ed5fb0e25f772014f7e:DSk5D3WLZD6w5KfGONjloq3HH8qCb9Xa	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
