2018-04-19 00:00:57	c53f3dd9484eb1d4ba9775367d22f89e:sm9C1qsfu5fPTPFOl7zelag2bsSGA1FK	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:02:32	470e8ac5d35e8d9154e940f27fa24ba3:rBHfCCWg6xeoaz4n1XpEKC4onQP1d86O	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:03:52	daf7aeb7fa3b6034dada8ac800ae0ee1:zyYkQ4b9bzYnE2g805Z0UcmuDlhdi0TB	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:04:48	9f1283e791bbd1c48811bed1649ea7e4:8xDyrOAVGRkOPZTfl7KKI0LqZ0aIFvql	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.164.169.55
2018-04-19 00:05:40	d2aa070fe0350500398d5ac6eb7a7fa8:g6ER1BKmp6oCEK6KAnNxnKJ2GzPaOitw	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:05:57	9eb805c8f3b296de56671d5ea14bf8bc:bi5DBUV9I9fSBDYbe59l9BuVaE387poj	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	58.114.198.71
2018-04-19 00:07:00	f0164cbbf58653d385e73afa045b5e71:5GUyMpEtUPODD44u4ygXdrJo5QMtYwCs	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:08:26	1e10ff3078a7968331a78c9289b39369:hkEa3GSLD0aFf2u9zbzjkHTcxzepuSdJ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:08:48	00b7dbff43615cc8568841e5a969dfa0:3798wkPP7N8b6IGia3xfUU2mfji9ci2C	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.163.184.156
2018-04-19 00:10:09	d91cf5866704c86080305194fe325239:2c2MMfnCpK7z5tLIHthYMNUNT7lXyyCD	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:11:42	a12ae808800f7dd69b112bbc9c271134:VwRcjPo51Z0WVY55r1kUhYz4XlTO9JIT	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:12:20	417fa6c009a7651fecd6e8259f0e8ec5:A9WNiLgXxTCoZRt6b6hbvmahctpLXNtu	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.163.184.156
2018-04-19 00:12:53	5b8a0bc6ca42599a17efd5585fd71204:VL3xmrhrmHkLdIBOlTNsc5fhkCOYj3iq	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:14:47	ab037691314a47f2b4b800e676057861:XsFncf1ldIIkIMw3w5dThCeqaZT3mIdz	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:16:33	f25d1db4e261a12a2017b38fd03f704e:bHxSoczSABqMdtZxGPW77r8ROfs2Rgtz	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.168.77.77
2018-04-19 00:16:37	d9f0a718821cd0fd79417b84e0c56709:KOiNJlnqX7tHgeJQTJBLSNnzOmsIhUrv	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:17:50	0744728ae65d995e29638db892fbb8c2:OOChvLrqvUFlqjmCYATuQWDEBRp4oDkp	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:19:22	6b7a07c1dc9bc7559c8e8f594cbf49b3:H68d9UPcu4g0ywRpFlClMSx5V7c7a76F	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:20:47	5baec786eecfb74b038d1b42aec7fe26:IkammRStlvySYglR00JZGf66RIJGbVUf	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:22:15	c3cc63bf0815682e13727fbc0bc7f018:LeU3HIEtGTtomFTWSybleMXPYs2mHb8f	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:23:17	b021b33b5dac3dbec91cf028a6773872:SYHR9gwbYnxg0YNaipQpz8bNF5lLyNRP	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.36.250.56
2018-04-19 00:23:46	1b8c39063bcb5a7c0c66c44f5a6ec6a5:MmJWS9KvsJ6T6FOQTDfmilOqBBCN2OEc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:25:27	1f5d867bb9e2ef339c6b1ea3a1ceed08:vaq7wycs38jPdaa0VZLnXKmMxQ51CqXC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:27:16	0c0425cc4a9ceea8ce08df92b03a12b3:SYMGWOBozGYn1z6D6OhhappwChbszvOe	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:28:45	824c05499c0cee691d96b306826e6963:LW2Z2GEsffYYE0oI6OxaMLqufdqWnNKn	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:29:07	0ae4476b85b4046da7b250ca934138ea:9LNRTyq1BtU9tES9ovkgzWXE4LFzFMce	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	1.161.235.92
2018-04-19 00:30:12	c8dc404f9f5217467ee71a61e7380957:KJ0Sxf9dswZpTFcIEDO9T13POkvk12E2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
