2018-04-20 00:00:02	70c00d97c5002d8e3f5f510b506da76d:7eHE0jpatBL5pzn0XoND804n7P8OeazW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:03:26	b64288820d1e01e2f87bfffefbf5d337:Ti1BPwDwHr50FNuRw2k996Hr6jmrYl8x	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:07:43	f312bc07990fd4b25d3a4881d08188d8:crPmBpMiodG9Wr0QDZnDTfd36t7hq1oW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:09:21	b4a1ff34a949a5e3f28d7fac13c6e66e:mGQXuHSboDIRngooVNWKx0zY1taKcQUH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:10:32	46d4e38236cda6dec9367b38167d1137:vLj3YD5gAB6G8EKzQe7EDhoVAZE5ko5R	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:12:02	fbc59d62ce3ad042908de394dca3c92a:LIWmoULSnNjJvK3l1SKmeNtgU1GFPSBs	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:13:47	b379d34384719f0280d10d68742ccc19:58Hvk0Ut3F9lwsEFPTxB0yiHnc3TA7V9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:18:03	dc987d3817689d77fd91aa2682f20f94:G0oj6YkdrJWTXsop3QXzNC8ire14AKNm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:19:19	40d2fec56beab2152a8c3b546921c71d:B8rmd1SXUP59MxoQWG7terGlBBHSiePL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:21:22	8fab28628820b3d36a5b9fcbd961b7be:NVfZZHeU8EbduuqNjqSzS0HPZuixCtyg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:22:52	ac0e32440a901676f3488a6d2fb3d568:HrdfRITn46Hl1FwH4TQq1JeZ8q9GaQpS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:24:09	8dfbfc2a5eedf83c69ae9e17b12296ef:43c4jf5s6ItcHqN624UHykNbNCXfr5Yj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-20 00:33:37	a054f653c7e073e5c07423b15026d2f9:j6foUpj6Xhnt8niVemcuWfm89LY9koCy	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.36.241.180
2018-04-20 00:47:33	a317e35f3c09dfff237ba72c0874513d:dvh3nErpA0Qe9O9f3eRZO8inyHL4UaTV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	123.193.63.61
2018-04-20 00:49:20	d0cdc77ba97cb1386509dd897f581f71:7AixPNmkhDFOlCuu1NCrTw3K8qUYoY5a	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.140.77
2018-04-20 00:50:13	0bcfc51e40635f6ec23adaccc7b05504:Z2IXpJJWmnhuhqvpCUr8W0Hz817Lj04s	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	123.193.63.61
2018-04-20 01:05:07	45ecef8a0256b27cd7096e704f2589d6:xqO1HaCyhmsNQViYYYsu0Q8ScLmed0jF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.119.94
2018-04-20 01:22:29	5725dbced74c78096bde0660ec5070f3:z42ho7yQufgX08eBsuDWwOeH6hlUEfSh	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.138.96.250
2018-04-20 01:48:29	ee854dce22db244f1616a33ee0adb994:SG2dpypw81hf63HniQL4hRTbbQmsrFMD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.187.231
