2018-04-21 00:00:37	82aa1a812a394b41bc19fbd7ff2f6c54:oWPQ9MgPCpAezTJmcLlQVFXqez9L3rsW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:01:51	a46368810dbcad6095eb35df6b7a9698:mec3nW04q6n855Z5hbOHPzWZwYNE8EX5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:03:25	e3986a00fb0c535b69abc27094f3870b:KwvAXx3FpPQlYQRtX56YIApBiy73qbiL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:04:23	8e55ae211dea8bd5ae074bee74733fa8:mS1BO8CNIOC572nN36QTZMaDIG8IHbjh	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:05:31	ade6a01db30bbce6560b7dab0868eea8:149VcEmCzGKHyegEKAaHNfSuSmSAm86B	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:06:22	b1d1a91f4abb75fc789acd39316828be:KwqncUA75EJUVQWbk72nU1fkzGlrXPjE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:07:25	7dec42c13a23bb56b74c3c1384dafaf3:00Qi0cQdDT7wuuKOqn0wotA2pJbJFmyo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:09:00	8f897f0f4047c1638b667ad241cd6363:ORuIZJQ29v2h3QAdqdV1mrH4KhikOyqm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:10:00	a6ee0da9013668a06f7875a145d32307:jNwqib8gWVxCKE9eADBPDuOYiJ3YomW2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:10:54	e2abc26d77b13600e2ebd990062d16f7:2fCF5Pnmf6qHi1l29djAg0UX2TbrBgHD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-21 00:11:48	37b1322c11c6723fd6565ede5d7699a3:Iu9IZuTME8c7e51dBZFcJNBpEFGOxoRl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
