2018-04-22 00:00:18	5a80583ca8f52ae29f8fcd2bb34edf40:cxKT9CYUH9ETp2VQHbdGzv3uzORe9lrh	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.51.243
2018-04-22 00:01:49	2dbd64f5a716d4583951b5866e8d3b06:qes9HAsv515Ymoc8zpqm8MOf4hJH2HEB	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.51.243
2018-04-22 00:02:57	5da14ef812b73cd97b0a56d83103b407:PxXZHS2OP6jAxqOKdW5iiBkIlrAoVaYP	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.51.243
2018-04-22 00:04:12	c3483995ced7e59c6bf61766a226e4ee:4m7TQwII5ZPN9IiNqADOVcyqSEPGhgcQ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.51.243
2018-04-22 00:05:27	2426e54272260f30d2c1605363319710:hFFCi0KryELltWSXXe9IaM3gnK7b2fmB	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.51.243
2018-04-22 00:20:44	d8a77280f68fdf7edce57575b6476494:IXRiFGInVm6z4mnNo948WI9YYguco8lJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.247.65.13
2018-04-22 00:24:08	7677c9623810e635651c7017a8d41a63:pSpV5fhfxmloowLFYpJrJKYIrBCZSy5j	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.167.8.61
2018-04-22 00:41:14	b3e5c7d8fd14e9d53f59c2a0e3a43e20:zYRuHA8qPh2NYCSMnZ7MR5FNaPRSt1oe	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.36.243.52
2018-04-22 01:06:29	2ed7946169e1cb577a9cc0a58a7ab6ce:DanoZQlLbrLLx0YmiF83lxZkoce3tdqc	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	42.73.27.9
2018-04-22 01:13:01	3ec95e0bc5676acb465b391df4a242dd:nEKM321PtfItllOorI1AyrMMXd4QCReG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.207.25
2018-04-22 03:01:16	928f69cdcd6fadd0c3c0e7d54595f6b0:QIbAGqZzKCLkby3glF0WyJQGjnzvAgvk	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	1.163.190.173
