2018-04-23 00:00:37	cced20181035acd5efe993f8100b9927:pxcJMpZFt2MFMcIFPzR19sBj9u8Ecxw1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:01:57	8685dd2f7a3da091d74afc21ee1398a7:OxXHw0gjYXDR8pYoedkl4PziOzLjIJgT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:03:24	2cacc6ad2806fb9907f077b8e07dbe53:akUUgsGrbuPBQWMBMY20yMNHfquDRAZi	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:04:38	a544e2227b1808968ab4f218102cae5e:ZXgp4K69TsIsNGG5DzUwdYEuWqoI9q7k	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:05:39	587a6d7e5e0e811fbdcae0a380a03d0d:If1W3Q2ApMTtnMHwqafKdnmg3oppC1AB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:06:47	f8a05a3cb34ec9fa4bda56612f7a0b9d:PtS1QKRj8eub9ePrR6d8lGhVKm9HKqzC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:07:53	e221f5d12aae733c096d4c6f2598b0ca:RDqqe0hjcbcBK7XRHlN8jtCnExUMTF3v	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:09:02	f3a16d1ebd8ad7b8506d6ec90dfa8ce1:hilsc6IyuJVgavMmTLPWJ77WBaQoc46l	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:09:52	138afcaa7551149af544297988111cba:QaGn7g2ihnKt4TOuRZwXVCzwx340Kkvf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:10:51	fd4f055d10134c308d82d9cd70c0434c:51dL1pJwDYjyhCo0WUZVhIp8NFrq8Qr0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:12:21	c09abba83c590a2c018b629c331d35a1:tppfCScXhviDmolJRNy52PDvY43wWH0A	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:12:53	182c9084d27e4bdd19a3db80643858f0:xBYvLxU2vCPnjSxvSxsPn5rCeNvDWelr	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	101.14.147.121
2018-04-23 00:13:13	f398b09ff10b4c6d79365473b02401db:HsqgNiyGQqkH95Yss0QFWIZLgpZWo9Nh	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
