2018-04-24 01:09:51	5c02862c07b2f7f2ac37f9c03e02f9be:Xh01r8Hndx4A6rIAx3iRkM4RuBSyTXyc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 01:14:45	f2c52d086c0db2626528b4516f2aecae:jXI078lLENXWADO9xz7htd2O8ch4DDUc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 03:14:08	0b089d3ce4a4ac10660e6fa70483e727:MgNETq220lyYUhH03GZTWDIhYMKixOmI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.160.60.202
2018-04-24 08:21:01	9271680221fd91a34a03eea27b0f2844:huugGV3Ja1w1QFHJASLSbNxTjkPfBSro	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:21:52	e22c5c63d6f8567f61fa57fb4c65ecc1:UGXkBJp7pRoclHLusum3AJF3szm8mNlD	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.14.210.120
2018-04-24 08:27:18	ae32db86e1a9f3b2d5b259dfb13f7ee8:PsG0KqHi8AoIRmAJTpVKAIfMXMMt9LLQ	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:29:42	db1a3b67a24e37aecbd027fa95bc5cdd:jvoXzlELnCv5mJOsmn5XislG9tP3IafG	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:30:29	1b1a3da676ab437932cc5475dcbaf22d:kWcCEAXQFY50NNcLPpDHG4juR54cedPN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.204.136.143
2018-04-24 08:31:20	d554da136d28c127c4074ad6b18293f2:4jkGFouV9igtBJICgPF3Rk3lBfnhUxoC	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:34:19	9747eee441134e96d9128c4c9a209c35:HUpV44AxjWSYBlPQAGCzjhSV7vx4CCyF	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:37:08	008f83bc72aa4c689c4896d4fa34318d:BPRFxtneUVjOmh0BG9CmVx9T7f3PapNW	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	140.119.159.129
2018-04-24 08:41:02	4082efa05e01d5dbef2aeead767e3b5a:FjlptJBAowcgu41cImwmuP9BtuCbf8SB	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 08:44:45	4d9816f2d1b6f9e176769658d5140f60:hzJ4jLJO274p9f90hmfpvOb8wBBIczU9	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:46:31	ad9d7cd601f8dd111c5b411cb8d36b2e:z9fKTgUpv9nr5jYEN5bRON0lkqBTWvaa	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:51:18	5d50d0aabeedb4d918d4b4c9a385ddc9:RY9MAFzaLhcJFEBJ55cUilsRzLDzj7Lu	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.137.76.157
2018-04-24 08:52:03	6c102c772a1d196e059320dc373bd551:FBHnEdi4GzU7WOm7ucrXWYWJyAKTXd8E	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 08:53:39	1432b117f95e1a8e4cbe82d51dc1b6d1:H3airyvOK4IOfqC7HYY3A2TWdQch5yBO	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 08:54:57	f784271ac588248d92bc9a6d7ac8cd72:9WnW82J8aGtgo41BJ2BHBaP96EcuCIla	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
