2018-04-26 00:06:23	ae4549f0609d31a81afb81844efe1db9:KfikSP8JPYlE8f4woeeityUoOX6tCysM	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	125.227.28.12
2018-04-26 00:15:03	277371e1c4a7db18aaad864ecdab15e6:wBLPoZ7H5rkwqX1RlklaLCUxGlu8Lkj2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	61.223.43.1
2018-04-26 04:41:13	371d87531c911bbc41bf76354b5fe341:VsJu2988Wkc0Y6omK7YcCn3sFX2Zt9gv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	118.160.161.207
2018-04-26 04:45:29	d9538efed0c3b99b87b372573038a869:YcoFj1TYf8gEHApRpw9KRZp1rlY8YnuY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	118.160.161.207
2018-04-26 07:48:09	88c190ea7cb72428199cb4ce34f71359:ZetqhQTp6cnYVg0LjtJcmVq2RcDjbKCc	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.176.54.14
2018-04-26 08:09:27	9730e3f9529024b42bae080afa8f6274:yEuJ1dNkhklezvoKObkf1Ewobnk479a9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-26 08:11:59	992da96b8ae9dea2e85ef8eb189419a7:hVscjdc12NIupFatby0IuRERetZbPdwF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-26 08:17:48	fddecd7aa16c961d287640db69067ded:5Op7Vm4S6yPXeoUyVKLjMisQNUVDnS4b	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-26 08:20:17	b52c3ed504459b4c7e8204cb8ca1e440:qtV8QMYhOpZwakfJAktQo5Vqu01z8Zb6	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-26 08:24:12	5ad2548fec8c32768ed7efc0cc78df16:5WgSYerjjEIKF2nOjgPVbmlv3eZ3oXAR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.201
2018-04-26 08:24:51	d6a4d903f0d125c514fe3714d4aca256:QERskZZi35edtKB1sz7hE856LmU44Y2V	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
