2018-04-27 00:02:43	dbab92919acad4ebc001ca5610898331:MNQSdH2N1Ho2mk84BETYuzMhtpRiWNVl	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:03:58	1e30818e7bc904dbe684ac86141a16d1:XXaa6jkiOVZgh4aEYaJmnpp8DkPpuniK	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:05:49	26283897f7ba9eeceeffab758293890b:eemXsvvC5qF1H1bZQj57HNdHjxhCzG7Q	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:12:08	d766e4a79e5fefc130098378b56366d8:RbkLPhhm0EEFYRvjwoLYGW12qyTHY3l8	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:13:21	32f3291e1edf15732cfe7e2082fa3104:fFLFze2cRSlPzUwdyeZWGWT14bdPZ8tq	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:18:28	62433e3cc8fa266cfc008aadab01d226:qcSlQt2pJghrAfmg9yfNkmwyNBabKjGo	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:21:06	57c33cec924b0a9de62b76a54514d79c:IRcKUHsaunRY4i4NetTyZHIGS55suSPz	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:23:12	8c2d49e00944fbd888d917ef4bc3244c:Ht0krdkbpdAzGo3Spqw86s0T1uVHMd1D	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:24:45	5d95fbf176833055023e5e796467346d:xFy5WFKRAWEWTWeeMZxLuOOsUS5w4Dou	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:27:12	c15d34be5af2642fb9d868f381294c6a:kO1fb0xwLLbcl3brD6n1mLe4xOOFc96R	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
2018-04-27 00:28:32	d4f4e6b9a845c4117478e1f99ac8ad4f:HK5YsyuG8Lq0CnEhPUd7xjfzxDCR4rLH	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.227.163
