2018-04-29 00:13:37	8ed3715e16bed5e4be60d6313066f89e:AqTxcjBL4yzYh6bZBoPMSJAVQrRXXz1z	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:16:49	dbe68b9fa66701dadf52d094eec23c8e:jwAr9DAFBfEO46bYcq3T8Q8oxlgYkVZv	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	220.129.51.233
2018-04-29 00:17:53	a8610a609b7e0c68c82bfee9f7e44c92:iCbTEvYuzbnb6W50uz9n7E4b4cM0OmIC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:19:59	27e42dc038dadcd574515cbcf05fd07f:JO7etwgnKcgo7ADlz4RHBAUpUxixYNGk	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:24:43	5557f89edd1e4c5488e68527b7b51ead:YMv0TcuULQ3kCimHngifknAZcowwRhlA	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:27:00	90445659b1601894e0f41226a729c9d8:8AE47q5FY3coM3Rrbpkx3lLs88fX4Hbj	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:43:00	4a4222996f9229e8c08ee03575c2be51:zs98iFVbm6HVjTJaetVCo28dMzNIDUDJ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:45:06	f3ffab884d94c3ca818359e8d3723fbe:ThKGFXYHr2lJKKA4yUFopUXblaNeNYsS	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	111.240.206.93
2018-04-29 00:56:18	464acf1bb8174fe42813038249b02956:Gdgq4ky97XY9muRf32t6bTEJ7QVhlfFi	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	39.9.227.190
2018-04-29 00:58:34	3af44a2965c50bc4337945cce8900bbd:a82zm6AV2e6PsJaFJ0OUrbrnFEu4bwxf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	39.9.227.190
2018-04-29 07:40:39	c6b87eb91fd63dc93bf6eb1438513466:hkvusBlwG4ou9sYP7yc21eKlZImgyrjp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	220.129.51.233
