2018-04-30 00:12:40	b1bc610795a33252ca307ae3e5e34258:gFqyOGdOER18ULQwFvYF6Q6mZrzhVUb1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:14:18	897c63c69dfd9cc0cec4a0dbdc442121:ZCBGKmZMoAnWYmjz15rFwegxCWsAjvy0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:16:00	827e7e545bbba0bbe1dca1a8f5af9813:WZQ1B19JU7V5jiEA1s3WxMQnpMGopt1l	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:16:30	58834ce727855481a001edb7de0bf768:WBuP93Hq5NYq47jWD8lmghT8DfwO4cvp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.44.220.161
2018-04-30 00:17:29	2a83bceafd46f939a115b97a0d1b78f0:VYbEGInQcgazn3HK0HPbqsHMZaB7oB6B	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:18:57	3bd3d82d276764af426c16a124ca2d18:tPuQoxWY4n2D6TQqCcZt1ZKM4lAwZBO1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:22:33	c278985a1fc7ce281e709831e08a63e4:8kCvoWtv07HYxzHjcFS29yIOYyFtGmGM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:24:21	126c32b659f118efa642f3381f9eb61c:UbTRUIc4MP34tclYOIoMh26IyfrtcqOS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:25:52	82bed8d46413e38600ea159bd6fe09ce:X9LtcxigQyoHvA2FtcvYhcLZb0XOXYyO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:28:55	959d1919e3e7bee232f30895832da916:OVkcHiPvXaimwuVa4vnJ6NLmDKxGSO4e	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:34:10	1ea6d192079f7277d3a053bd8a8439a5:yiNXBmcDA673KJLL7ess2A4KBH1CH2wy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 00:44:41	a0b4af85dc2a30fecdef6e52b1e8189b:HiLTVBHQZ5XUCD9cSKmH5qSVeZyPNb3U	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 03:53:02	948861e87b5dfeab710267d0e43e98ad:lhXnYx47GwMec69QwkbIuySy0p8Ffor0	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.8.49.104
2018-04-30 06:52:10	b62f45de6b801892b255274bf632cfd8:MJyaYR57R6abL2URV01l9sp0yXWHmMCJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	39.8.2.153
2018-04-30 07:17:20	4dfa01f6a03508cfd96963499c14288b:i8FuCNfsGEiuQx1J2awsBSIQsGjdCeAJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.242.230.51
2018-04-30 07:21:36	b764f04988d45fa8caacf16c26ead6a8:HaP94JqKNhmsT8kLaNYq9CAk8UXq3bSn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.224.216.206
