2018-04-23 00:00:53	d120a4422db780e49b9f389db378e982:vkOqc1BFooWCNsxbXKnKyJtbqT1Pl5bw	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-23 00:12:38	68cf7abb85b132a41a9c276cb08bde15:VxgF49fAxJ3Wrrlhzeq8v87yLFEmEyzS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.57.152
2018-04-23 00:24:31	8f03d0fbf08fbe1130ff2f7dba3974b1:yDKL0TarXVUwyJKjyNs9XlXomi71dezY	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	118.167.0.100
2018-04-23 01:59:29	4ae5bfe88978bd43218fff6b8881f7fb:zcotmFuSHp0TrpNZO79Gob014gULADNX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	123.192.151.2
2018-04-23 03:20:02	dd4340e037d48d6573ea84fc821ffe8d:yTvyeLKE7T9QLHuNMfBoszv7WFWZLsQf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	117.19.65.63
2018-04-23 06:15:47	0f7ca9141a8306f033d904a51dd42bf1:ims8j1YAdBXXYwcsQse0t1HW3krgj4C5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.224.109.122
2018-04-23 06:18:29	0a8e5eb19215376f2b66619a5f1b3969:zsGfY2CMBPLWrazlQth7oGrDlJJfMYcS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.142.39
2018-04-23 06:21:18	fa8606ff691d4be3b2901d0048f10a1f:3PWBSdEzs2rRjMU75JvdN5VrIXqhnJiW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.224.109.122
2018-04-23 06:32:33	d0cb4d58008d6bc0a61d336475f039e4:4LEZ2llq0Ar9HfOH5hJgvs9wNERWBugo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.25.123
2018-04-23 06:48:33	bec97d3dc89a8a27ddd9795631bb9ce4:PjkGzkceM1es43xy8Z5mMe4tB0xQ1WUj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.42.0.184
2018-04-23 06:49:33	29d78c9d53c3cf5b706427be4f01b3aa:CpXzyDZyhVsx3XP24LpbGHCNIesnmpLc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.129.131
2018-04-23 07:06:29	414ed49306f5a2569599ab7c7d2cda4f:nQ6Kn5y1UwRSycWqNWlHy1g2qIsOdmAe	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	49.219.144.240
2018-04-23 07:34:55	42bc0f3a6fe668592c17f2e9e08f698c:7H85ujc7izbCzbx2oIKXIbjTyC0FViZt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.213.16
2018-04-23 07:54:03	809e0ba50d3c0cbc7bbde102b452d8f3:GKp6hv1WGQzxIXpj1tZb2fmHOUNTWrox	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	223.136.142.70
2018-04-23 08:00:26	20d21b9e34aa7369632ed6e0d90b1543:KLaq28ktqeztqrdMrti1z7DwAlBRQ1fU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.255.65
2018-04-23 08:23:17	dfd7fd3088a0cb2a777287c98dcfab00:DRUJcSl8z2xM2iinpOEV0IOSiHkMq1PC	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 08:24:21	ba79abe5bc484a1188d906d6a431bbd4:upCYHKPFsZfHkpu4p7QOqsE7ZOUVbyDo	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 08:25:06	416737191bcd71cdd97cf50f91c5ae1e:CyBh4hsXgrReIAKCWcq4k3RwFzlKrBbp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.136.184.129
2018-04-23 08:25:11	c5e3e04e6792a42f5db75403e40d2812:vdwgeoaa1edycCVFYYtaQvyy9qPRZaWV	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 08:28:43	c2daf936c8e77ca6a907beaf46014986:LO0kyHFJGlnpA8XfwDVqtrAWtx8la3NH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.21.70
2018-04-23 08:59:54	6efa30dc9830c9a4dbfab99cd2c0c344:zUNEQxNvZ6DNcqyb2LqsvGmHwSbVlwMN	Q1:提案名稱二：閒置空間_空宅空間改造,;	103.31.196.193
2018-04-23 09:03:19	46bfec87afd40e2adc790a48eef7765a:JavfpiLq07FXoif12yc3r6xYy8m69xjg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	211.23.31.151
2018-04-23 09:08:53	88178ab9f277499e0c3b8c1d4aa8f5e7:5djmljP9a57fhgqCkQVlN5PE1gbufukr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.231.196.49
2018-04-23 09:12:33	9f28b959f7a18b427228924b5a1f18cc:dDSFY1daRovPBtDDzLDBgtgmozOX6NXV	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.64
2018-04-23 09:14:37	71e319924d36f95a5152ba60a6d44629:CCdYyPjqx6AfcJpmFtMUT6udwPd6APVP	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:15:24	e82ed9552746d084a0a92a3f88c946f2:LFMFIcLFvLWynv6i98QiGC5QUSZ5PgbC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-23 09:15:47	e176cf3f1e0a1cfef4017d80f23bb237:BNQdjVNbBvrudqfYZsSObg6wfVk7NOSH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.228.22.227
2018-04-23 09:17:16	790031d5d45def4e48a53c3994cd4281:u4LQh3L8br7TN73JD6rRK359Te9LMev2	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:18:01	260b1d5fc49f2a66cafdde4610240e35:ss7byJynvMkmWfhjdiKo3hmq6E0NNmTb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.14.243.33
2018-04-23 09:21:14	9a919126bcc3c0fe1294c96f422dd809:qjxQuqKiSLg3QHfVx1bMPtbQBXyxJc35	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	101.14.243.33
2018-04-23 09:26:07	56ee595d14e06818f746e4b39e8ca9ae:SqPbaQEFhVghBQQ8kNGKeN2wUVY6pXrK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.14.243.33
2018-04-23 09:27:53	ff536cec1a74557074a410fdae6516ad:UU7MiqloFP4RwWqJfXjQRl8zcbcOpl8S	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.14.243.33
2018-04-23 09:29:21	0c1ffda79fd4f398c9de28f4315ef609:HIgkVz1elsd2bfbVk5NYI36MIyA1M1bt	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:30:25	2202f4ce96525abad92b5bc72c94e3ce:sjTEDUtWXaC5tFLV9lxj0A8OyalpvKJH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:31:20	26bf6738447cd88f221e3279808346c9:imJawPchLJq7MMV2b83CKC6dUmluvVnt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.14.243.33
2018-04-23 09:31:28	bc6d5df9db72c92b454a5b778e4adeb4:5Zdb4sjl8HKdaajStUGSa2THE9MHKe8E	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:32:22	d2fcde629612759409783196fb2037cb:jnf2A8ikU4cdzcbh0wQz6VIjMPhsxxs3	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:33:09	ed6e610f62f1bcbf04e2804804759cb8:1zLPo35a1cv3DgqqspcMJfV3L3fwSIbq	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.50
2018-04-23 09:33:38	c7a8fd2d19b96db9af9b91af4b215b6c:MJVXZi3FtZ0xVZ1VBUUvxiNmqrFthgNn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-23 09:33:58	1eacaadb1e9c9dc381f18c44fb07408e:biIXVUhbQqmnOjloNDfkrlQ9de1eeopz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.1.50
2018-04-23 09:34:58	6fc162356f10b8f95a4f04535e512c16:qrE4Tq5X0j3b9SkafIzK52wJMci081YH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.1.50
2018-04-23 09:35:31	8a2ff90f98ec58f5bd4e8ccd881ac3ef:MuKnoxajgFFnnobIh5nvNDbrftnWftn0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-23 09:35:52	e94bb5e920550e6ff75d46f64e2c346c:NRE6UCVedfW0wpRmh1YvsLjJ6SbIqQWa	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.50
2018-04-23 09:36:52	add2b3ef2cc64617ec1a9607c9090bab:6gIWf52zzii2MwBrQJ6pq0K2eKhvo88E	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	117.56.168.193
