2018-04-24 04:48:31	111f4d6b06aa32399e3bc7008bdf6901:q3IzcyOgvhgzSOVbsHe94Qdf8gErc3NS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-24 04:51:42	5e94ddf62e223c32e6633688013802de:7BBDxbGeZzolOwFrT08KXdtoaCvQTUCq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-24 06:26:48	925de34f550faf05f2292200fb0a8b01:MqsQpMameHuff7P1SPOAEALDIoBx2rNG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	114.42.9.76
2018-04-24 06:45:24	5d50ca48df457bed055240ae1a308627:ODGt04eIoPTY3MaJhXWyD1rxGKz87aZ1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.110.196
2018-04-24 08:02:21	8dde28bb7cedd7d1cabc68f482dade6f:euzXDMcvG86I7RrZRXTgDiVn81gGB17I	Q1:提案名稱二：閒置空間_空宅空間改造,;	114.136.167.254
2018-04-24 08:03:54	243eb5f6228a97861c7dae707ab5fc60:cehOjlv0J9UUn1Y7eO1qVVm19V5RVzci	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	223.140.125.18
2018-04-24 08:21:04	fd2ed410a1fcd77859a470435b3558b5:d7mDYhxTIxmhfUUGBvwNl6JN8mfVievS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	203.71.210.146
2018-04-24 08:32:18	d2970e9a4b50acd62f960a46ed8a2b2a:UE5LcqiMxlNTbyc1bWEC52uGnLk3bAE2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:34:32	6eae275ed443afbbc7c960fd52d850c5:Sa0NmQ2TQQJb0r9xZYrjKujjrs9krFn6	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:35:27	b1be897d4b4f9fb7ca33d4baa781cd6b:Mdjt2lq2hgLGDizKeZXrxiba8FkR3IYJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
2018-04-24 08:36:21	ffaf4512c6a8de9d363401431db11413:d0tHpH6B0YPXfYp3xzCdf9aBelzaS5pq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.81
