2018-04-26 06:40:16	75baba6e8b8275a379a02f0968ea783b:eitsuYI6UugHWue5K2zMlOv6WJuKMlLE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	220.136.181.217
2018-04-26 08:00:47	b6383efb07bf9e381618104a660d5762:8psvLH014bI9ueWJgZ8pKz8lMRK09kBO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.137.98.205
2018-04-26 08:29:16	87630a568ad15d03c0d27f452b7ac9b5:Nke15M4mXMMzlL5c6LQBeFwDKEcH3ZSO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-26 08:29:28	8f82df08a209a6a170fd1ccc6bd5386d:oMqUDrdat0oK4B9ZoRaOvSqAEtLViwRD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	118.160.52.91
2018-04-26 08:31:53	b1ac66041c4d032071762d334a2cd35e:cEiH1nx8OrDSbMGWY4eFQDyCuMr9w1Iw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-26 09:01:04	3bd8884d464212dd4e9fab4774456134:7ILRnCScKzre4ZIfjUO23ipPYCAwxxMO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	140.112.145.136
2018-04-26 09:01:31	78fde52f9ccb64505c5f15ca03016d09:eF6EVkjyohvrHqWarJHbPp68V4SXaEnP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	122.146.127.46
2018-04-26 09:01:43	85bf6486bbfc8dd7d05540ba62fb8526:jul98BZXXiEGobkP1vCv9bG59jZfH7pU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.97.231
2018-04-26 09:05:18	55b874b257245908fd2ae445c526bb69:HuR1DSHrQ5OrfiCIeDI6IU8zgkJvzzJj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	113.196.174.254
2018-04-26 09:07:45	dd430b74ec63f1fee22a202cd8468c96:FYte5RhkNmx21tlHA61dIHLo8o6MAeTI	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.231
2018-04-26 09:09:22	f035fa8c3ee56b1635d27a88e5154523:8HnSAsGdpNNUeKSLXdtRefD8bYfP6EgC	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-26 09:10:37	3d5341e707bca3bdb9908b4459a90a91:PXrTDqdPcqecdZAisAXPYlHfLgKFCsBw	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 09:13:04	570a27682bcd663c503d5869b5302173:reCrrc9ctQhuyRxnGXXYC0x5MV3y4l06	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.231
2018-04-26 09:32:46	abd5c12a16264a5f040ceac8b8c61abd:bhT8hEmbLY2ad0s5F2euCl6JAhyO2OVf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	122.146.127.46
2018-04-26 09:36:08	e43d7b40262399dbab7367da30c2468a:OzRzkmU1Xtc2iw6Fa8pmo6ZBg7Lo3Fs4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	122.146.127.46
