2018-04-29 00:00:52	10fdcf108845ff3cc6ecd7a6fd0993a2:3umvcvZRZyP0hrQJ38V0HJbIfCxaY4bX	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:02:09	369ecd41acf2fd24b6ce84ae30e8e926:2y50OwLbHixNSJtPUVPm7oW6whgGBXy9	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:03:29	2ca7709b6cb33bce93efb44beb3360b0:t559i4xX7UosGpRqJhyCdPFOFlfh3EQE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:15:26	09ae49e36237931ab678a32815d1a7ee:qQ59kxStDLoX9toprz61WZtzdYwvrVKJ	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:16:29	f588280759ca65f9f27b08181d7e13ba:WsI1bgVwRn3nBwClQmdp890kMJcsPU8b	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	116.59.240.192
2018-04-29 00:17:36	63d36206c3d019d71f16906237bc33b3:lPpztheo41kPvuRnBz0PwJEv8uesHLzQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:18:42	3cf968caa3001c1cf8db981b098681e8:L5G51jntzKxujsm3syw1KrOpTTTqQQY4	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:19:44	02e976a1ab320f9829aeb2153a35cf41:HsMcXXDUfXBIIijuUzg1ITf3G31W5xtw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 00:20:54	382a27cf7a0e952fcbbc524ffbf82006:1luVsp5NanOoCYbLY1osFApXJOOwFMf8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.240.192
2018-04-29 01:28:41	b806ddce953ec950a93b2ce9c2ac7081:hICDU9FbHnKkWxHWKfDqAcEHNegGo7ZU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	223.137.52.97
2018-04-29 02:18:52	b5a1146cb0805787b8e77e573a37e862:QUePZrL2DhsxBEfvwQZkWKa6N7Q4Qoac	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	27.246.193.44
2018-04-29 08:55:23	6e1c84d5aff436762c1576beada25099:o2VVldg79iUOxaBSuxO00FIDowV21mzo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 08:56:42	2a136bb6c80096ee54145f9adb64740a:chyrzcnUc2SQR6ODdq1WEImnADHMHRko	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 08:58:07	9a6985687ab8b38e434854c7cd93fd1e:EmchIXvmxDm5tArveMuWHHtRuhc0iEjz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 08:59:55	1008174db7645316e5be0a47eb655a6f:Isk6KSwQ13MCKwQYODy1BS6MKPaMCOKs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:06:08	33716c1a1c0ce7aed71b825f6943b82a:l5pcgk3EdnXc4m2LZBKx5otu4BniDloY	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
2018-04-29 09:07:35	280cc8bb87f61957275edfe49216f3d2:nneI1CQiJCKNE3PCH9eCqQw1KQo9Alx7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	42.72.192.178
