2018-04-17 09:03:39	8fdb8303a956af96bd94f9c594f40ea1:NWOfLKUrU0xxCmCXlWusSFxO2cpjXyp5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:10:33	09aec1d38ef44bdb3bea87c529f58fd9:ZYA6cPPZH2PaeWD1e5j25CgvC1keckvj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	114.136.196.139
2018-04-17 09:11:06	6662802af9211baff6b2344abb886525:K2402XXEu3HI2kUMiJq6Q7s00p7VplKN	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:13:55	c5f74b5c85bd244d7fc565c5b4184ab6:DxVidLY9ghNl5pW6qY7mJQCoao1UyVWM	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.65.237
2018-04-17 09:14:21	8048512b31069325876dae11bcf9ce9c:m4qRVhoy8k1jE8xS0GWha3DR98OzF9Q7	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.196.139
2018-04-17 09:15:05	2a80d12dac41941f31ebd942759d3c37:Ux6tUU5fDisR5e4SCGr09uv32jiTsAwr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:16:26	35ec7f69ab289ed2cea5528a5cdedddb:DGKfQa3o4SiXqTZs9KlIjUpQY8Q5GHTy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.59
2018-04-17 09:20:27	060343f708db49c16476b2b5a7b9f5b4:9sUBqzQ6W9fMLkUjn9HKMRmDcn8RGZPd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:21:37	40e61950b399a00e88574fa593b6b8a8:drCoNxWXeaAEzEXtRNfB8o6IMDcuKEOL	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:21:41	6b1420671f39f097aaa30d50eadc08b7:ZPzJaGWaCJxj6pXeUKBW6OsBnibXM53N	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:23:26	3df12938ef8c066f368277b508d15573:N6dp7SRUsEJIo2IbduDi7tF6I0Tp4Vt0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
