2018-04-18 00:03:08	e186105fbbb6d43e93bd0b9c23cd0d69:XhBgiBcSW4ivawXvjFwxQVvqllfDrXYI	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	123.195.139.161
2018-04-18 01:27:44	7dc5a3e73e4e86b9f19d7457bdfca953:xP6R1Yr8oQP9cgieDssp9xie4G60Sz7L	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.164.47.183
2018-04-18 05:20:13	0baf0fa56a161033b569c88a87b119eb:IGvohYGiVEK573Zxh4EGtHz8tLg1Syaa	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	118.165.98.233
2018-04-18 08:09:24	5c7c6c4fd0c3e0f45dbfe2b6f0daf4b1:ITBiOXYqRMkNs7Z5Zct46lUNmsNBEhLz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.243.101
2018-04-18 08:23:00	e9690b171a44be719328386933ac01c0:t0HifjeKEf1wiJuafLxQLggmW5b3Ju62	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:28:20	834744bca99f1b32200bc2e51694f354:6mQFt21HGGmB9XC6PxjTqrOEDa7oFGWr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.215.193.52
2018-04-18 08:29:49	a4d753b001a69be6f7321644614c1c33:eIu22JithMzzabprD8OAoaL9M4gh7eEu	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.65
2018-04-18 08:32:03	ea13423ed909cbcfc0819eacebf12cc4:2kbRNP8tLEpGjGGEoBdCwW9jp07TYnBW	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	39.9.228.22
2018-04-18 08:32:31	87e08eb49fa0428e62af74d5fe5d7cdd:R9paSzWpCnQy10DMZBheJv1EO1Eb8J6k	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-18 08:35:55	6ae82ef9bd32c6331f7842326b158ef0:CHqYKx8fIMEiiF4FPlOgyMlfsv5Kpv2l	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:37:28	b7c69b885b8aa7b375a3a941023a716c:us7Mish5RHfIlaCHWC25evwL8IqsocMd	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	101.8.129.64
2018-04-18 08:37:46	bfd94391ec61a58ac257d94fb1bfa79f:JkfiZUPG6DXH3pyWcrGmZVd3mVlEezLc	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	172.29.16.169
2018-04-18 08:37:55	cee7843d4c7a534bb4d227b02109d696:VGdxERq8ARU56y94mnVSvstA2Vogx9aq	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	42.77.16.192
2018-04-18 08:40:48	098ff57d16f933ac905d036dcb5c64a1:OYBdNBdGqZ9nkYJWiEI6JpGIUZRvFtco	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:40:59	6917db3cf689823e28fed4c01f3e9f27:v6jioHc23bwUHbHI9WOVcVaUuRlFL0Qh	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-18 08:41:33	cb3374a8392e73d38f21462b313a1ad8:5brodWbyyqPLxoVkunrg9ZEo3YW4dGj8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-18 08:44:00	26004bb8e7a23e0f8af7621b05fe9333:amrDHmaCcoNba52dh6K8hHO5MIm612Qn	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:44:46	feb30015549a3844fb75124c716103dc:YCDvjwxUPEYfYDT2f9KLVzPZqvOgO70C	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-18 08:45:11	a80e73afa5350c6d99666bdccbe3ac85:UeAkaRXTBTZ57oedhYh8LBPOdrVGkGNA	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:45:17	7cc9ce51caf13c4d1b0addda4b10377e:nckjmP94oTebb56avMeRLXYb2OLkBWWN	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:45:54	d3a9142e9156503e337f90ca4adbaf7e:Q6O1Zgd7SXRQbdjtpu1DrO7E1Q4X0uQ9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:46:57	1e6d2a0d8b6b8946980ca9098d80713b:IJvnaPEjKRf0fL5X7aNXGL9tugAVsBr4	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-18 08:47:33	6255b2c48d6733fdfeb68dc1cea5c1ed:9vSCDlhJVCrUMPquPpsU0uEkIBxdda2H	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:47:43	a1d1f82f9d99f79c7619cffdc506f1d5:9R4gIpP0XL4exUpPR6RuVf6kw6ZngIwh	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:48:17	ea558630cb62e2bc98394d1e862cefcd:lzadYhvToUMN1aOw0d5dNEBwhw8ia9oG	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:50:22	76fbffdf3f4b41702dbcf09a9222dfd3:5rDsXPMSKulLG6TCjPWZFG8H6GsPKPvS	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:50:50	43b7f3e74d778cd6a03749ad20bb7da3:RCfnpNwmzsgFfbeDhedkRwslS4ExB5CH	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:51:49	1c10d86322784e5220cfe9b3413e5572:nQU1x5z8oqKyBnMSUbnkxCW4OiNT7CKy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:52:15	41ca514d2782ad0101ff2bf1d187f9e7:yiUo6DeE3kWI1KUOfOzfNawRJ8xYZuKO	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	172.29.16.198
2018-04-18 08:52:26	5ac7becb9c8f6e5fc3d7a1fd463a5758:nMGjgMgjMQIIf80hNxj2BoLMP8RWWY03	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:53:01	c30156bbe522846b35eb307147a67126:zU6uxeyxixbhohJ5hixHs1gLJe3ZCUN1	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:53:38	8afad7c297d6f0aab99df5523128bdeb:hlWP1H6NBu7FDen4j0mpgL2RRXbqhjZL	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:54:52	da947c6b4cc2437c0848f8a2e202d7f9:38qVOkBnw1INZebBYDgSS75DXbXiu1cb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:56:13	d64c2830b9982d1574725b15b32bb77f:GMvXYaPHYBeedrjkFbuLPH90GNoxwz9k	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.83.98
2018-04-18 08:56:20	08c5e960e95b2a445811f24ebdf66d50:RPc1cxVeoLR5PrR3FJScK7d24r9n1YMy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 08:56:48	0481bcb274e4d99f79e00dbe56f10572:dHbq0SP706Z6wMtuZezcp2arQMboXuhj	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 08:57:34	f5793e23007db666eb7dbdb931ebe015:dS1ShvddkV2lEx3xI3GNN1JLR2MFV5k9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.65
